abadetarra,abadetar
errentaria,errentari
errepublika,errepublika
erresa,erres
erresak,erres
errespetagarria,errespetagarri
errestatu,errestatu
errestatua,errestatu
errestoa,erresto
errezela,errezel
errezeloa,errezelo
errezeta,errezeta
errezoa,errezo
erroitza,erroitz
erroiztu,erroiztu
erroiztua,erroiztu
errua,erru
errudun,errudun
erruduna,errudun
errukitsua,errukitsu
errukitu,errukitu
errukitua,errukitu
esegi,esegi
eseki,eseki
esekia,eseki
eserlekua,eserleku
eskala,eskala
eskapularioa,eskapulario
eskarola,eskarola
eskopeta,eskopeta
eskuadra,eskuadra
eskuadroia,eskuadroi
eskukatu,eskukatu
eskumuinak,eskumuin
eskuzapia,eskuzapi
eskuzorroa,eskuzorro
espa,espa
espartzua,espartzu
estalgilea,estalgile
estalpea,estalpe
estandarte,estandarte
estandartea,estandarte
estepa,estepa
estimagarria,estimagarri
estrata,estrata
estugarriak,estugarri
estutasuna,estutasun
estutu,estutu
estutua,estutu
etoia,etoi
etxabea,etxabe
etxadia,etxadi
etxaldea,etxalde
euritsua,euritsu
euskarria,euskarri
euslea,eusle
ezagutezina,ezagutezin
ezerezkeria,ezerezkeria
ezereztu,ezereztu
ezereztua,ezereztu
ezizena,ezizen
ezkaia,ezkai
ezkertia,ezkerti
ezkia,ezki
ezpela,ezpel
ezproia,ezproi
eztanda egin,eztanda egin
eztitu,eztitu
eztitua,eztitu
felpa,felpa
forrua,forru
gabarra,gabarra
gaitzesgarria,gaitzesgarri
gaizkiagotu,gaizkiagotu
gaiztotasuna,gaiztotasun
galai,galai
galaia,galai
galdatu,galdatu
galdatua,galdatu
galeoia,galeoi
galeperra,galeper
galera,galera
galtzak,galtza
gamelua,gamelu
ganadua,ganadu
ganbela,ganbela
gandorra,gandor
gantxigorra,gantxigor
gantzatsua,gantzatsu
garailea,garaile
garaipena,garaipen
garau,garau
garaua,garau
garauak,garau
garautegia,garautegi
garbantzua,garbantzu
garbiketa,garbiketa
garbitokia,garbitoki
garestia,garesti
garestitu,garestitu
garestitua,garestitu
gargara,gargara
garoa,garo
garraztu,garraztu
garraztua,garraztu
gatzaga,gatzaga
gautarra,gautar
gautxoria,gautxori
gaztanbera,gaztanbera
gaztetu,gaztetu
gaztetua,gaztetu
gazura,gazur
gelbera,gelbera
geldiera,geldiera
geldoa,geldo
geraldia,geraldi
geraldiak,geraldi
gerrazalea,gerrazale
gertaera,gertaera
gertuera,gertuera
girlanda,girlanda
giroa,giro
gisatu,gisatu
gisatua,gisatu
gizadia,gizadi
gizatxarra,gizatxar
gobada,gobada
gogaikarria,gogaikarri
gogoangarria,gogoangarri
gogoan jo,gogoan jo
gogoan joa,gogoan jo
goldatu,goldatu
gonazpikoa,gonazpiko
goroztegia,goroztegi
gorpuzduna,gorpuzdun
gorrina,gorrina
gorro,gorro
gorroa,gorro
gubia,gubia
gudaria,gudari
gudatu,gudatu
gudatua,gudatu
guraizeak,guraize
guraritu,guraritu
gurdibidea,gurdibide
gurpila,gurpil
harmonia,harmonia
hilduratu,hilduratu
hireganatu,hireganatu
hirukia,hiruki
hitzaldia,hitzaldi
hitzaurrea,hitzaurre
hitzontzi,hitzontzi
hitzontzia,hitzontzi
hitzontzikeria,hitzontzikeria
ibilaldia,ibilaldi
ibilera,ibilera
ibiltaria,ibiltari
idiskoa,idisko
igaraba,igaraba
igitaia,igitai
igoera,igoera
ihakin,ihakin
ihakina,ihakin
ikaratia,ikarati
ikazkina,ikazkin
ikaztu,ikaztu
ikusezina,ikusezin
ikuskera,ikuskera
ikustaldia,ikustaldi
ikustatu,ikustatu
ikustatua,ikustatu
ilberria,ilberri
ilbetea,ilbete
ildaskatu,ildaskatu
ilgora,ilgora
iltzatu,iltzatu
iltzatua,iltzatu
imana,iman
imina,imina
inaurkina,inaurkin
indargetu,indargetu
indartu,indartu
indartua,indartu
intentzioa,intentzio
intxaurra,intxaur
ipuina,ipuin
irabazlea,irabazle
irabiatu,irabiatu
irabiatua,irabiatu
iragazi,iragazi
iragazia,iragazi
iraina,irain
iraindu,iraindu
iraindua,iraindu
iraingarria,iraingarri
irakurgarria,irakurgarri
iraulketa,iraulketa
irizpena,irizpen
irozgarria,irozgarri
irozgarriak,irozgarri
irrintzia,irrintzi
irrista,irrista
irristada,irristada
irristatu,irristatu
irteera,irteera
irudikorra,irudikor
irudipena,irudipen
irulea,irule
isats,isats
isatsa,isats
isatsak,isats
iseka,iseka
isekaria,isekari
isekatu,isekatu
isekatua,isekatu
isildu,isildu
isildua,isildu
isilkorra,isilkor
isilpekoa,isilpeko
isiltasuna,isiltasun
iskanbila,iskanbila
istinga,istinga
itogarria,itogarri
itsasartea,itsasarte
itsaskorra,itsaskor
itsaslapurra,itsaslapur
itsastarra,itsastar
itsatsi,itsatsi
itsatsia,itsatsi
itsumutila,itsumutil
itxiera,itxiera
izaina,izain
izartxoa,izartxo
izeki,izeki
izekia,izeki
izerkaria,izerkari
izkina,izkina
izua,izu
izuak,izu
izukorra,izukor
izurritu,izurritu
izurritua,izurritu
izutia,izuti
izutu,izutu
izutua,izutu
jaiera,jaiera
jakinbidea,jakinbide
jakintza,jakintza
jalki,jalki
janaritu,janaritu
janaritua,janaritu
janiza,janiza
jargoia,jargoi
jario,jario
jarioa,jario
jarraitzailea,jarraitzaile
jasa,jasa
jatorri,jatorri
jatorria,jatorri
jauntxoa,jauntxo
jazo,jazo
jazoera,jazoera
jela,jela
jira,jira
jolastu,jolastu
jolastua,jolastu
jomuga,jomuga
jorra,jorra
jorratu,jorratu
jorratua,jorratu
jorratzailea,jorratzaile
josketa,josketa
jostailua,jostailu
jostuna,jostun
kabila,kabila
kafea,kafe
kafeontzia,kafeontzi
kaio,kaio
kaioa,kaio
kaiola,kaiola
kakajario,kakajario
kakalardoa,kakalardo
kakeria,kakeri
kakoa,kako
kakoak,kako
kalteduna,kaltedun
kanoa,kanoa
kanoia,kanoi
kanoiak,kanoi
kanpotarra,kanpotar
karda,karda
kardatu,kardatu
kardatua,kardatu
kareztatu,kareztatu
kareztatua,kareztatu
karkaba,karkaba
karnaba,karnaba
karobia,karobi
karpa,karpa
kartoia,kartoi
kaskamotza,kaskamotz
katamotza,katamotz
kateatu,kateatu
kateatua,kateatu
katilua,katilu
kealdia,kealdi
keinada,keinada
kemendu,kemendu
kemendua,kemendu
kilia,kili
kimatu,kimatu
kina,kina
kintala,kintal
kirtena,kirten
kirtenak,kirten
kiskaldu,kiskaldu
kiskaldua,kiskaldu
kisketa,kisketa
kizkurra,kizkur
kizkurtu,kizkurtu
kizkurtua,kizkurtu
klaustroa,klaustro
koartza,koartza
koinata,koinata
koipea,koipe
koipetsua,koipetsu
koipeztatu,koipeztatu
koitadua,koitadu
koko,koko
kokoa,koko
kondaira,kondaira
kondarra,kondar
konpontzailea,konpontzaile
kontatzailea,kontatzaile
kontrabandista,kontrabandista
kontrabando,kontrabando
kontrabandoa,kontrabando
kontradantza,kontradantza
kontraesan,kontraesan
kontraesana,kontraesan
kontramaisua,kontramaisu
kontrapozoia,kontrapozoi
kortxoa,kortxo
koskoa,kosko
krokodilo,krokodilo
krokodiloa,krokodilo
kuia,kuia
kulpaduna,kulpadun
kupitu,kupitu
kupitua,kupitu
kurrika,kurrika
kurrunka,kurrunka
kutuna,kutun
labaina,labain
labainketa,labainketa
labainkorra,labainkor
labana,labana
laburketa,laburketa
laiaria,laiari
laidotu,laidotu
laidotua,laidotu
lainotsua,lainotsu
lakaria,lakari
lamia,lamia
lanaldia,lanaldi
landertu,landertu
landertua,landertu
langa,langa
lanperna,lanperna
lantegia,lantegi
lantua,lantu
lapitza,lapitz
lapurreria,lapurreria
lapurreta,lapurreta
laratza,laratz
larreratu,larreratu
larritasuna,larritasun
lasai,lasai
lasaia,lasai
lasaigarri,lasaigarri
lasaitasuna,lasaitasun
lasaitu,lasaitu
lasaitua,lasaitu
lastaira,lastaira
lastategia,lastategi
lastertu,lastertu
lastertua,lastertu
lata,lata
latorria,latorri
latsa,lats
lauburu,lauburu
laurdendu,laurdendu
laurdendua,laurdendu
lausoa,lauso
lautu,lautu
lautua,lautu
legena,legen
legenarra,legenar
leiarra,leiar
leinargia,leinargi
leizea,leize
lemaria,lemari
lemazaina,lemazain
leuntasuna,leuntasun
liburutegia,liburutegi
likatsua,likatsu
likatu,likatu
likatua,likatu
lilipa,lilipa
limuria,limuri
limurtu,limurtu
linazia,linazi
liraintasuna,liraintasun
lista,lista
listaria,listari
litsa,lits
litsak,lits
loditasuna,loditasun
logura,logura
logurak,logura
lokabea,lokabe
lokatza,lokatza
lokaztu,lokaztu
lokaztua,lokaztu
loro,loro
loroa,loro
lotegia,lotegi
lotsagarri,lotsagarri
lotsagarria,lotsagarri
lotsatia,lotsati
lubakia,lubaki
lumadia,lumadi
lupetz,lupetz
lupetza,lupetza
lupua,lupu
lurperatu,lurperatu
lurrikara,lurrikara
lurrina,lurrin
lurtarra,lurtar
luzokerra,luzoker
madarikazioa,madarikazio
mafrundia,mafrundi
magia,magia
magurioa,magurio
maila,maila
mailatu,mailatu
mailatua,mailatu
mailukada,mailukada
mainatia,mainati
maindirea,maindire
maitatia,maitati
maizter,maizter
maizterra,maizter
makaldu,makaldu
makaldua,makaldu
makartsua,makartsu
makatza,makatz
makilada,makilada
makilatu,makilatu
makilatua,makilatu
makurrera,makurrera
maltzurra,maltzur
mama,mama
mamitsua,mamitsu
mandeulia,mandeuli
maneatu,maneatu
maneatua,maneatu
maneatzailea,maneatzaile
manta,manta
mantala,mantal
mantarra,mantar
marmar,marmar
marrega,marrega
masaila,masail
masaileko,masaileko
masailekoa,masaileko
maskala,maskal
maskelua,maskelu
maskuiloa,maskuilo
maskuria,maskuri
mastrikatu,mastrikatu
mastrikatua,mastrikatu
masusta,masusta
mataza,mataza
matazatua,matazatu
matrailezurra,matrailezur
matutia,matutia
mazpildu,mazpildu
meatzaria,meatzari
mena,men
mendekoa,mendeko
menditarra,menditar
menditsua,menditsu
menperatu,menperatu
menpetu,menpetu
menpetua,menpetu
mentua,mentu
meroa,mero
metatzailea,metatzaile
mezularia,mezulari
mirari,mirari
miraria,mirari
miraritsua,miraritsu
mireslea,miresle
mirotza,mirotz
misioa,misio
mistoa,misto
moda,moda
moduzkoa,moduzko
mokadu,mokadu
mokadua,mokadu
mokokada,mokokada
mokordoa,mokordo
moldaera,moldaera
moldakaitza,moldakaitz
moldiztegia,moldiztegi
mordoa,mordo
moretua,moretu
morroia,morroi
morrontza,morrontza
motrailua,motrailu
motxailea,motxaile
mozorroa,mozorro
mugakoa,mugako
mugapea,mugape
mugatu,mugatu
mugatua,mugatu
mundutarra,mundutar
murgildu,murgildu
murgildua,murgildu
murritu,murritu
murritua,murritu
murrutu,murrutu
murrutua,murrutu
mus,mus
musa,musa
musak,musa
muskila,muskil
muskildu,muskildu
muskildua,muskildu
musukatu,musukatu
muturrekoa,muturreko
muxika,muxika
muzina,muzin
muzindu,muzindu
muzindua,muzindu
muztioa,muztio
nabartua,nabartu
nagikeria,nagikeria
nagusitu,nagusitu
narotasuna,narotasun
narra,narra
nasai,nasai
natu,natu
natua,natu
nazka,nazka
nazkagarria,nazkagarri
nazkak,nazka
nazkatu,nazkatu
nazkatua,nazkatu
negargarria,negargarri
negartsua,negartsu
negartua,negartu
negutu,negutu
nekaldia,nekaldi
nekazaria,nekazari
nekosta,nekosta
ninia,nini
ninika,ninika
notarioa,notario
odoldu,odoldu
odolgiroa,odolgiro
odolkidea,odolkide
odoltia,odolti
odolustu,odolustu
oi,oi
oia,oi
oiak,oi
oilagorra,oilagor
oilategia,oilategi
oinazkarra,oinazkar
oinaztarria,oinaztarri
oinkada,oinkada
oinkatua,oinkatu
oinordea,oinorde
okatu,okatu
okertu,okertu
okertua,okertu
oles,oles
olibadia,olibadi
oliontzia,oliontzi
ondamua,ondamu
ondasunduna,ondasundun
ondoren,ondoren
ondorena,ondoren
ondorengoa,ondorengo
ondorengoak,ondorengo
ongarritu,ongarritu
ongilea,ongile
oniritzi,oniritzi
oniritzia,oniritzi
ontzailea,ontzaile
ontzidia,ontzidi
opa,opa
orbela,orbel
ordaindu,ordaindu
ordaindua,ordaindu
oreina,orein
orgabidea,orgabide
organista,organista
oroipena,oroipen
oroitza,oroitza
orritu,orritu
osagilea,osagile
osin,osin
osina,osin
ospila,ospil
ostalaria,ostalari
osterantzekoak,osterantzeko
ostikada,ostikada
ostotsa,ostots
ostra,ostra
otadia,otadi
otadiak,otadi
otamena,otamen
otarra,otar
otarraina,otarrain
otarregilea,otarregile
otzana,otzan
ozentasuna,ozentasun
ozpindu,ozpindu
ozpindua,ozpindu
paga,paga
pagausoa,pagauso
pala,pala
papiroa,papiro
pasaportea,pasaporte
pasartea,pasarte
pasmoa,pasmo
patsa,pats
pazia,pazia
perrexila,perrexil
pertsekuzioa,pertsekuzio
pertza,pertz
pikorta,pikorta
pilatu,pilatu
pilatua,pilatu
pilatzaile,pilatzaile
pilatzailea,pilatzaile
pipermina,pipermin
pisutu,pisutu
pisutua,pisutu
pitzatu,pitzatu
pitzatua,pitzatu
piztia,piztia
plantxa,plantxa
platanoa,platano
politasuna,politasun
pontea,ponte
portzelana,portzelana
pospolina,pospolin
postaria,postari
poto,poto
potoa,poto
pozkida,pozkida
pozoia,pozoi
pozoitu,pozoitu
pozoitua,pozoitu
poztu,poztu
poztua,poztu
prentsatu,prentsatu
