erditze gaitza,erditze gaitza
hume botatzea,hume botatzea
uanditu,uanditu
buyaſu,buiasu
uanditua,uanditua
botiñatua,botinatua
motetú,motetu
ninicatzea,ninikatzea
moteatzen aſi dira,moteatzen asi dira
motea ernetzen,motea ernetzen
aguertzen,agertzen
ateratzen aſi dira,ateratzen asi dira
ninicatzen aſi dirade,ninikatzen asi dirade
motetua,motetua
motez jancia,motez jantzia
botonadura,botonadura
uztaitu,uztaitu
uztayaren,uztaiaren
uztayatua,uztaiatua
uztayaren guiſa eguiña,uztaiaren gisa egina
caea,kaea
abrazo,abrazo
errea nago,errea nago
quemar,kemar
encender,entzender
inftamar,inftamar
erretzen naiz,erretzen naiz
biciric erretzen naiz,bizirik erretzen naiz
laztaneguin,laztanegin
arraiztu,arraiztu
alcar laztandu ciran,alkar laztandu ziran
laztanac eman ciran,laztanak eman ziran
laztanguillea,laztangilea
beſarcaria,besarkaria
ar aitzaria,ar aitzaria
arraitzallea,arraitzailea
beſarquera,besarkera
indazu laztan bat,indazu laztan bat
eguidazu laztan,egidazu laztan
egoia,egoia
aberevar,aberebar
ederatu,ederatu
abereac edanerazo,abereak edanerazo
abereac edateratu,abereak edateratu
ederatua,ederatua
edanerazoa,edanerazoa
edaneracia,edanerazia
edateratua,edateratua
abereen edatoquia,abereen edatokia
ederatoquia,ederatokia
compendio,konpendio
chaburtu,txaburtu
chaburtua,txaburtua
chit dago luburtua,txit dago luburtua
chit dago labur,txit dago labur
laburtaria,laburtaria
chaburtzallea,txaburtzailea
chaburtaria,txaburtaria
laburrera,laburrera
chaburrer,txaburrer
hitzaſia,hitzasia
æ,ae
laſterreguizu,lasterregizu
ea agudo,ea agudo
ea laſter,ea laster
azquenean laſter eſateagatic,azkenean laster esateagatik
diot ecen,diot ezen
azquenean beiñ,azkenean bein
edo beiñ bucatzeco,edo bein bukatzeko
aſquenean hitz batez eſateco,askenean hitz batez esateko
alperquerian ſartzea,alperkerian sartzea
alper eguitea,alper egitea
alperquerian,alperkerian
alperquerian ſartua,alperkerian sartua
icia,izia
alper eguiña,alper egina
erraz irequitzen diran muicac,erraz irekitzen diran muikak
nozgueitza,nozgeitza
briga,briga
nozguetu,nozgetu
det,det
dezu,dezu
áeu,aeu
oroldu,oroldu
badau noc oroldu,badau nok oroldu
ondo oroldua dago,ondo oroldua dago
lecu ſegurura biribil latzea,leku segurura biribil latzea
lecu ſeguruan gordetzea,leku seguruan gordetzea
lecu beroa,leku beroa
otzetie gordea,otzetie gordea
eguzquiaz,eguzkiaz
ſuaz berotzea,suaz berotzea
pirilla,pirila
pirillean@euri betean,pirilean@euri betean
idequiezac ate hori,idekiezak ate hori
zabelezazu eſcua,zabelezazu eskua
burua autſi,burua autsi
ceatu,zeatu
begui gora bera batean,begi gora bera batean
