LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
trinkatua	trincatua	trincatuá	trinkatu	trinkatu	trinkatu	trinkatu
boilatuegia	bollatueguia	bollatueguia				
boilatzailea	bollatzallea	bollatzallea				
boilazaina	bollazaina	bollazaina				
trinkatzailea	trincatzallea	trincatzallea				
apaiz	apaiz	apaiz	apaiz		apaiz	apaiz
soneko	soneco	ſoñeco				
laburduna	laburduna	laburduna				
begirok	beguiroc	beguiroc				
arrapatuko	arrapatuco	arrapatuco				
norbait	norbait	norbait	norbait			
azpiratzea	azpiratzea	azpirátzea				
lurreratzea	lurreratzea	lurrerátzea			lurreratze	lurreratze
bzeratzea	bceratzea	bceratzea				
azpiratua	azpiratua	azpiratua			azpiratu	azpiratu
lurreratua	lurreratua	lurreratua			lurreratu	lurreratu
beeratua	beeratua	beeratua				
txit	chit	chit	txit	txit		
daukate	daucate	dáucate				
azpiratuegia	azpiratueguia	azpiratueguia				
&k	&c	&c				
azpiratzailea	azpiratzallea	azpiratzallea	azpiratzaile	azpiratzaile	azpiratzaile	azpiratzaile
lurreratzailea	lurreratzallea	lurreratzallea				lurreratzaile
beeratzailea	beeratzallea	beeratzallea				
lurreratu	lurreratu	lurreratú			lurreratu	lurreratu
beeatu	beeatu	beeatú				
lurreratzen	lurreratzen	lurreratzen				
naiz	naiz	naiz				
zera	cera	cera	zera		zer	zer
gera	guera	guera	gera			
zerate	cerate	cerate				
dira	dira	dira				
ez	ez	ez	ez		ez	ez
ni	ni	ni	ni			
beeratzen	beeratzen	beeratzen				
txarkeria	charqueria	charqueria	txarkeria	txarkeria	txarkeria	txarkeria
orietara	orietara	orietara				
humilartse	humillarse	humillarſe				
beeratzapena	beeratzapena	beeratzapena				
beeratzea	beeratzea	beeratzea				
beeratzapen	beeratzapen	beeratzapen				
aundienean	aundienean	aundienean				
zpiratze	zpiratze	zpiratze				
andienean	andienean	andienean				
beeratu	beeratu	beeratu				
beetitu	beetitu	beetitu				
jatxi	jachi	jachi				
jautsi	jautsi	jautſi	jautsi		jautsi	jautsi
bean	bean	bean				
beera	beera	beera				
beeti	beeti	beeti				
nago	nago	nago				
beerago	beerago	beerago				
beetiago	beetiago	beetiago				
beekoa	beecoa	beecoa				
azpikoa	azpicoa	azpicoa	azpiko		azpiko	azpiko
baxo	baxo	baxo	baxo			
goi	goi	goi	goi		goi	goi
gain	gain	gaiñ	gain		gain	gain
Errege	Erregue	Erregue				
beste	beste	beſte	beste		beste	beste
guzien	gucien	gucien				
bildur	bildur	bildur	bildur			
Erregeaz	Erregueaz	Erregueaz				
kanpora	campora	campora				kanpor
beeregi	beeregui	beeregui				
renuntziar	renunciar	renunciar				
bezea	becea	beceá				
Adbezea	Adbecea	Adbecea				
eztaki	eztaqui	eztaqui				
abezedarioa	abecedarioa	abecedarioa				
abe	ave	ave				
erlea	erlea	erlea	erle		erle	erle
abejeruko	abejeruco	abejeruco				
erletxoa	erlechoa	erlechoa				erletxo
erlezaia	erlezaia	erlezaia	erlezai	erlezai		
erlezaina	erlezaina	erlezaina	erlezain	erlezain	erlezain	erlezain
txori	chori	chori	txori	txori	txori	txori
erlejale	erlejale	erlejale	erlejale			
erleen	erleen	erleen				
galgarria	galgarria	galgarria	galgarri		galgarri	galgarri
listorra	listorra	liſtorrá				listor
erlabioa	erlabioa	erlabioa	erlabio	erlabio		erlabio
listor	listor	liſtor				
jokoa	jocoa	jocoa	joko		joko	joko
iruren	iruren	irurén				
artean	artean	ártean	artean		artean	artean
egitenda	eguitenda	eguitenda				
erdian	erdian	erdian				
dagoana	dagoana	dagoana				
masailean	masallean	maſallean				
jotzera	jotzera	jotzera				
Ludus	Ludus	Ludus				
alaparumi	alaparumy	alaparumy				
ludus	ludus	ludus				
enpusae	empusae	empuſae				
listorra	listorra	liſtorra				listor
otsa	otsa	otſa				ots
edo	edo	edo	edo		edo	edo
sonua	sonua	ſoñua				sonu
gozatzea	gozatzea	gozatzea				gozatze
gozoro	gozoro	gozoró	gozoro			
emeki	emequi	emequi	emeki			
leuntxo	leuncho	leuncho				
austea	austea	auſtea				
bemol	bemol	bemol	bemol		bemol	bemol
gozatua	gozatua	gozatua	gozatu		gozatu	gozatu
autsia	autsia	autſia				autsi
betuleak	betuleac	betuleac				betule
aberat-	aberat-	aberat-				
pekuniosos	pecuniosos	pecúnioſos				
pekus	pecus	pecus				
aber	aver	aver				
haber	haver	haver				
berenjenado	berengenado	berengenado				
hendedura	hendedura	hendedura				
arraka	arraca	arracá				
arrakada	arracada	arracadá	arrakada	arrakada	arrakada	arrakada
jaka	jaca	jacá	jaka		jaka	jaka
sonekorik	sonecoric	ſoñecoric				
botoitu	botoitu	botoitu	botoitu	botoitu		
lotamutu	lotamutu	lotamutu				
ertsi	ertsi	ertſi				
estutu	estutu	eſtutú	estutu	estutu	estutu	estutu
lotu	lotu	lotú	lotu		lotu	lotu
jaka	jaca	jaca	jaka		jaka	jaka
hori	hori	hori	hori			
estutu	estutu	eſtutu	estutu	estutu	estutu	estutu
egutizu	egutizu	egutizu				
ezazu	ezazu	ezázu				
botonar	botonar	botonar				
uztarria	uztarria	uztarria	uztarri		uztarri	uztarri
lorra	lorra	lorrá	lor		lor	lor
saiea	sayea	ſayea				saie
abetoa	abetoa	abetoa				
enbetunar	embetunar	embetunar				
bezatu	bezatu	bezatú	bezatu	bezatu	bezatu	bezatu
oitu	oitu	oitu				
azi	aci	aci				
azitu	acitu	acitú				
bezeroa	beceroa	beceroa	bezero	bezero	bezero	bezero
oitua	oitua	oitua				
azitua	acitua	acitua				azitu
gzizki	gzizqui	gzizqui				
azia	acia	acia				azi
gaizk	gaizqu	gaizqu				
oituegia	oitueguia	oitueguia				
bidaldu	bidaldu	bidaldu	bidaldu		bidaldu	bidaldu
egorri	egorri	egorri			egorri	egorri
Jndietara	Jndietara	Jndietara				
zuten	zuten	zuten				
norabait	norabait	norabait	norabait			
orniturik	ornituric	ornituric				
biderako	bideraco	bideraco	biderako			
deie	deie	deie				
beti	beti	beti	beti		beti	beti
dabil	dabil	dabil				
idikia	idiquia	idiquia	idiki			idiki
idikitua	idiquitua	idiquitua				idikitu
zabala	zabala	zabala	zabal			zabal
zabaldua	zabaldua	zabaldua	zabaldu		zabaldu	zabaldu
nabarra	navarra	navarrá	nabar		nabar	nabar
talde	talde	talde	talde	talde	talde	talde
baten	baten	baten				
erdibaten	erdibaten	erdibaten				
lapurra	lapurra	lapurrá	lapur		lapur	lapur
bigoteduna	bigoteduna	bigoteduna	bigotedun	bigotedun		
gai	gay	gay	gai		gai	gai
ajutua	ajutua	ajutuá				
zintzoa	cintzoa	cintzoa	zintzo	zintzo		zintzo
entregu	entregu	entregú	entregu			
ezta	ezta	ezta	ezta			
orretarako	orretaraco	orretaraco				
gustirako	gustiraco	guſtiraco				
entreg	entreg	entreg				
guzitarako	gucitaraco	gucitaraco				
sertua	sertua	ſertua				
jaioa	jayoa	jayoa	jaio		jaio	jaio
gaiegia	gayeguia	gayeguia				
zintzoegia	cintzoeguia	cintzoeguia				
entregegia	entregueguia	entregueguia				
abilidadea	abilidadea	abilidadea	abilidade		abilidade	abilidade
gaitasuna	gaytasuna	gaytaſuna	gaitasun		gaitasun	gaitasun
zintzotasuna	cintzotasuna	cintzotaſuna	zintzotasun	zintzotasun	zintzotasun	zintzotasun
urlia	vrlia	vrlia	urlia		urlia	urlia
zintzotasun	cintzotasun	cintzotaſun	zintzotasun	zintzotasun	zintzotasun	zintzotasun
andikoa	andicoa	andicoa				
zintzotu	cintzotu	cintzotu	zintzotu	zintzotu	zintzotu	zintzotu
egindute	eguindute	eguindute				
zintzotua	cintzotua	cintzotua	zintzotu	zintzotu	zintzotu	zintzotu
gaei	gaey	gaey				
egina	eguina	eguiña	egin		egin	egin
gairo	gayro	gayró				
zintzor	cinzor	cinzor				
zintzoki	cintzoqui	cintzoqui	zintzoki	zintzoki		
abatir	abatir	abatir				
testamentu	testamentu	teſtamentu	testamentu		testamentu	testamentu
bage	bague	bague	bage			
testamenturik	testamenturic	teſtamenturic				
egingabe	eguingabe	eguingabe				
ezeztatu	ezeztatu	ezeztatu	ezeztatu		ezeztatu	ezeztatu
zinez	cinez	cinez	zinez			
juramentuz	juramentuz	juramentuz				
ezeztatzea	ezeztatzea	ezeztatzea				ezeztatze
desesana	desesana	deſeſaná				desesan
deserrana	deserrana	deſerraná				
sorbeltza	sorbeltza	ſorbeltza	sorbeltz	sorbeltz	sorbeltz	sorbeltz
enada	enada	enada	enada			
elaia	elaya	elaya	elai	elai		elai
andiagoa	andiagoa	andiagoa				
leizea	leicea	leicea	leize	leize	leize	leize
leiza	leiza	leiza				
ondalezea	ondalecea	ondaleceá				
leize	leice	leice	leize	leize	leize	leize
ondar	ondar	ondar				
bagea	baguea	baguea	bage			
ondorik	ondoric	ondoric				
eroria	eroria	eroria	erori		erori	erori
ondatua	ondatua	ondatua				
