LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
aitalena	aitalena	aitalena	aitalen	aitalen		
aitaurrena	aitaurrena	aitaurrena	aitaurren	aitaurren		aitaurren
aitantsitia	aitansitia	aitanſitia				
aitalenaren	aitalenaren	aitalenaren				
aitalendarra	aitalendarra	aitalendarra				
aituritaren	aituritaren	aituritaren				
aiturita	aiturita	aiturita				
aituritarra	aituritarra	aituritarra				
gurasonkarra	gurasoncarra	guraſoncarra				
gurasonkartea	gurasoncartea	guraſoncartea				
gurasonkarria	gurasoncarria	guraſoncarria				gurasonkarri
sorterritarra	sorterritarra	ſorterritarra	sorterritar			sorterritar
jaieterritarra	jayeterritarra	jayeterritarra				
konpatriota	compatriota	compatriota				
patrio	patrio	patrio				
godartetu	godartetu	godartetu				
godartetua	godartetua	godartetua				
godartea	godartea	godartea				godarte
godartaria	godartaria	godartaria				godartari
etxajabea	echajabea	echajabea				
ontzikidaria	ontziquidaria	ontziquidaria				
zuzejauna	zuzejauna	zuzejauna				zuzejaun
zuzejaundea	zuzejaundea	zuzejaundea				zuzejaunde
aitizkia	aitizquia	aitizquia				
patruila	patrulla	patrulla			patruila	patruila
diabatza	diabatza	diabatza				
patruilatu	patrullatu	patrullatu			patruilatu	patruilatu
diabatzatu	diabatzatu	diabatzatu				
pantano	pantano	pantano				
baular	baular	baular				
aulina	aulina	aulina				
mui	muy	muy				
pausa	pausa	pauſa			pausa	pausa
arutsa	arutsa	arutſa				
keraldia	queraldia	queraldia				
pausa	pausa	pauſá			pausa	pausa
pautsutsa	pautsutsa	pautſutſa				
pausutzia	pausutzia	pauſutzia				
pausaka	pausaca	pauſaca				
aruska	arusca	aruſca				
keraldizka	queraldizca	queraldizca				
pausaro	pausaro	pauſaro				
pausakiro	pausaquiro	pauſaquiro				
arutsaro	arutsaro	arutſaro				
aruskiro	arusquiro	aruſquiro				
keraldiro	queraldiro	queraldiro				
keraldikiro	queraldiquiro	queraldiquiro				
pausatua	pausatua	pauſatua	pausatu		pausatu	pausatu
pausatia	pausatia	pauſatia				pausati
arusduna	arusduna	arusduna				
keralditsua	queralditsua	queralditſua				
bausan	bausan	bauſan				
pausatu	pausatu	pauſatu	pausatu		pausatu	pausatu
arusitu	arusitu	aruſitu				
keralditu	queralditu	queralditu				
marrola	marrola	marrola				
marroldaria	marroldaria	marroldaria				
marroldu	marroldu	marroldu				
marroldua	marroldua	marroldua				
Indioiloa	Indiolloa	Indiolloa				
pabana	pavana	pavana	pabana	pabana		
geldoa	gueldoa	gueldoa	geldo	geldo	geldo	geldo
meroso	meroso	meroſo				
etxonpea	echompea	echompea				
gabiota	gabiota	gabiota				
Indioilarra	Indiollarra	Indiollarra				
egazterrena	egazterrena	egazterrena				
joaitaldia	joaitaldia	joaitaldia				
jostaldia	jostaldia	joſtaldia	jostaldi			jostaldi
ibilaldia	ibillaldia	ibillaldia	ibilaldi	ibilaldi	ibilaldi	ibilaldi
moreztatu	moreztatu	moreztatu				
moreztatua	moreztatua	moreztatua				moreztatu
egazterren	egazterren	egazterren				
pabordea	pabordea	pabordea				paborde
pai	pai	pai				
pau	pau	pau				
pabordia	pavordia	pavordia				
despaoorido	despaoorido	deſpaoorido				
ikaraz	icaraz	icaraz	ikaraz			
txoriak	choriac	choriac	txori	txori	txori	txori
txorikaria	choricaria	choricaria				txorikari
alegrartse	alegrarse	alegrarſe				
aguzaniebes	aguzanieves	aguzanieves				
txorikumeal	choricumeal	choricumeál				
txoritzarra	choritzarra	choritzarra				txoritzar
pakea	paquea	paqueá	pake			pake
bakea	baquea	baqueá	bake		bake	bake
uzkuzu	uzcuzu	uzcuzu				
paketan	paquetan	paquetan				
pakea	paquea	paquea	pake			pake
aakora	aacora	aacora				
ointsaria	oinsaria	oinſaria				
ointsarizaia	oinsarizaya	oinſarizaya				
peala	peala	pealá				peal
Peala	Peala	Peala				
soleta	soleta	ſoleta				
ointxorra	oinchorra	oinchorra				
pe@ana	pe@ana	pe@aña				
peadina	peadina	peadiña				
peadana	peadana	peadana				
pebetea	pebetea	pebetea				pebete
kebetea	quebetea	quebetea				
pebetontzia	pebetontzia	pebetontzia				pebetontzi
pebrea	pebrea	pebrea				pebre
ujakia	ujaquia	ujaquia				
oresta	oresta	oreſtá				
nakana	nacana	nacana	nakan	nakan		
pekatxu	pecachu	pecachu				
pekagarri	pecagarri	pecagarri				
bekagarria	becagarria	becagarria				
bekatua	becatua	becatua	bekatu		bekatu	bekatu
egikaia	eguicaya	eguicaya	egikai			egikai
ordukoa	orducoa	orducoa	orduko		orduko	orduko
beniala	veniala	venialá	benial			benial
pekataria	pecataria	pecataria				
bekataria	becataria	becataria	bekatari		bekatari	bekatari
obendaria	obendaria	obendaria				
ogendaria	oguendaria	oguendaria				
hogengilea	hoguenguillea	hoguenguillea				
pekataritzarra	pecataritzarra	pecataritzarra				
pekatutsua	pecatutsua	pecatutſua				
pekatuduna	pecatuduna	pecatuduna				
obentsua	obentsua	obentſua				
bekatu	becatu	becatu	bekatu		bekatu	bekatu
hogen	hoguen	hoguen	hogen			
beka	beca	beca	beka		beka	beka
peka	peca	peca	peka		peka	peka
beraka	beraca	beraca				
bekat	becat	becat				
ezabizi	ezabici	ezabici	ezabizi	ezabizi		
garaiti@a	garaiti@a	garaiti@a				
pezea	pecea	pecea				peze
lutezea	lutecea	lutecea				luteze
arraitxoa	arraichoa	arraichoa				
arraintxoa	arrainchoa	arrainchoa				arraintxo
piketsua	piquetsua	piquetſua				
pieza	pieza	pieza	pieza		pieza	pieza
petxatu	pechatu	pechatu	petxatu	petxatu		
petxak	pechac	pechac	petx		petx	petx
kotiztatu	cotiztatu	cotiztatu				
bulartzarra	bulartzarra	bulartzarra				bulartzar
bulastalkia	bulastalquia	bulaſtalquia				
petxakimtza	pechaquimtza	pechaquimtza				
petxaria	pecharia	pecharia				petxari
kotiztaria	cotiztaria	cotiztaria				kotiztari
petxera	pechera	pechera				
ktantxagorria	ctanchagorria	ctanchagorria				
petxina	pechina	pechina				
boilezna	boillezna	boillezna				
atzutak	atzutac	atzutac				
antzuua	antzuua	antzuua				
lusoka	lusoca	luſoca				
bularr	bularr	bularr				
idukazu	iducazu	iducazu				
bularkia	bularquia	bularquia			bularki	
petxu	pechu	pechu	petxu			
bulakrada	bulacrada	bulacrada				
estula	estula	eſtula				
peilizkar	pellizcar	pellizcar				
peilizko	pellizco	pellizco				
piszina	piscina	piſcina				
mentaa	mentaa	mentaa	menta			menta
ohoinqitria	ohoinqitria	ohoinqitria				
pabonada	pavonada	pavonada				
orestuna	orestuna	oreſtuna				orestun
orestatua	orestatua	oreſtatua				
nakanduna	nacanduna	nacanduna				nakandun
nakantia	nacantia	nacantia				nakanti
bulardagokia	bulardagoquia	bulardagoquia				
bulargurutzea	bulargurutzea	bulargurutzea				
bagokiro	bagoquiro	bagoquiro				
semearen	semearen	ſemearén				
pegujar	pegujar	pegujar				
diruzkoa	diruzcoa	diruzcoa				
puskatxoa	puscachoa	puſcachoa	puskatxo	puskatxo		puskatxo
amentxoa	amenchoa	amenchoa				
zatikoa	zaticoa	zaticoa				zatiko
zaitzea	zaitzea	zaitzea				
zaikin	zaiquin	zaiquin				
zaitzaileaa	zaitzalleaa	zaitzalleaá				
txarren	charren	charren				
eskazaia	escazaya	eſcazaya				
utsantia	utsantia	utſantia				
utsanteria	utsanteria	utſanteria				
pedantismo	pedantismo	pedantiſmo				
utsantiarra	utsantiarra	utſantiarra				
amena	amena	amena	amen		amen	amen
amendu	amendu	amendu				
etendu	etendu	etendu			etendu	etendu
abarrakitu	abarraquitu	abárraquitu	abarrakitu		abarrakitu	abarrakitu
ogu	ogu	ogu				
puskaka	puscaca	puſcaca	puskaka	puskaka		
amenka	amenca	amenca				
zatika	zatica	zatica	zatika	zatika		
zatizka	zatizca	zatizca				
mugerra	muguerra	muguerra	muger		muger	muger
txingarria	chingarria	chingarria				txingarri
irozpea	irozpea	irozpea				irozpe
peana	peana	peana				
oinezkoa	oinezcoa	oiñezcoa	oinezko		oinezko	oinezko
koxkojita	coxcojita	coxcojita				
zorriduna	zorriduna	zorriduna				zorridun
eskatzailea	escatzallea	eſcatzallea	eskatzaile		eskatzaile	eskatzaile
barkaziozka	barcaciozca	barcaciozca				
barkazioaeka	barcacioaeca	barcacioæca				
dagotzu	dagotzu	dagotzu				
eskatua	escatua	eſcatua	eskatu		eskatu	eskatu
puzkerra	puzquerra	puzquerra	puzker	puzker	puzker	puzker
uzkerra	uzquerra	uzquerra	uzker		uzker	uzker
uzkarra	uzcarra	uzcarra	uzkar			
puzkerraldia	puzquerraldia	puzquerraldia				
justos	justos	juſtos				
puzkertia	puzquertia	puzquertia				
uzkartia	uzcartia	uzcartia	uzkarti			
puzker	puzquer	puzquer	puzker	puzker	puzker	puzker
arrikada	arricada	arricada				
arriguda	arriguda	arriguda				
aritzea	aritzea	aritzea				
arrieta	arrieta	arrieta				
trabuko	trabuco	trabuco			trabuko	trabuko
kantera	cantera	cantera				
artistadia	artistadia	artiſtadia				
kantero	cantero	cantero				
txikiago	chiquiago	chiquiago				
abailaria	abaillaria	abaillaria				
arrikaria	arricaria	arricaria				
puzkerregin	puzquerreguin	puzquerreguin				
pikaza	picaza	picaza				
itsaskitxoa	itsasquichoa	itſaſquichoa				
enatxiki	enachiqui	enachiqui				
eritsatsi	eritsatsi	eritſatſi				
erai	erai	erai				
pegado	pegado	pegado				
pinegurren	pinegurren	pinegurren				
pikegilea	piqueguillea	piqueguillea				
pekulio	peculio	peculio				
bizikaitxoa	vicicaichoa	vicicaichoa				
moltsoa	molsoa	molſoa	moltso	moltso		moltso
orraztaria	orraztaria	orraztaria	orraztari	orraztari		
orrazatzailea	orrazatzallea	orrazatzallea				orrazatzaile
orrazapia	orrazapia	orrazapia				orrazapi
zapia	zapia	zapia	zapi	zapi	zapi	zapi
oraztea	oraztea	oraztea				
orrazatzea	orrazatzea	orrazatzea				
orrazilea	orrazillea	orrazillea				
orrazuleak	orrazuleac	orrazuleac				
orrazatu	orrazatu	orrazatu	orrazatu	orrazatu		
orrazatua	orrazatua	orrazatua	orrazatu	orrazatu		
orrazaera	orrazaera	orrazaera				
zearrola	cearrola	cearrola				
orrazea	orracea	orracea	orraze		orraze	orraze
orrazia	orracia	orracia	orrazi		orrazi	orrazi
errajariak	errajariac	errajariac				
enpeine	empeine	empeine				
orrazekintza	orracequintza	orracequintza				
orrazetegia	orraceteguia	orraceteguia				
orrazekina	orracequina	orracequiña				
piel	piel	piel				
solbardan	solbardan	ſolbardan				
dantzari	dantzari	dantzari	dantzari		dantzari	dantzari
larrusoila	larrusoilla	larruſoilla				
ulebagea	ulebaguea	ulebaguea				
bilutsa	bilutsa	bilutſa				
pelanbrera	pelambrera	pelambrera				
goisabiribilak	goisabiribillac	goiſabiribillac				
arboilak	arboillac	arboillac				
moztaria	moztaria	moztaria				moztari
bilustaria	bilustaria	biluſtaria				
bilustea	bilustea	biluſtea				
gizazatarra	guizazatarra	guizazatarra				
biloantza	biloanza	biloanza				
ileantza	illeanza	illeanza				
uleantza	uleanza	uleanza				
ilemoltsoa	illemoltsoa	illemoltſoa				ilemoltso
ileutsunea	illeutsunea	illeutſunea				
uleroila	uleroilla	uleroilla				
iluskeria	illusqueria	illuſqueria				
biluskeria	bilusqueria	biluſqueria				
atzaparkatzea	atzaparcatzea	atzaparcatzea				
iledia	illedia	illedia				iledi
atunkumea	atuncumea	atuncumea				
bagasmotza	bagasmotza	bagaſmotza				
pegujalero	pegujalero	pegujalero				
bilustu	bilustu	biluſtu				
motzitu	motzitu	motzitu				
busoildu	busoildu	buſoildu				
soila	soilla	ſoilla	soil		soil	soil
ulauntzeoa	ulauntzeoa	ulauntzeoa				ulauntzeo
pelea	pelea	pelea	pelea			
gatazka	gatazca	gatazca	gatazka		gatazka	gatazka
gatazkaria	gatazcaria	gatazcaria				gatazkari
peleataria	peleataria	peleataria				peleatari
peleatzailea	peleatzallea	peleatzallea				peleatzaile
peleatu	peleatu	peleatu	peleatu			
gudaztatu	gudaztatu	gudaztatu				
gatazkatu	gatazcatu	gatazcatu	gatazkatu		gatazkatu	gatazkatu
peleatua	peleatua	peleatua	peleatu			peleatu
ilernatu	illernatu	illernatu				
kortu	cortu	cortu				
autziabartza	autziabarza	autziabarza				
gainteskaria	gaintescaria	gainteſcaria				
bilutsean	bilutsean	bilutſean				
maneakintza	maneaquintza	maneaquintza				
manetegia	maneteguia	maneteguia				manetegi
maneakina	maneaquina	maneaquina				maneakin
larru-maneen	larru-maneen	larru-maneen				
uleziatxa	uleciacha	uleciacha				
ilameaska	illameasca	illameaſca				
bilostxorrotxa	biloschorrocha	biloſchorrocha				
ilebiguna	illebiguna	illebigúña				
uleleeuna	uleleeuna	uleleéuna				
bilobera	bilobera	bilóbera				
pelikanoa	pelicanoa	pelicanoa	pelikano		pelikano	pelikano
bururdina	bururdina	bururdiña				bururdin
burutxuria	buruchuria	buruchuria				
iletxuria	illechuria	illechuria				
iletxabur	illechabur	illechabur				
ilelabur	illelabur	illelabur				
ulelaburra	ulelaburra	ulelaburra				
larrutxea	larruchea	larruchea				larrutxe
larrumetxoa	larrumechoa	larrumechoa				
pelanduska	pelandusca	pelanduſca				
gaitzurrea	gaitzurrea	gaitzurrea	gaitzurre	gaitzurre		gaitzurre
perila	perilla	perillá	peril		peril	peril
gaitzurrerik	gaitzurreric	gaitzurreric				
peril-andian	perill-andian	perill-andian				
gaitzurre	gaitzurre	gaitzurre	gaitzurre	gaitzurre		
andian	andian	andian				
andiaren	andiaren	andiaren				
perilaskoren	perillascoren	perillaſcoren				
perilkiro	perilquiro	perilquiro				
gaitzurrekiro	gaitzurrequiro	gaitzurrequiro				
peligroskiro	peligrosquiro	peligroſquiro				
perilitsua	perilitsua	perilitſua				
gaitzurretia	gaitzurretia	gaitzurretia				
peligrotsua	peligrotsua	peligrotſua				peligrotsu
ileluzea	illelucea	illelucea				
iletxoa	illechoa	illechoa	iletxo	iletxo		iletxo
uletxoa	ulechoa	ulechoa				
bilotxoa	bilochoa	bilochoa				
etzabiltzala	etzabiltzala	etzabiltzala				
ezerezkerian	ecerezquerian	ecerezquerian				
frenilo	frenillo	frenillo				
ilebeltxa	illebelcha	illebelcha				
ulebaltza	ulebaltza	ulebaltza				
bilobeltza	bilobeltza	bilobeltza				
ilegorria	illegorria	illegorria			ilegorri	
ilezuta	illezuta	illezuta				
pelilo	pelillo	pelillo				
itsasora	itsasora	itſaſora				
milatza	millatza	millatza				
peila	pella	pella				
elurpeila	elurpella	elurpella				
elurpila	elurpilla	elurpilla				
jakizuri	jaquizuri	jaquizuri				
peilakada	pellacada	pellacada				
malotada	malotada	malotada				
ramera	ramera	ramera				
larrutegia	larruteguia	larruteguia				
narrutegia	narruteguia	narruteguia				
larrutaria	larrutaria	larrutaria				larrutari
narrutria	narrutria	narrutria				
pelikula	pelicula	pelicula	pelikula			
larrutxoa	larruchoa	larruchoa				larrutxo
larrume	larrume	larrume				
oekoa	oecoa	oecoa				
larrumezko	larrumezco	larrumezco				
oiestalkia	oyestalquia	oyeſtalquia				
zamarra	zamarra	zamarra	zamar		zamar	zamar
murriztu	murriztu	murriztú	murriztu		murriztu	murriztu
murrizkia	murrizquia	murrizquia	murrizki			murrizki
azukroretxoak	azucrorechoac	azucrorechoac				
peilote	pellote	pellote				
zabarkeria	zabarqueria	zabarqueria	zabarkeria	zabarkeria	zabarkeria	zabarkeria
plastakia	plastaquia	plaſtaquia				
plastukia	plastuquia	plaſtuquia				
plumon	plumon	plumon				
zerru	cerru	cerru				
tsean	tsean	tſean				
motza	motza	motzá	motz		motz	motz
kuitado	cuitado	cuitado				
peladera	peladera	peladera				
pelanbre	pelambre	pelambre				
pilota	pillota	pillota	pilota		pilota	pilota
pelota	pelota	pelota				
pelotan	pelotan	pelotan				
pilotaria	pillotaria	pillotaria	pilotari		pilotari	pilotari
pelotaria	pelotaria	pelotaria				
aizapelota	aizapelota	aizapelota				
aizapilota	aizapillota	aizapillota				
iokoa	yocoa	yocoa				
pilotada	pillotada	pillotada				
pelotazoa	pelotazoa	pelotazoa				
auntzilea	auntzillea	auntzillea				
no-lanai	no-lanai	no-lanai				
blean	blean	blean				
renir	renir	reñir				
pelotadia	pelotadia	pelotadia				
pilotadia	pillotadia	pillotadia				pilotadi
pelotagilea	pelotaguillea	pelotaguillea				
pilotakina	pillotaquina	pillotaquiña	pilotakin	pilotakin		pilotakin
pelotera	pelotera	pelotera				
pelotatxo	pelotacho	pelotacho				
pilotatxoa	pillotachoa	pillotachoa				pilotatxo
pelotatzarra	pelotatzarra	pelotatzarra				
pilotatzarra	pillotatzarra	pillotatzarra				pilotatzar
Soldadu	Soldadu	Soldadu				
moltsoa	moltsoa	moltſoa	moltso	moltso		moltso
zirberukia	cirberuquia	cirberuquia				zirberuki
peltrea	peltrea	peltrea				peltre
zirberukina	cirberuquina	cirberuquiña				
peltraria	peltraria	peltraria				peltrari
ilerantsia	illeransia	illeranſia				ilerantsi
sarilea	sarillea	ſarillea				
pelukatzarra	pelucatzarra	pelucatzarra				pelukatzar
ilerantzarra	illerantzarra	illerantzarra				ilerantzar
sariletzarra	sarilletzarra	ſarilletzarra				
peloso	peloso	peloſo				
pelukategia	pelucateguia	pelucateguia				pelukategi
ilerantstegia	illeransteguia	illeranſteguia				
sariletegia	sarilleteguia	ſarilleteguia				
pelukagilea	pelucaguillea	pelucaguillea				pelukagile
sarilekina	sarillequina	ſarillequiña				
ilerantsgilea	illeransguillea	illeranſguillea				
pelukatxoa	pelucachoa	pelucachoa				pelukatxo
ilerantsehoa	illeransehoa	illeranſehoa				
sariletxoa	sarillechoa	ſarillechoa				
goroldio	goroldio	goroldio	goroldio		goroldio	goroldio
brena	brena	breña				
aitza	aitza	aitza				
antsiia	ansiya	anſiya				
kaltepena	caltepena	caltepena				
gorpuzpena	gorpuzpena	gorpuzpena				
gorputzeko	gorputzeco	gorputzeco				
penordana	penordana	penordaña				
besteanbesteko	besteambesteco	beſteambeſteco				
pena	pena	pena	pena		pena	pena
lumazko	lumazco	lumazco				
penosamente	penosamente	penoſamente				
edontzi	edonci	edonci	edontzi	edontzi	edontzi	edontzi
penakoa	penacoa	penacoa				
penatarra	penatarra	penatarra				penatar
minaritarra	minaritarra	miñaritarra				minaritar
penaduna	penaduna	penaduna				
minariduna	minariduna	miñariduna				
penatu	penatu	penatu	penatu		penatu	penatu
minaritu	minaritu	miñaritu				
gaitzondoretan	gaitzondoretan	gaitzondoretan				
minaria	minaria	miñaria				minari
minaritua	minaritua	miñaritua				minaritu
penatua	penatua	penatua	penatu		penatu	penatu
minariz	minariz	miñariz				
penadilo	penadillo	penadillo				
etxajainkoak	echajaincoac	echajaincoac				
orlatza	orlatza	orlatza				orlatz
plasitarrua	plasitarrua	plaſitarrua				
resistirtse	resistirse	reſiſtirſe				
plastarrukoa	plastarrucoa	plaſtarrucoa				
orlaztuna	orlaztuna	orlaztuna				
rarer	rarer	rarer				
pen@i	pen@i	pen@i				
lotsilea	lotsillea	lotſillea				
oilikara	ollicara	ollicara				
ezpaitia	ezpaitia	ezpaitia				
jaitetu	jaitetu	jaitetu				
altziabartzatu	alciabartzatu	alciabartzatu				
jaitaria	jaitaria	jaitaria				
auziabartaria	auciabartaria	auciabartaria				
lika	lica	lica	lika		lika	lika
rtaria	rtaria	rtaria				
auziabartzalea	auciabartzalea	auciabartzalea				
liskartz	liscarz	liſcarz				
dindilika	dindilica	dindilica				
depender	depender	depender				
esekirik	esequiric	eſequiric				
apita	apita	apita	apit	apit		apit
manto	manto	manto	manto			
auszentartse	auscentarse	auſcentarſe				
eskapartse	escaparse	eſcaparſe				
esekabila	esecabilla	eſecabilla				
eskribari	escribari	eſcribari				
estandartea	estandartea	eſtandartea	estandarte	estandarte	estandarte	estandarte
labaroa	labaroa	labaroa				labaro
tantaia	tantaya	tantaya	tantai	tantai	tantai	tantai
penitentzia	penitencia	penitencia	penitentzia		penitentzia	penitentzia
penientzial	peniencial	peniencial				
penasko	penasco	peñaſco				
barbagarria	barvagarria	barvagarria				
barrenkaia	barrencaya	barrencaya				barrenkai
barnadea	barnadea	barnadea				
barnatari	barnatari	barnatari				
barnatzalea	barnatzalea	barnatzalea				
barrendaria	barrendaria	barrendaria	barrendari			
barrentzailea	barrentzallea	barrentzallea				barrentzaile
barrundaria	barrundaria	barrundaria				
barruntzailea	barruntzallea	barruntzallea				
barrundu	barrundu	barrundu				
barnaria	barnaria	barnaria	barnari	barnari		barnari
barrenkria	barrencria	barrencria				
barrukaria	barrucaria	barrucaria				barrukari
ziurra	ciurra	ciurra	ziur	ziur	ziur	ziur
barnagarria	barnagarria	barnagarria				barnagarri
barn	barn	barn				
akaia	acaya	acaya				
oztugartea	oztugartea	oztugartea				oztugarte
biozmindea	biozmindea	biozmindea				
nrrikim	nrriquim	nrriquim				
garbia	garbya	garbya	garbi		garbi	garbi
damuqioa	damuqioa	damuqioa				
ezkntape	ezcntape	ezcntape				
mi-	mi-	mi-				
gaitzondorea	gaitzondorea	gaitzondorea				gaitzondore
penitentziarra	penitenciarra	penitenciarra				penitentziar
penitentziazu	penitenciazu	penitenciazu				
gaitzondoretu	gaitzondoretu	gaitzondoretu				
minariiua	minariiua	miñariiua				
penitentziaria	penitenciaria	penitenciaria				
penitentziarioa	penitenciarioa	penitenciarioa				
ilerazgarria	illerazgarria	illerazgarria				
razgarria	razgarria	razgarria				
penitentea	penitentea	penitentea	penitente			penitente
mijnarizalea	mijnarizalea	mijñarizalea				
gaitzondorekia	gaitzondorequia	gaitzondorequia				
aitorgnmea	aitorgnmea	aitorgnmea				
penitent@aileak	penitent@alleac	penitent@alleac				
penitentzialeak	penitencialeac	penitencialeac				
penatsua	penatsua	penatſua	penatsu			penatsu
nekatsua	necatsua	necatſua	nekatsu	nekatsu		
adimen	adimen	adimen	adimen		adimen	adimen
pentsamenta	pensamenta	penſamenta				
ustekina	ustequina	uſtequiña				ustekin
gogakina	gogaquina	gogaquiña				gogakin
aditz	aditz	aditz	aditz		aditz	aditz
gga	gga	gga				
pentsamentua	pensamentua	penſamentua				
gogo-	gogo-	gogo-				
ustez	ustez	uſtez				
irit	irit	irit				
penjaetu	penjaetu	penjaetu				
dut	dut	dut				
duz	duz	duz				
ustedet	ustedet	uſtedet				
ustenuen	ustenuen	uſtenuen				
ustedek	ustedec	uſtedec				
uftu	uftu	uftu				
beazaite	beazaite	beazaite				
begirazaite	beguirazaite	beguirazaite				
pentsezazu	pensezazu	penſezazu				
gogorik	gogoric	gogoric				
bestetaon	bestetaon	beſtetaon				
astiro	astiro	aſtiro	astiro			
gogatu	gogatu	gogatu	gogatu		gogatu	gogatu
pentsatu	pensatu	penſatu	pentsatu		pentsatu	pentsatu
goegarazi	goegaraci	goegaraci				
oarka	oarca	oarca				
gogoan	gogoan	gogoañ				
jarria	jarria	jarria	jarri		jarri	jarri
trin@itaria	trin@itaria	trin@itaria				
baratz	baratz	baratz	baratz		baratz	baratz
pezarria	pezarria	pezarria				pezarri
pezarritu	pezarritu	pezarritu				
pezarriaria	pezarriaria	pezarriaria				pezarriari
pezarri-artzailea	pezarri-artzallea	pezarri-artzallea				
kinke	quinque	quinque			kinke	kinke
folio	folio	folio				
bostaurkea	bostaurquea	boſtaurquea				
bosmarkia	bosmarquia	boſmarquia				
bostointza	bostointza	boſtointza				
bostliburu	bostliburu	boſtliburu				
ondoreko	ondoreco	ondoreco	ondoreko		ondoreko	ondoreko
oztazkena	oztazquena	oztazquena				
atzenurrena	atzenurrena	atzenurrena	atzenurren	atzenurren		
jaturria	jaturria	jaturria				
pena	pena	peña	pena		pena	pena
aitzaga	aitzaga	aitzaga				
atxaga	achaga	achaga				
aitzadia	aitzadia	aitzadia				
arkaizdia	arcaizdia	arcaizdia	arkaizdi	arkaizdi		
penaga	penaga	peñaga				
penaskoa	penascoa	peñaſcoa				
pena	pena	peñá	pena		pena	pena
penaskotsua	penascotsua	peñaſcotſua				
aiztuna	aiztuna	aiztuna				
penintsula	peninsula	peninſula	penintsula		penintsula	penintsula
prenda	prenda	prenda	prenda		prenda	prenda
Yerkondoa	Yercondoa	Yercondoa				
aiztzarra	aiztzarra	aiztzarra				
arkaiztzarra	arcaiztzarra	arcaiztzarra				
atxandia	achandia	achandia				
oneztaria	oneztaria	oñeztaria				
taria	taria	tariá				tari
oinkariak	oincariac	oincariac	oinkari	oinkari		oinkari
lanaldia	lanaldia	lanaldia	lanaldi	lanaldi	lanaldi	lanaldi
oinkaridia	oincaridia	oincaridia				oinkaridi
peonia	peonia	peonia	peonia	peonia		
peonada	peonada	peonada				
ziboila	ciboilla	ciboilla				
gaiztoagoa	gaiztoagoa	gaiztoagoa				
dongeagoa	dongueagoa	dongueagoa				
gaizkiago	gaizquiago	gaizquiago				
dongaroago	dongaroago	dongaroago				
gaizkiagora	gaizquiagora	gaizquiagora				
gaistotik	gaistotic	gaiſtotic				
gaistoagora	gaistoagora	gaiſtoagora				
deungetik	deunguetic	deunguetic				
deungeagora	deungueagora	deungueagora				
zegoen	cegoen	cegoen				
dongoroago	dongoroago	dongoroago				
deungeago	deungueago	deungueago				
gaizkiena	gaizquiena	gaizquiena				
gaitzagoa	gaitzagoa	gaitzagoa				gaitzago
gaitzagorik	gaitzagoric	gaitzagoric				
pipian	pipian	pipian				
melerkidia	melerquidia	melerquidia				
melerkikada	melerquicada	melerquicada				
melerkia	melerquia	melerquia				melerki
pepiona	pepiona	pepiona				
pepita	pepita	pepita				
kioa	quioa	quioa	kio	kio		kio
uiori	uiori	uiori				
teu	teu	teu				
miian	miyan	miyan				
ilerik	illeric	illeric				
miganean	miganean	migañean				
erraspila	erraspilla	erraſpilla				erraspil
berdolaga	verdolaga	verdolaga				
silestre	silestre	ſileſtre				
eznabedurria	eznabedurria	eznabedurria				
txikitasuna	chiquitasuna	chiquitaſuna	txikitasun		txikitasun	txikitasun
tipitasuna	tipitasuna	tipitaſuna				
mendretasuna	mendretasuna	mendretaſuna	mendretasun	mendretasun		mendretasun
txumea	chumea	chumea				
niminoa	niminoa	nimiñoa				
txikitxoa	chiquichoa	chiquichoa	txikitxo	txikitxo		txikitxo
udarea	udarea	udarea	udare		udare	udare
madaria	madaria	madaria	madari		madari	madari
bizarrokotza	bizarrocotza	bizarrocotza				
emakume	emacume	emacumé	emakume		emakume	emakume
udare	udare	udaré	udare		udare	udare
obee	obee	obeé				
benaz	benaz	benaz	benaz	benaz		
burlaz	burlaz	burlaz	burlaz			
josta	josta	joſta				
nagusiaz	nagusiaz	naguſiaz				
udarekia	udarequia	udarequia				udareki
madarikia	madariquia	madariquia				
pelaire	pelaire	pelaire				
udariaga	udariaga	udariaga				
madariaga	madariaga	madariaga				
geitorkiak	gueitorquiac	gueitorquiac				
geisariak	gueisariac	gueiſariac				
pentsar	pensar	penſar				
preparazion	preparacion	preparacion				
bidadia	bidadia	bidadia				bidadi
bidaditzea	bidaditzea	bidaditzea				
bidadigarria	bidadigarria	bidadigarria				
bidadika	bidadica	bidadica				
bidaditzailea	bidaditzallea	bidaditzallea				
barengas	varengas	varengas				
olutxa	olucha	olucha				
olutxatu	oluchatu	oluchatu				
bidaditu	bidaditu	bidaditu				
bidaditua	bidaditua	bidaditua				
eritzea	eritzea	eritzea				eritze
heridor	heridor	heridor				
galarazi	galaraci	galaraci	galarazi		galarazi	galarazi
belatu	belatu	belatu			belatu	belatu
galdari	galdari	galdari				
zinbota	cimbota	cimbotá				zinbot
galera	galera	galerá	galera	galera	galera	galera
gaila	galla	galla				
galnaia	galnaya	galnaya				
galdunaia	galdunaya	galdunaya				
galgura	galgura	galgura				
