source_id,wikibase_lexeme,p6st
219,L87203,L87203-E0BAEB88-3A85-4D45-813E-FA7E5A84B794
220,L87204,L87204-D689B770-09CC-4162-AD3F-39F2827DDA1C
221,L87205,L87205-6ED3D27F-2580-47F5-BB07-9A5215BD0310
222,L87206,L87206-630F1529-A0F8-4336-B19B-5F1B543B10B0
223,L87207,L87207-8B31C382-3277-48F3-9CFB-E9D5DB2B1246
224,L87208,L87208-166B4639-A855-4FB6-B5C9-3602529F65EF
225,L87209,L87209-76382397-3D45-443C-8200-DF57F46E21AB
226,L87210,L87210-57D86838-7C87-4139-BAF8-CFE675FCDE64
227,L87211,L87211-9CE94D83-F21D-47F4-9B47-31147C249DBF
228,L87212,L87212-A20A2EEC-33E8-451F-98B5-E11E838538EC
229,L87213,L87213-0F5949D6-924C-4B8F-B444-04DDF262B156
230,L87214,L87214-2DE0EE12-40F7-4668-B3AF-24C644ACBB61
231,L87215,L87215-568060E5-9640-4328-A3D5-1D5167EEABB3
232,L87216,L87216-0FF28ECF-FFF6-4E09-A033-C6EA79F6901C
233,L87217,L87217-1F44A001-2CCC-437F-B233-25E1024F7E85
234,L87218,L87218-1252FD08-5B69-4681-AF82-E50AA4183B38
235,L87219,L87219-F1E58E06-0727-49F7-B79E-5FEAE34F78B8
236,L87220,L87220-38F20F8F-E6C8-477C-90B1-D359990E6789
237,L87221,L87221-639882BF-D852-4C09-906A-41655C2A4C69
238,L87222,L87222-7EDFAF08-4CE9-45D4-92E1-B7965A683176
239,L87223,L87223-692F1A67-DE1C-4D6F-B21D-2CEBEFEF568B
240,L87224,L87224-6A95745E-BDC9-41E5-94D9-44B1B75607DA
241,L87225,L87225-29BFE6EC-DB5C-404A-92CA-E958E4729A68
242,L87226,L87226-A0CCF53D-BD32-4DA0-97DF-C7CA3EA111E3
243,L87227,L87227-6DF771A1-A5A9-4A8A-B091-9C94A73E7F10
244,L87228,L87228-926B377E-AE8E-4E3F-880B-E146DC33878A
245,L87229,L87229-6ECB259B-B89D-492B-A4FC-AADB7E988B5C
246,L87230,L87230-0AA8D867-48F0-42DB-9355-0E84BDF2798C
247,L87231,L87231-80191EBA-D3D0-42D1-85CC-0653B940743F
248,L87232,L87232-EFCD4F98-E3EF-4C3B-809E-7BBF013DD765
249,L87233,L87233-9171832F-BDF0-4B62-A1BA-11E58954E2C3
