id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
7681	instantia, -ae,	instantia	NOUN	lemma/109487	ONE	NULL
7682	instar	instar	NULL	lemma/108241	*one*	NULL
7683	instatūrus, -a, -um:	instaturus	ADJ	hypolemma/23108	ONE	NULL
7684	instaurātio, -ōnis,	instauratio	NOUN	lemma/108243	ONE	NULL
7685	instaurātīvus, -a, -um:	instauratiuus	ADJ	lemma/108244	ONE	NULL
7686	instauro	instauro	NULL	lemma/108246	*one*	NULL
7687	insterno, -strāvi, -strātum	insterno	VERB	lemma/108248	ONE	NULL
7688	instīgātor, -ōris,	instigator	NOUN	lemma/108251	ONE	NULL
7689	instīgātrix, -trīcis,	instigatrix	NOUN	lemma/108252	ONE	NULL
7690	instīgo	instigo	NULL	lemma/108253	*one*	NULL
7691	instillo	instillo	NULL	lemma/108255	*one*	NULL
7692	instimulātor, -ōris,	instimulator	NOUN	lemma/108256	ONE	NULL
7693	instinctor, -ōris:	instinctor	NOUN	lemma/108258	ONE	NULL
7694	instinctus, -ūs,	instinctus	NOUN	lemma/109542	ONE	NULL
7695	instinctus, -a, -um:	instinctus	ADJ	hypolemma/23093	ONE	NULL
7696	instita, -ae,	instita	NOUN	lemma/108262	ONE	NULL
7697	institi	institi	NULL	lemma/108172,lemma/108264,lemma/108272	*many*	NULL
7698	institio, -ōnis,	institio	NOUN	lemma/108263	ONE	NULL
7699	institor, -ōris,	institor	NOUN	lemma/108267	ONE	NULL
7700	instituo, -ui, -ūtum	instituo	VERB	lemma/108268	ONE	NULL
7701	institūtio, -ōnis,	institutio	NOUN	lemma/108269	ONE	NULL
7702	institūtum, -i,	institutum	NOUN	lemma/109379	ONE	NULL
7703	insto, -stiti, —	insto	VERB	lemma/108272	ONE	NULL
7704	instrātus, -a, -um:	instratus	ADJ	hypolemma/23080	ONE	NULL
7705	instrāvi	instraui	NULL	lemma/108248	*one*	NULL
7706	instrepitus, -a, -um:	instrepitus	ADJ	hypolemma/23111	ONE	NULL
7707	instrepo, -ui, -itum	instrepo	VERB	lemma/108276	ONE	NULL
7708	instrepui	instrepui	NULL	lemma/108276	*one*	NULL
7709	instructio, -ōnis,	instructio	NOUN	lemma/108281	ONE	NULL
7710	instructius	instructius	NULL	hypolemma/115414	*one*	NULL
7711	instructor, -ōris,	instructor	NOUN	lemma/108282	ONE	NULL
7712	instructus, -a, -um:	instructus	ADJ	hypolemma/23122	ONE	NULL
7713	instructus, -ūs,	instructus	NOUN	lemma/109545	ONE	NULL
7714	instrūmentum, -i,	instrumentum	NOUN	lemma/108283	ONE	NULL
7715	instruo, -struxi, -structum	instruo	VERB	lemma/108284	ONE	NULL
7716	instruxi	instruxi	NULL	lemma/108284	*one*	NULL
7717	insuāvis, -e:	insuauis	NOUN	lemma/108290	*one*	NULL
7718	insūdo	insudo	NULL	lemma/108300	*one*	NULL
7719	insuēfactus, -a, -um:	insuefactus	ADJ	hypolemma/23154	ONE	NULL
7720	insuesco, -suēvi, -suētum	insuesco	VERB	lemma/108302	ONE	NULL
7721	insuētē	insuete	NULL	hypolemma/24686	*one*	NULL
7722	insuētus, -a, -um:	insuetus	ADJ	lemma/109380,hypolemma/23157	MANY	NULL
7723	insuēvi	insueui	NULL	lemma/108302	*one*	NULL
7724	insula, -ae,	insula	NOUN	lemma/108308	ONE	NULL
7725	insulānus, -i,	insulanus	NOUN	lemma/108310	ONE	NULL
7726	insulsitās, -ātis,	insulsitas	NOUN	lemma/108317	ONE	NULL
7727	insulsus, -a, -um:	insulsus	ADJ	lemma/108318	ONE	NULL
7728	insultātio, -ōnis,	insultatio	NOUN	lemma/108320	ONE	NULL
7729	insulto	insulto	NULL	lemma/108324	*one*	NULL
7730	insultus, -a, -um:	insultus	ADJ	hypolemma/22932	ONE	NULL
7731	insum, infui, —:	insum	VERB	lemma/108325	ONE	NULL
7732	insūmo, -sumpsi, -sumptum	insumo	VERB	lemma/108327	ONE	NULL
7733	insuo, -sui, -sūtum	insuo	VERB	lemma/108329	ONE	NULL
7734	insuper	insuper	NULL	lemma/108330,lemma/108331	*many*	NULL
7735	insuperābilis, -e:	insuperabilis	NOUN	lemma/108332	*one*	NULL
7736	insurgo, -surrexi, -surrectum	insurgo	VERB	lemma/108335	ONE	NULL
7737	insurrectus, -a, -um:	insurrectus	ADJ	hypolemma/23202	ONE	NULL
7738	insurrexi	insurrexi	NULL	lemma/108335	*one*	NULL
7739	insusurro	insusurro	NULL	lemma/108341	*one*	NULL
7740	insūtus, -a, -um:	insutus	ADJ	hypolemma/23193	ONE	NULL
7741	intābesco, -tābui, —	intabesco	VERB	lemma/108342	ONE	NULL
7742	intabui	intabui	NULL	lemma/108342	*one*	NULL
7743	intactus, -a, -um:	intactus	ADJ	lemma/108344	ONE	NULL
7744	intāminātus, -a, -um:	intaminatus	ADJ	lemma/108346,hypolemma/99715	MANY	NULL
7745	intectus, -a, -um:	intectus	ADJ	lemma/109382,hypolemma/23237	MANY	NULL
7746	integellus, -a, -um:	integellus	ADJ	lemma/108349	ONE	NULL
7747	integer, -gra, -grum:	integer	ADJ	lemma/108350	ONE	NULL
7748	intego, -texi, -tectum	intego	VERB	lemma/108351	ONE	NULL
7749	integrasco, —, —	integrasco	VERB	lemma/108352	ONE	NULL
7750	integrātio, -ōnis,	integratio	NOUN	lemma/108353	ONE	NULL
7751	integritās, -ātis,	integritas	NOUN	lemma/108354	ONE	NULL
7752	integro	integro	NULL	lemma/108356	*one*	NULL
7753	integumentum, -i,	integumentum	NOUN	lemma/108358	ONE	NULL
7754	intellectus, -a, -um:	intellectus	ADJ	hypolemma/23259	ONE	NULL
7755	intellectus, -ūs,	intellectus	NOUN	lemma/109547	ONE	NULL
7756	intellegens, -entis:	intellegens	NOUN	hypolemma/23260	*one*	NULL
7757	intellegentia, -ae,	intellegentia	NOUN	lemma/108359	ONE	NULL
7758	intellego, -lexi, -lectum	intellego	VERB	lemma/108367	ONE	NULL
7759	intellexi	intellexi	NULL	lemma/108367	*one*	NULL
7760	intemerātus, -a, -um:	intemeratus	ADJ	lemma/109433	ONE	NULL
7761	intemperans, -antis:	intemperans	NOUN	lemma/108371	*one*	NULL
7762	intemperantia, -ae,	intemperantia	NOUN	lemma/108372	ONE	NULL
7763	intemperātus, -a, -um:	intemperatus	ADJ	lemma/108373	ONE	NULL
7764	intemperiēs, -ēi:	intemperies	NOUN	lemma/108375	ONE	NULL
7765	intempestivus, -a, -um:	intempestiuus	ADJ	lemma/108377	ONE	NULL
7766	intempestus, -a, -um:	intempestus	ADJ	lemma/108378	ONE	NULL
7767	intemptātus, -a, -um:	intemptatus	ADJ	lemma/108381,hypolemma/23297	MANY	NULL
7768	intendo, -tendi, -tentum	intendo	VERB	lemma/108382	ONE	NULL
7769	intentio, -ōnis,	intentio	NOUN	lemma/108385	ONE	NULL
7770	intento	intento	NULL	lemma/108389	*one*	NULL
7771	intentus, -a, -um:	intentus	ADJ	hypolemma/23287	ONE	NULL
7772	intentus, -ūs,	intentus	NOUN	lemma/108417	ONE	NULL
7773	intepeo, —, —	intepeo	VERB	lemma/108390	ONE	NULL
7774	intepesco, -tepui, —	intepesco	VERB	lemma/108391	ONE	NULL
7775	inter	inter	NULL	lemma/108392,lemma/108393	*many*	NULL
7776	interāmenta, -ōrum,	interamenta	NOUN	lemma/108397	ONE	NULL
7777	interaresco, —, —	interaresco	VERB	lemma/108405	ONE	NULL
7778	intercalāris, e	intercalaris	NOUN	lemma/108411	*one*	NULL
7779	intercalo	intercalo	NULL	lemma/108414	*one*	NULL
7780	intercapēdo, -inis,	intercapedo	NOUN	lemma/108416	ONE	NULL
7781	intercēdo, -cessi, -cessum	intercedo	VERB	lemma/108419	ONE	NULL
7782	intercēpi	intercepi	NULL	lemma/108428	*one*	NULL
7783	interceptio, -ōnis,	interceptio	NOUN	lemma/108420	ONE	NULL
7784	interceptor, -ōris,	interceptor	NOUN	lemma/108421	ONE	NULL
7785	interceptus, -a, -um:	interceptus	ADJ	hypolemma/23341	ONE	NULL
7786	intercessi	intercessi	NULL	lemma/108419	*one*	NULL
7787	intercessio, -ōnis,	intercessio	NOUN	lemma/108422	ONE	NULL
7788	intercessor, -ōris:	intercessor	NOUN	lemma/108423	ONE	NULL
7789	intercessus, -a, -um:	intercessus	ADJ	hypolemma/23333	ONE	NULL
7790	intercidi	intercidi	NULL	lemma/108424,lemma/108425	*many*	NULL
7791	intercīdi	intercidi	NULL	lemma/108424,lemma/108425	*many*	NULL
7792	intercido, -cidi, —	intercido	VERB	lemma/108424,lemma/108425	MANY	NULL
7793	intercīdo, -cīdi,- cīsum	intercido	VERB	lemma/108424,lemma/108425	MANY	NULL
7794	intercino, —, —	intercino	VERB	lemma/108427	ONE	NULL
7795	intercipio, -cēpi, -ceptum	intercipio	VERB	lemma/108428	ONE	NULL
7796	intercīsē	intercise	NULL	hypolemma/112940	*one*	NULL
7797	intercīsus, -a, -um:	intercisus	ADJ	hypolemma/23337	ONE	NULL
7798	interclūdo, -clūsi, -clūsum	intercludo	VERB	lemma/108433	ONE	NULL
7799	interclūsi	interclusi	NULL	lemma/108433	*one*	NULL
7800	interclūsio, -ōnis,	interclusio	NOUN	lemma/109434	ONE	NULL
7801	interclūsus, -a, -um:	interclusus	ADJ	hypolemma/23348	ONE	NULL
7802	intercolumnium, -i,	intercolumnium	NOUN	lemma/108434	ONE	NULL
7803	intercurro, -curri, -cursum	intercurro	VERB	lemma/108435	ONE	NULL
7804	intercurso	intercurso	NULL	lemma/108436	*one*	NULL
7805	intercursus, -ūs,	intercursus	NOUN	lemma/109550	ONE	NULL
7806	intercus, -cutis:	intercus	NOUN	lemma/108437	*one*	NULL
7807	interdico, -dixi, -dictum	interdico	VERB	lemma/108441	ONE	NULL
7808	interdictio, -ōnis,	interdictio	NOUN	lemma/108442	ONE	NULL
7809	interdictum, -i,	interdictum	NOUN	lemma/109588	ONE	NULL
7810	interdictus, -a, -um:	interdictus	ADJ	hypolemma/23366	ONE	NULL
7811	interdiū	interdiu	NULL	lemma/108447	*one*	NULL
7812	interdixi	interdixi	NULL	lemma/108441	*one*	NULL
7813	interductus, -ūs,	interductus	NOUN	lemma/108450	ONE	NULL
7814	interdum	interdum	NULL	lemma/108451,lemma/59965	*many*	NULL
7815	intereā	interea	NULL	lemma/108452	*one*	NULL
7816	interēmi	interemi	NULL	lemma/108500	*one*	NULL
7817	interemptor, -ōris,	interemptor	NOUN	lemma/108456	ONE	NULL
7818	intereo, -ii, -itum	intereo	VERB	lemma/108458,lemma/156457	MANY	NULL
7819	interequito	interequito	NULL	lemma/108459	*one*	NULL
7820	interfātio, -ōnis,	interfatio	NOUN	lemma/108461	ONE	NULL
7821	interfātus, -a, -um:	interfatus	ADJ	hypolemma/23405	ONE	NULL
7822	interfēci	interfeci	NULL	lemma/108471	*one*	NULL
7823	interfectio, -ōnis,	interfectio	NOUN	lemma/108463	ONE	NULL
7824	interfector, -ōris,	interfector	NOUN	lemma/108467	ONE	NULL
7825	interfectrix, -trīcis,	interfectrix	NOUN	lemma/108468	ONE	NULL
7826	interfectus, -a, -um:	interfectus	ADJ	hypolemma/23390	ONE	NULL
7827	interficio, -fēci, -fectum	interficio	VERB	lemma/108471	ONE	NULL
7828	interfluo, -fluxi, —	interfluo	VERB	lemma/108475	ONE	NULL
7829	interfluxi	interfluxi	NULL	lemma/108475	*one*	NULL
7830	interfōdi	interfodi	NULL	lemma/108478	*one*	NULL
7831	interfor	interfor	NULL	lemma/108479	*one*	NULL
7832	interfossus, -a, -um:	interfossus	ADJ	hypolemma/23402	ONE	NULL
7833	interfūsus, -a, -um:	interfusus	ADJ	hypolemma/23414	ONE	NULL
7834	interiaceo	interiaceo	NULL	lemma/108492	*one*	NULL
7835	interiacio	interiacio	NULL	lemma/108496	*one*	NULL
7836	interiēci	interieci	NULL	lemma/108496	*one*	NULL
7837	interiicio, -iēci, -iectum	interiicio	VERB	lemma/108496	ONE	NULL
7838	interiectio, -ōnis,	interiectio	NOUN	lemma/108497	ONE	NULL
7839	interiectus, -a, -um:	interiectus	ADJ	hypolemma/23430	ONE	NULL
7840	interiectus, -ūs,	interiectus	NOUN	lemma/108493	ONE	NULL
7841	interim	interim	NULL	lemma/108499	*one*	NULL
7842	interimo, -ēmi, -emptum	interimo	VERB	lemma/108500	ONE	NULL
7843	interior, -ius:	interior	ADJ	lemma/108501	ONE	NULL
7844	interitio, -ōnis,	interitio	NOUN	lemma/108502	ONE	NULL
7845	interitus, -ūs,	interitus	NOUN	lemma/109551	ONE	NULL
7846	interiunctus, -a, -um:	interiunctus	ADJ	hypolemma/23440	ONE	NULL
7847	interiungo, -iunxi, -iunctum	interiungo	VERB	lemma/108503	ONE	NULL
7848	interiunxi	interiunxi	NULL	lemma/108503	*one*	NULL
7849	interlābor, -lapsus	interlabor	NOUN	lemma/108505	*one*	NULL
7850	interlapsus, -a, -um:	interlapsus	ADJ	hypolemma/23443	ONE	NULL
7851	interlego, —, —	interlego	VERB	lemma/108509	ONE	NULL
7852	interlēvi	interleui	NULL	lemma/108513	*one*	NULL
7853	interlino, -lēvi, -litum	interlino	VERB	lemma/108513	ONE	NULL
7854	interlitus, -a, -um:	interlitus	ADJ	hypolemma/23457	ONE	NULL
7855	interloquor, -locūtus	interloquor	NOUN	lemma/108516	*one*	NULL
7856	interlūceo, -luxi, —	interluceo	VERB	lemma/108518	ONE	NULL
7857	interlūnium, -i,	interlunium	NOUN	lemma/108522	ONE	NULL
7858	interluo, —, —	interluo	VERB	lemma/108523	ONE	NULL
7859	intermenstruus, -a, -um:	intermenstruus	ADJ	lemma/108528	ONE	NULL
7860	interminātus, -a, -um:	interminatus	ADJ	hypolemma/79775	ONE	NULL
7861	interminor	interminor	NULL	lemma/108535	*one*	NULL
7862	intermisceo, -miscui, -mistum	intermisceo	VERB	lemma/108538	ONE	NULL
7863	intermīsi	intermisi	NULL	lemma/108540	*one*	NULL
7864	intermissio, -ōnis,	intermissio	NOUN	lemma/108539	ONE	NULL
7865	intermissus, -a, -um:	intermissus	ADJ	hypolemma/23498	ONE	NULL
7866	intermistus, -a, -um:	intermistus	ADJ	hypolemma/23495	ONE	NULL
7867	intermitto, -mīsi, -missum	intermitto	VERB	lemma/108540	ONE	NULL
7868	intermixtus, -a, -um:	intermixtus	ADJ	hypolemma/23495	ONE	NULL
7869	intermorior, -mortuus	intermorior	NOUN	lemma/108542	*one*	NULL
7870	intermortuus, -a, -um:	intermortuus	ADJ	hypolemma/23501	ONE	NULL
7871	intermundia, -ōrum,	intermundia	NOUN	lemma/108544	ONE	NULL
7872	intermūrālis, -e:	intermuralis	NOUN	lemma/108545	*one*	NULL
7873	internātus, -a, -um:	internatus	ADJ	hypolemma/23511,hypolemma/82984	MANY	NULL
7874	internecio, -ōnis,	internecio	NOUN	lemma/108552	ONE	NULL
7875	internecīvus, -a, -um:	interneciuus	ADJ	lemma/108554	ONE	NULL
7876	internecto	internecto	NULL	lemma/108556	*one*	NULL
7877	interniteo, -nitui, —	interniteo	VERB	lemma/108559	ONE	NULL
7878	internōdium, -i,	internodium	NOUN	lemma/108561	ONE	NULL
7879	internosco	internosco	NULL	lemma/108562	*one*	NULL
7880	internōvi	internoui	NULL	lemma/108562	*one*	NULL
7881	internuntia, -ae,	internuntia	NOUN	lemma/108566	ONE	NULL
7882	internuntio	internuntio	NULL	lemma/108564	*one*	NULL
7883	internuntius, -i,	internuntius	NOUN	lemma/108567	ONE	NULL
7884	internus, -a, -um:	internus	ADJ	lemma/108569	ONE	NULL
7885	intero, -trīvi, -trītum	intero	VERB	lemma/108571,lemma/108752	MANY	NULL
7886	interpellātio, -ōnis,	interpellatio	NOUN	lemma/108577	ONE	NULL
7887	interpellātor, -ōris,	interpellator	NOUN	lemma/108578	ONE	NULL
7888	interpello	interpello	NULL	lemma/108580,lemma/156479	*many*	NULL
7889	interpolo	interpolo	NULL	lemma/108590	*one*	NULL
7890	interpōno, -posui, -positum	interpono	VERB	lemma/108591	ONE	NULL
7891	interpositio, -ōnis,	interpositio	NOUN	lemma/108592	ONE	NULL
7892	interpositus, -a, -um:	interpositus	ADJ	hypolemma/23562	ONE	NULL
7893	interpositus, -ūs,	interpositus	NOUN	lemma/109553	ONE	NULL
7894	interposui	interposui	NULL	lemma/108591	*one*	NULL
7895	interpres, etis,	interpres	NOUN	lemma/108593	ONE	NULL
7896	interpretātio, -ōnis,	interpretatio	NOUN	lemma/108596	ONE	NULL
7897	interpretor	interpretor	NULL	lemma/108602	*one*	NULL
7898	interpunctio, -ōnis,	interpunctio	NOUN	lemma/108605	ONE	NULL
7899	interpunctus, -a, -um:	interpunctus	ADJ	hypolemma/23578	ONE	NULL
7900	interpungo, -punxi, -punctum	interpungo	VERB	lemma/108606	ONE	NULL
7901	interpunxi	interpunxi	NULL	lemma/108606	*one*	NULL
7902	interquiesco, -quiēvi, -quiētum	interquiesco	VERB	lemma/108609	ONE	NULL
7903	interquiētus, -a, -um:	interquietus	ADJ	NULL	ZERO	NULL
7904	interquiēvi	interquieui	NULL	lemma/108609	*one*	NULL
7905	interregnum, -i,	interregnum	NOUN	lemma/108613	ONE	NULL
7906	interrex	interrex	NULL	lemma/108614	*one*	NULL
7907	interritus, -a, -um:	interritus	ADJ	lemma/108617	ONE	NULL
7908	interrogātio, -ōnis,	interrogatio	NOUN	lemma/108622	ONE	NULL
7909	interrogātiuncula, -ae,	interrogatiuncula	NOUN	lemma/108623	ONE	NULL
7910	interrogo	interrogo	NULL	lemma/108627	*one*	NULL
7911	interrumpo, -rūpi, -ruptum	interrumpo	VERB	lemma/108628	ONE	NULL
7912	interrūpi	interrupi	NULL	lemma/108628	*one*	NULL
7913	interruptus, -a, -um:	interruptus	ADJ	hypolemma/23610	ONE	NULL
7914	intersaepio, -saepsi, -saeptum	intersaepio	VERB	lemma/108631	ONE	NULL
7915	intersaepsi	intersaepsi	NULL	lemma/108631	*one*	NULL
7916	intersaeptus, -a, -um:	intersaeptus	ADJ	hypolemma/23613	ONE	NULL
7917	interscidi	interscidi	NULL	lemma/108636	*one*	NULL
7918	interscindo, -scidi, -scissum	interscindo	VERB	lemma/108636	ONE	NULL
7919	interscissus, -a, -um:	interscissus	ADJ	hypolemma/23617	ONE	NULL
7920	interscrībo, —, —	interscribo	VERB	lemma/108637	ONE	NULL
7921	intersero, -serui, -sertum	intersero	VERB	lemma/108641,lemma/108642	MANY	NULL
7922	intersero, -sēvi, -situm	intersero	VERB	lemma/108641,lemma/108642	MANY	NULL
7923	intersēvi	interseui	NULL	lemma/108641	*one*	NULL
7924	intersitus, -a, -um:	intersitus	ADJ	hypolemma/23629	ONE	NULL
7925	interspīrātio, -ōnis,	interspiratio	NOUN	lemma/108648	ONE	NULL
7926	interstinctus, -a, -um:	interstinctus	ADJ	hypolemma/23644	ONE	NULL
7927	intersum, -fui, —:	intersum	VERB	lemma/108661	ONE	NULL
7928	intertexo, -texui, -textum	intertexo	VERB	lemma/108663	ONE	NULL
7929	intertrīmentum, -i,	intertrimentum	NOUN	lemma/108667	ONE	NULL
7930	intervallum, -i,	interuallum	NOUN	lemma/109436	ONE	NULL
7931	intervenio, -vēni, -ventum	interuenio	VERB	lemma/108681	ONE	NULL
7932	interventor, -ōris,	interuentor	NOUN	lemma/108684	ONE	NULL
7933	interventus, -a, -um:	interuentus	ADJ	hypolemma/23680	ONE	NULL
7934	interventus, -ūs,	interuentus	NOUN	lemma/108680	ONE	NULL
7935	interversus, -a, -um:	interuersus	ADJ	hypolemma/23686	ONE	NULL
7936	interverto, -verti, -versum	interuerto	VERB	lemma/108688	ONE	NULL
7937	intervīso, -vīsi, -vīsum	interuiso	VERB	lemma/108693	ONE	NULL
7938	intervolito	interuolito	NULL	lemma/108696	*one*	NULL
7939	intestābilis, -e:	intestabilis	NOUN	lemma/108699	*one*	NULL
7940	intestātus, -a, -um:	intestatus	ADJ	hypolemma/80558	ONE	NULL
7941	intestīnus, -a, -um:	intestinus	ADJ	lemma/108703	ONE	NULL
7942	intexo, -texui, -textum	intexo	VERB	lemma/108707	ONE	NULL
7943	intextus, -a, -um:	intextus	ADJ	hypolemma/23712	ONE	NULL
7944	intexui	intexui	NULL	lemma/108707	*one*	NULL
7945	intibum, -i,	intibum	NOUN	lemma/108772	ONE	NULL
7946	intimē	intime	NULL	hypolemma/23722	*one*	NULL
7947	intimus, -a, -um:	intimus	ADJ	lemma/108713	ONE	NULL
7948	intinctus, -a, -um:	intinctus	ADJ	hypolemma/23723	ONE	NULL
7949	inting(u)o, -tinxi, -tinctum	intinguo	VERB	lemma/108715	ONE	NULL
7950	intinxi	intinxi	NULL	lemma/108715	*one*	NULL
7951	intolerābilis, -e:	intolerabilis	NOUN	lemma/108718	*one*	NULL
7952	intolerandus, -a, -um:	intolerandus	ADJ	lemma/109388	ONE	NULL
7953	intolerans, -antis:	intolerans	NOUN	lemma/109389,hypolemma/23730	*many*	NULL
7954	intoleranter	intoleranter	NULL	hypolemma/24702	*one*	NULL
7955	intolerantia, -ae,	intolerantia	NOUN	lemma/109490	ONE	NULL
7956	intono, -tonui, -tonatum	intono	VERB	lemma/108723	ONE	NULL
7957	intonui	intonui	NULL	lemma/108723	*one*	NULL
7958	intonsus, -a, -um:	intonsus	ADJ	lemma/109387,hypolemma/23732	MANY	NULL
7959	intorqueo, -torsi, -tortum	intorqueo	VERB	lemma/108724	ONE	NULL
7960	intorsi	intorsi	NULL	lemma/108724	*one*	NULL
7961	intortus, -a, -um:	intortus	ADJ	hypolemma/23738	ONE	NULL
7962	intrā	intra	NULL	lemma/108726,lemma/108727	*many*	NULL
7963	intrābilis, -e:	intrabilis	NOUN	lemma/108728	*one*	NULL
7964	intractābilis, -e:	intractabilis	NOUN	lemma/108730	*one*	NULL
7965	intractātus, -a, -um:	intractatus	ADJ	lemma/108731	ONE	NULL
7966	intremisco	intremisco	NULL	lemma/109589	*one*	NULL
7967	intremui	intremui	NULL	lemma/108741,lemma/109589	*many*	NULL
7968	intrepidus, -a, -um:	intrepidus	ADJ	lemma/108744	ONE	NULL
7969	intribuo, -ui, -ūtum	intribuo	VERB	lemma/108745	ONE	NULL
7970	intrīco	intrico	NULL	lemma/108747	*one*	NULL
7971	intrinsecus	intrinsecus	NULL	lemma/108749,lemma/60109	*many*	NULL
7972	intrītus, -a, -um:	intritus	ADJ	lemma/109391,hypolemma/23538,hypolemma/86216	MANY	NULL
7973	intrīvi	intriui	NULL	lemma/108571	*one*	NULL
7974	intrō	intro	NULL	lemma/108751,lemma/108752,lemma/60111	*many*	NULL
7975	intro	intro	NULL	lemma/108751,lemma/108752,lemma/60111	*many*	NULL
7976	intrōdūco, -duxi, -ductum	introduco	VERB	lemma/109581	ONE	NULL
7977	intrōductio, -ōnis,	introductio	NOUN	lemma/108757	ONE	NULL
7978	introductus, -a, -um:	introductus	ADJ	hypolemma/24837	ONE	NULL
7979	introduxi	introduxi	NULL	lemma/109581	*one*	NULL
7980	introeo, -īvi	introeo	NOUN	lemma/109583	*one*	NULL
7981	intrōfero, —, —	introfero	VERB	lemma/109582	ONE	NULL
7982	intrōgredior, -gressus	introgredior	NOUN	lemma/108760	*one*	NULL
7983	introgressus, -a, -um:	introgressus	ADJ	hypolemma/23798	ONE	NULL
7984	introii	introii	NULL	lemma/109583	*one*	NULL
7985	introitus, -a, -um:	introitus	ADJ	hypolemma/110560	ONE	NULL
7986	introitus, -ūs,	introitus	NOUN	lemma/108755	ONE	NULL
7987	introīvi	introiui	NULL	lemma/109583	*one*	NULL
7988	intrōmīsi	intromisi	NULL	lemma/109585	*one*	NULL
7989	intrōmissus, -a, -um:	intromissus	ADJ	hypolemma/24846	ONE	NULL
7990	intrōmitto, -mīsi, -missum	intromitto	VERB	lemma/109585	ONE	NULL
7991	introrsum	introrsum	NULL	lemma/108764	*one*	NULL
7992	intrōrumpo, —, —	introrumpo	VERB	lemma/108765	ONE	NULL
7993	introspectus, -a, -um:	introspectus	ADJ	hypolemma/23808	ONE	NULL
7994	introspexi	introspexi	NULL	lemma/108766	*one*	NULL
7995	introspicio, -spexi, -spectum	introspicio	VERB	lemma/108766	ONE	NULL
7996	intrōvoco	introuoco	NULL	lemma/109587	*one*	NULL
7997	intub-	intub	NULL	NULL	ZERO	NULL
7998	intueor	intueor	NULL	lemma/108773	*one*	NULL
7999	intuitus, -a, -um:	intuitus	ADJ	hypolemma/23815	ONE	NULL
8000	intuli	intuli	NULL	lemma/107649	*one*	NULL
8001	intumesco, -tumui, —	intumesco	VERB	lemma/108777	ONE	NULL
8002	intumui	intumui	NULL	lemma/108777	*one*	NULL
8003	intumulātus, -a, -um:	intumulatus	ADJ	lemma/108778,hypolemma/82938	MANY	NULL
8004	inturbidus, -a, -um:	inturbidus	ADJ	lemma/108781	ONE	NULL
8005	intus	intus	NULL	lemma/108783,lemma/60136	*many*	NULL
8006	intūtus, -a, -um:	intutus	ADJ	lemma/108784	ONE	NULL
8007	inula, -ae,	inula	NOUN	lemma/108876	ONE	NULL
8008	inuleus, -i,	inuleus	NOUN	lemma/105493	ONE	NULL
8009	inultus, -a, -um:	inultus	ADJ	hypolemma/23978	ONE	NULL
8010	inumbro	inumbro	NULL	lemma/108882	*one*	NULL
8011	inundātio, -ōnis,	inundatio	NOUN	lemma/108886	ONE	NULL
8012	inundo	inundo	NULL	lemma/108888	*one*	NULL
8013	inunctus, -a, -um:	inunctus	ADJ	hypolemma/23996	ONE	NULL
8014	inung(u)o, -unxi, -unctum	inunguo	VERB	lemma/108889	ONE	NULL
8015	inunxi	inunxi	NULL	lemma/108889	*one*	NULL
8016	inurbānus, -a, -um:	inurbanus	ADJ	lemma/108904	ONE	NULL
8017	inūro, -ussi, -ustum	inuro	VERB	lemma/108908	ONE	NULL
8018	inūsitātus, -a, -um:	inusitatus	ADJ	lemma/108909	ONE	NULL
8019	inussi	inussi	NULL	lemma/108908	*one*	NULL
8020	inustus, -a, -um:	inustus	ADJ	lemma/109394,hypolemma/24025	MANY	NULL
8021	inūtilis, -e:	inutilis	NOUN	lemma/108912	*one*	NULL
8022	inūtilitās, -ātis,	inutilitas	NOUN	lemma/108913	ONE	NULL
8023	invādo, vāsi, vāsum	inuado	VERB	lemma/108785,lemma/108786	MANY	NULL
8024	invalesco, -valui, —	inualesco	VERB	lemma/109590	ONE	NULL
8025	invalidus, -a, -um:	inualidus	ADJ	lemma/108788	ONE	NULL
8026	invāsi	inuasi	NULL	lemma/108785,lemma/108786	*many*	NULL
8027	invāsus, -a, -um:	inuasus	ADJ	hypolemma/23834	ONE	NULL
8028	invectio, -ōnis,	inuectio	NOUN	lemma/108796	ONE	NULL
8029	invectus, -a, -um:	inuectus	ADJ	hypolemma/23850	ONE	NULL
8030	inveho, -vexi, -vectum	inueho	VERB	lemma/108801	ONE	NULL
8031	invēni	inueni	NULL	lemma/108806	*one*	NULL
8032	invenio, -vēni, -ventum	inuenio	VERB	lemma/108806	ONE	NULL
8033	inventio, -ōnis,	inuentio	NOUN	lemma/108809	ONE	NULL
8034	inventor, -ōris,	inuentor	NOUN	lemma/108811	ONE	NULL
8035	inventrix, -trīcis,	inuentrix	NOUN	lemma/108812	ONE	NULL
8036	inventum, -i,	inuentum	NOUN	lemma/109559	ONE	NULL
8037	inventus, -a, -um:	inuentus	ADJ	hypolemma/23865	ONE	NULL
8038	invenustus, -a, -um:	inuenustus	ADJ	lemma/108813	ONE	NULL
8039	inverēcundus, -a, -um:	inuerecundus	ADJ	lemma/108816	ONE	NULL
8040	invergo, —, —	inuergo	VERB	lemma/108817	ONE	NULL
8041	inversio, -ōnis,	inuersio	NOUN	lemma/108819	ONE	NULL
8042	inversus, -a, -um:	inuersus	ADJ	lemma/109395,hypolemma/23884	MANY	NULL
