id	lemmaRaw	wr	upostag	lilaRef	matchType	modLemma
3983	destitūtio, -ōnis,	destitutio	NOUN	lemma/98966	ONE	NULL
3984	destrictus, -a, -um:	destrictus	ADJ	hypolemma/11963	ONE	NULL
3985	destringo, -strinxi, -strictum	destringo	VERB	lemma/98971	ONE	NULL
3986	destrinxi	destrinxi	NULL	lemma/98971	*one*	NULL
3987	destructio, -ōnis,	destructio	NOUN	lemma/98973	ONE	NULL
3988	destructus, -a, -um:	destructus	ADJ	hypolemma/11972	ONE	NULL
3989	destruo, -struxi, -structum	destruo	VERB	lemma/98976	ONE	NULL
3990	destruxi	destruxi	NULL	lemma/98976	*one*	NULL
3991	dēsubito	desubito	NULL	lemma/47039,lemma/98979	*many*	NULL
3992	dēsūdo	desudo	NULL	lemma/98983	*one*	NULL
3993	dēsuēfacio, -fēci, -factum	desuefacio	VERB	lemma/98985	ONE	NULL
3994	dēsuesco, -suēvi, -suētum	desuesco	VERB	lemma/98987	ONE	NULL
3995	dēsuētūdo, -inis,	desuetudo	NOUN	lemma/98988	ONE	NULL
3996	dēsuētus, -a, -um:	desuetus	ADJ	hypolemma/11988	ONE	NULL
3997	dēsuēvi	desueui	NULL	lemma/98987	*one*	NULL
3998	dēsultor, -ōris,	desultor	NOUN	lemma/98993	ONE	NULL
3999	dēsultōrius, -a, -um: desultor	desultorius	ADJ	lemma/98992	ONE	NULL
4000	dēsultus, -a, -um:	desultus	ADJ	hypolemma/11882	ONE	NULL
4001	dēsum, -fui, —	desum	VERB	lemma/98996	ONE	NULL
4002	dēsūmo, -sumpsi, -sumptum	desumo	VERB	lemma/98997	ONE	NULL
4003	dēsumpsi	desumpsi	NULL	lemma/98997	*one*	NULL
4004	dēsumptus, -a, -um:	desumptus	ADJ	hypolemma/11997	ONE	NULL
4005	dēsuper	desuper	NULL	lemma/98999	*one*	NULL
4006	desurgo, -surrexi, -surrectum	desurgo	VERB	lemma/99000	ONE	NULL
4007	dētectus, -a, -um:	detectus	ADJ	hypolemma/12005	ONE	NULL
4008	dētego, -texi, -tectum	detego	VERB	lemma/99006	ONE	NULL
4009	dētendo, -tendi, -tensum	detendo	VERB	lemma/99008	ONE	NULL
4010	dētensus, -a, -um:	detensus	ADJ	hypolemma/12009	ONE	NULL
4011	dētentus, -a, -um:	detentus	ADJ	hypolemma/12043	ONE	NULL
4012	dētergeo, -tersi, -tersum	detergeo	VERB	lemma/99015	ONE	NULL
4013	dēterior, -ius,	deterior	ADJ	lemma/99017	ONE	NULL
4014	dēterius	deterius	NULL	lemma/99020,hypolemma/113556	*many*	NULL
4015	dēterminātio, -ōnis,	determinatio	NOUN	lemma/99022	ONE	NULL
4016	dētermino	determino	NULL	lemma/99024	*one*	NULL
4017	dētero, -trīvi, -trītum	detero	VERB	lemma/99025	ONE	NULL
4018	dēterreo	deterreo	NULL	lemma/99027	*one*	NULL
4019	dēterrimus, -a, -um,	deterrimus	ADJ	hypolemma/115670	*one*	NULL
4020	dētersi	detersi	NULL	lemma/99015	*one*	NULL
4021	dētersus, -a, -um:	detersus	ADJ	hypolemma/12014	ONE	NULL
4022	dētestābilis, -e:	detestabilis	NOUN	lemma/99029	*one*	NULL
4023	dētestātio, -ōnis,	detestatio	NOUN	lemma/99031,lemma/99432	MANY	NULL
4024	dētestor	detestor	NULL	lemma/99033	*one*	NULL
4025	dētexi	detexi	NULL	lemma/99006	*one*	NULL
4026	dētexo, -texui, -textum	detexo	VERB	lemma/99034	ONE	NULL
4027	dētexui	detexui	NULL	lemma/99034	*one*	NULL
4028	dētextus, -a, -um:	detextus	ADJ	hypolemma/12039	ONE	NULL
4029	dētineo, -tinui, -tentum	detineo	VERB	lemma/99036	ONE	NULL
4030	dētinui	detinui	NULL	lemma/99036	*one*	NULL
4031	dētondeo, -tondi, -tonsum	detondeo	VERB	lemma/99037	ONE	NULL
4032	dētondi	detondi	NULL	lemma/99037	*one*	NULL
4033	dētono, -tonui, —	detono	VERB	lemma/99038	ONE	NULL
4034	dētonsus, -a, -um:	detonsus	ADJ	hypolemma/12046	ONE	NULL
4035	dētorqueo, -torsi, -tortum	detorqueo	VERB	lemma/99043	ONE	NULL
4036	dētorsi	detorsi	NULL	lemma/99043	*one*	NULL
4037	dētortus, -a, -um:	detortus	ADJ	hypolemma/12055	ONE	NULL
4038	dētractio, -ōnis,	detractio	NOUN	lemma/99045	ONE	NULL
4039	dētractor, -ōris,	detractor	NOUN	lemma/99046	ONE	NULL
4040	dētractus, -a, -um:	detractus	ADJ	hypolemma/12059	ONE	NULL
4041	dētraho, -traxi, -tractum	detraho	VERB	lemma/99047	ONE	NULL
