id	qid	text
9679	L96662	nōtio, -ōnis, f.: ezagutze, ezagutza, ideia; esanahi, zentzu, adiera; ikerketa, azterketa; kontrako ohar edo zentsura [Erromako zentsorearena]
9680	L96663	nōtitia, -ae, f.: ezaguna izatea (virtus habet notitiam posteritatis: bertutea ezaguna da etorkizunean; si quid in nobis notitiae ac nominis est: pixka bat ezaguna eta izen onekoa banaiz); fama; ezagutza, ideia (notitiam aperire: ideia bat argitu).
9681	L96664	nōtitiēs, -ēi, f.: ikus notitia.
9682	L96665	noto 1: gauza bat seinalatu, markatu, beste batzuetatik bereizteko (tabellam cerā: ohola argizariarekin); adierazi, izendatu; zentsoreak ohar bat idatzi herritar baten izenari (aliquem furti nomine notare: norbait lapurra dela ohartarazi); bereizi (culta ab incultis: kultua ezjakinetik); adierazi (aliquid verbis latinis: zerbait latindar hitzekin); argitu; etimologia azaldu (verbum: hitz batena); aipatu, izendatu (aliquem: norbait); gaitzetsi (verbis aliquem: norbait hitzez); idatzi; ohartu, konturatu.
9683	L96666	notus, -i, m.: hego-haize, hego; haize.
9684	L96667	nōtus, -a, -um: pp., ikus nosco. — Adj.: ezagun, jakin(a), publiko; lagunkoi, lagunaren, lagun-; ospetsu, nabarmen, famatu (animi paterni in fratres: bere anai-arrebei zien aita-maitasunagatik); arrunt, ohiko; ezagutzaile, jakitun [+ gen.].
9685	L96668	nōtus, -i, m.: ezagun, lagun on.
9686	L96669	novācula, -ae, f.: bizar-labana.
9687	L96670	novāle, -is, n., eta novālis, -is, f.: lugorri, lur landu.
9688	L96671	novātrix, -īcis, f.: berriztatzaile, berritzaile [emakumezkoa].
9689	L96672	novellus, -a, -um: berri, duela gutxiko (novella oppida: hiri konkistatu berriak); gazte.
9690	L96673	novem: bederatzi.
9691	L96674	november, -bris, bre: azaroari dagokion(a), azaroko, azaro-; mensis November: azaroa.
9692	L96675	novendiālis, -e: bederatzi eguneko (feriae novendiales: bederatzi egun irauten zuten jaiak); bederatzigarren eguneko (pulveres novendiales: bederatzigarren eguneko errautsak, errauts artean beroak).
9693	L96676	novēni, -ae, -a: bederatzinakako, bederatziko, bederatzi unitateko (virgines ter novenae: bederatzi dontzeilako hiru talde, hogeita zazpi dontzeila).
9694	L96677	novensilis, -e: berri, berriki onartu(a).
9695	L96678	noverca, -ae, f.: amaorde.
9696	L96679	novercālis, -e: amaordearen, amaorde-; basati, anker.
9697	L96680	nōvi: perf., ikus nosco
9698	L96681	novīcius, -a, -um: berri, nobizio.
9699	L96682	noviens[eta -iēs], adb.: bederatzi aldiz.
9700	L96683	novissimē, adb.: azkenaldian, duela oso gutxi; azkenean, azkenik.
9701	L96684	novitās, -ātis, f.: berritasun, bitxikeria, ohiz kanpokoa, arraroa, harrigarria (rei: gauza bati buruz); hasiera (anni: urtearena); iluntasun, apaltasun (leinuarena); novitates: harreman berriak, ezagun berriak.
9702	L96685	novo 1: berritu, berriz egin (vulnus: zauria); indarberritu (membra: gorputz-adarrak); saratu, bigarren aldiz goldatu (agrum: lurra); asmatu (verba: hitzak); aldatu, gauza berriak ekarri; birsortu, suspertu.
9703	L96686	novus, -a, -um: berri, gazte (res novae: berrikuntzak, iraultza; homo novus: bere merituengatik goratu den leinu apaleko gizona); fresko (lac: esne jetzi berria); ezezagun, ohiz kanpoko; ezohiko, inoiz entzun gabeko; beste bat (novus Hannibal: beste Hanibal bat, bigarren Hanibal bat); novissimus, -a, -um: gerorengo, azken (novissimum agmen: atzeguardia; novissima acies: atzeguardia); gazteen, berrien; nagusi, gogorren
9704	L96687	nox, noctis, f.: gau (multā nocte edo de multā nocte: gauean oso berandu); loaldi, gaueko atseden; iluntasun, ilunpe; betiereko gaua (infernua); heriotza; itsutasun; nahaste-borraste, anabasa, nahas-mahas.
9705	L96688	noxa, -ae, f.: kalte, erru; delitu, krimen; zigor.
9706	L96689	noxia, -ae, f.: erru, delitu; kalte, min.
9707	L96690	noxius, -a, -um: kaltegarri, mingarri; errudun.
9708	L96691	nūbēcula, -ae, f.: hodeitxo, laintxo.
9709	L96692	nūbēs, -is, f.: hodei, laino; multzo handi, talde handi (otiak, txoriak, soldaduak, geziak...); belo, iluntasun, gau; tristura, atsekabe, egoera estugarri; ekaitz [gerrakoa].
9710	L96693	nūbifer, -fera, -ferum: lainoak dakartzan(a).
9711	L96694	nūbigena, -ae, m.: lainoen seme [zentauroak]
9712	L96695	nūbilis, -e: ezkontza-adineko; kementsu.
9713	L96696	nūbilus, -a, -um: hodeitsu, lainotu(a), lainoz estali(a), lainoak dakartzan(a); ilun, triste, kontrako, zorigaiztoko, zoritxarreko; -um i, n.: lainoak, lainotza.
9714	L96697	nūbo, nupsi, nuptum 3: ezkondu, esposatu [emakumezkoa] (alicui edo cum aliquo: norbaitekin; filiam alicui nuptumdare: alaba norbaiti eman ezkontzeko, alaba norbaitekin ezkonarazi; nuptum in allias civitates collocare; ezkontzez beste hiri batzuetara eman, beste hiri batzuetan ezkonarazi).
9715	L96698	nucis:nuxen gen.
9716	L96699	nucleus, -i, m.: mami (oskola duten fruituen barrualdea osatzen duen gai biguna: intxaurrarena, urrena, ezkurrena, etab.); fruituen hezur; muin, funts.
9717	L96700	nūdius, adb.: [beti zenbaki ordinalarekin] gaur da n-garren eguna, duela n-1 egun (n. tertius: gaur hirugarren eguna da, duela bi egun, herenegun; heri n. quintus natus quidem ille est: atzo bost egun bete ziren jaio zenetik).
9718	L96701	nūdo 1: biluzgorritu, biluzi (aliquem: norbait); atera, zorrotik atera (gladium: ezpata); -z gabetu, kendu (murum defensoribus n: defendatzaileak harresitik kendu); suntsitu (agros: lurrak); -en eraginpean jarri, -en arriskuan jarri (corpus ad ictus n.: gorputza kolpeen arriskuan jarri); babesgabe utzi (castra: kanpamentua); erakutsi, estalgabetu.
9719	L96702	nūdus, -a, -um: biluz, biluzi, bistan den(a), bistako (nudus membra: bere gorputz-adarrak bistan dituela, biluzik); arropa gutxiko, erdi biluzi (nudus ara: erdi biluzik golda ezazu); estali gabe(ko); zorrotik ateratako; lurperatu gabe(ko), ehortzi gabe(ko); armagabe; huts (subsellium: jarlekua); -z gabetu(a) [abl.]; xalo, soil, apaindura gabe(ko), tolesgabe(ko); puru; bakarrik, baino ez (nuda ira: haserre hutsa, haserrea baino ez); gabe(ko) (nudus a propinquis: ahaide gabe); xume, apaindura gabe(ko); behartsu, pobre.
9720	L96703	nūgae, -ārum, f.: tontakeriak, huskeriak, txikikeriak, zozokeriak, ergelkeriak; kantu arinak, bertso arinak; txolinak, kaskarinak, txoriburuak.
9721	L96704	nūgātor, -ōris, m.: ahobero, aho-zikin, aho-beltz, ahohandi, ahozabal, hitzontzi, berbalapiko.
9722	L96705	nūgātōrius, -a, -um: hutsal, zirtzil; ezdeus, gauzaez.
9723	L96706	nūgax, -ācis: adarjotzaile, txantxazale, ergel, buruarin, kaskarin, txoriburu.
9724	L96707	nūgor 1: txantxetan ari izan, bromatan ari izan; tontakeriak esan, txepelkerietan jardun, lelokeriak esan, zozokeriak esan; gezurretan ibili.
9725	L96708	nullus, -a, -um: bat ere ez (nullo ordine: ordenarik gabe; non nullus: baten bat; nullus non: guztiak; nullus unus: bat bera ere ez; ii nulli: haietako bat ere ez); [ezezkoa indartzeko] inondik inora ere ez, inola ere ez (Philotimus nullus venit: Filotimo ez dator inondik inora ere; nulli sunt: dagoeneko ez dira existitzen).
9726	L96709	nullusdum, nulladum, nullumdum: oraindik bat ere ez (Alpes inexsuperabiles, nulladum via superatas: Alpe gaindiezinak, oraindik bide batetik ere zeharkatu gabeak).
9727	L96710	num [gald. part.]: al?, ote?, beharbada?, ez... ezta? [ezezko erantzuna eskatzen du]; [zehar-galderetan] ea... -n, ote... -n, ea... ote ...-n (quaero num aliter evenirent: galdetzen dut ea beste era batean gertatuko ziratekeen; videamus ergo num expositio haec longior esse debeat: ikus dezagun ea azalpen hau luzeagoa izan behar ote den).
9728	L96711	nūmen, -inis, n.: keinu, seinale; borondate, agindu; jainko-botere, jainko-probidentzia, jainko-ardura, jainko-inspirazio; jainkotasun, maiestate, jainkozko gorentasun, jainko, numen.
9729	L96712	numerābilis, -e: zenbakarri, zenbatzeko moduko; txiki, urri.
9730	L96713	numerātum, -i, n.: eskudiru (numerato solvere: eskudirutan ordaindu, eskura ordaindu).
9731	L96714	numero 1: zenbatu (aliquid per digitos: zerbait atzamarrekin); eduki (multos amicos: lagun asko); ordaindu (alicui pecuniam: dirua norbaiti), -tzat eduki, -tzat izan, -tzat hartu (mortem in beneficii loco n.: heriotza onuratzat hartu; aliquem accusatorem suum n.: norbait bere akusatzailetzat izan).
9732	L96715	numerōsus, -a, -um: ugari, askotariko; harmoniatsu, erritmiko.
9733	L96716	numerus, -i, m.: zenbaki, kopuru, zenbateko (tria numero: zenbakitan hiru, hiruko kopuruan, hiru guztira); talde, multzo (qui est eo (=eorum) numero: zeina haien taldekoa baita; hunc ad tuum (=tuorum) numerum ascribito: jarri hau zureen taldean); kantitate (vini: ardoarena; frumenti: gariarena); kohorte, eskuadroi, unitate, armada-gorputz [soldaduena]; pilo, jendetza (nos numerus sumus: jende pilo bat baino ez gara, jende pilo hutsa gara); zerrenda, erregistro; matematika, astrologia; osotasun baten zati (elegans omni numero: zati guztietan dotore, alderdi guztietan dotore); musika, tonu, melodia, konpas (extra numerum se movere: konpasetik kanpo daantzatu, dantzan konpasa galdu; fig. nihil extra numerum fecit: ez zuen tokiz kanpoko ezer egin, ez zuen gauza desegokirik egin); bertso, erritmo, mugimendu erritmiko; harmonia (periodoarena); ordena, arau; toki, postu, kalitate, estimu (aliquem aliquo in numero putare: norbait estimuan izan, norbait estimatu; numero edo in numero: gisa, moduan, -tzat; missis legatorum numero centurionibus: zenturioiak legatu gisa bidalirik).
9734	L96717	nummārius, -a, -um: diruzko, diru- (difficultas nummaria: diru-estutasun); eros daitekeen(a), sobornagarri (iudices nummarii: eros daitezkeen epaileak).
9735	L96718	nummātus, -a, -um: aberats, dirudun.
9736	L96719	nummulus, -i, m.: txanpontxo, txanpon txiki.
9737	L96720	nummus, -i, m.: diru, txanpon; sestertzio (quinque milia nummūm: bost mila sestertzio); kopuru txiki, txikikeria, huskeria (nummo alicui aliquid addicere: huskeria baten truke eman zerbait norbaiti).
9738	L96721	numnam, numne[gald. part.]: ikus num
9739	L96722	nūmquam, adb.: inoiz ez, nehoiz ez, sekula ere ez; non numquam: noizbait, inoiz, nehoiz; numquam non: beti.
9740	L96723	numquid: al?,ote?, beharbada? (n. meministi?: gogoratzen al duzu?); [zehar-galderetan] ea... -n, ote... -n, ea... ote ...-n (scire velim n. necesse sit: jakin nahi nuke ea beharrezkoa ote den). 
9741	L96724	nunc, adb.: orain; nunc ipsum: oraintxe bertan; nunc... nunc; bai... bai..., batean... bestean...
9742	L96725	nunci...: ikus nunti...
9743	L96726	nuncubi, adb.: agian nonbait?, akaso nonbait?.
9744	L96727	nuncupātio, -ōnis, f.: izendatze, izendapen; oinordeko-izendatze; ospetsuki esate, ospe handian errezitatze, errezitazio solemne (sollemnis votorum n.: botozko formula baten errezitazio solemnea, botozko formula bat ospetsuki esatea). 
9745	L96728	nuncupo 1: izendatu, deitu (locum quem orbem lacteum nuncupatis: Esne Bidea deitzen duzuen lekua; handitasunez adierazi, ospetsuki esan, ospe handian errezitatu (vota pro imperio suo n.: haren kudeaketaren arrakastagatik erregutu ospetsuki); publikoki iragarri.
9746	L96729	nundinae, -ārum, f. pl.: feria, azoka, merkatu (nundinas obire: azoka zeharkatu botoak hartzeko); azoka-egun; merkataritza, salerosketa, saleroste.
9747	L96730	nundinātio, -ōnis, f.: merkataritza, salerosketa, saleroste; tratularitza, makinungo.
9748	L96731	nundinor 1: tratuan ibili, tratuan jardun, makinungoan aritu, salerosi; trafikatu; erosi, saldu (aliquid ab aliquo: zerbait norbaiti); elkartu, askoren elkarretaratzea egin (azokan bezala).
9749	L96732	nundinum, -i, n.: bi azoka-egunen arteko tarte, bederatzigarren egunerarteko tarte, zortzi eguneko tarte (inter nundinum: bi ferien artean, 8 egunetan; trinum nundinum: hiru feriaren denbora, 17 egun).
9750	L96733	nunquam:ikus nūmquam
9751	L96734	nuntia, -ae, f.: mezulari, berriemaile [emakumezkoa].
9752	L96735	nuntiātio, -ōnis, f.: iragarpen, jakinarazpen (bereziki, augureek beren behaketen inguruan egiten zituztenak).
9753	L96736	nuntio 1: iragarri, adierazi, jakinarazi (alicui salutem n.: norbaiten partez agurtu); [inf. perp. + nom.] adesse eius equites nuntiabantur: iragartzen zen haren zalditeria bistan zela jada; [inf. perp. + ak.] nuntiatur piratarum naves esse in portu: piraten ontziak kaian daudela iragartzen da.
9754	L96737	nuntius, -a, -um: berriemaile, iragartzen duen(a), adierazten duen(a), jakinarazle; -ium, -i, n.: iragarpen, mezu, berri, jakinarazpen.
9755	L96738	nuntius, -i, m.: mezulari, jakinarazle, -en berri ematen duen(a), aditzera ematen duen(a); iragarpen, mezu, berri, jakinarazpen. 
9756	L96739	nūper, adb.: duela gutxi, arestian, aspaldi ez duela, oraintsu; nūperrimē: duela oso gutxi, oso oraintsu.
9757	L96740	nupsi: perf., ikus nubo
9758	L96741	nupta, -ae, f.: ezkondu(a) [emakumezkoa].
9759	L96742	nuptiae, -ārum, f. pl.: ezteiak, ezkontza.
9760	L96743	nuptiālis, -e: ezteietako, eztei-, ezkontzako, ezkon- (donum nuptiale: ezkon-oparia).
9761	L96744	nuptus, -a, -um: pp., ikus nubo
9762	L96745	nurus, -ūs, f.: errain; emakume gazte.
9763	L96746	nūsquam, adb.: inon ere ez, nehon ere ez; ezertan ere ez; inoiz ere ez, nehoiz ere ez; beste ezertara ere ez.
9764	L96747	nūto 1: buruaz keinu egin; burukadak eman; batera eta bestera mugitu, balantzak egin, balantzaka ibili, kulunkatu; dardaratu, dar-dar egin; zalantza egin; etsi, atzera egin (gudaldian).
9765	L96748	nutrīcius, -i, m.: haurtzain [gizonezkoa].
9766	L96749	nutricor 1: elikatu, hazi, eradoski.
9767	L96750	nutrīcula, -ae, f.: inude, unide, hazama.
9768	L96751	nutrīmen, -inis[etanutrīmentum, -i],n.: elikagai, janari (ignis n.: suaren bazka, erregai); elikadura eta zaintza; lehen garapen.
9769	L96752	nutrio 4: elikatu, titia eman, hazi; zaindu, laguntza eman; sustatu, landu.
9770	L96753	nutrix, -īcis, f.: inude, unide, hazama; elikatzaile, hazle, hazten duen(a)(tellus leonum nutrix: lehoiak hazten diren lurraldea).
9771	L96754	nūtus, -ūs, m.: keinu, buruaz eginiko keinu; agindu, borondate, aginte-keinu, borondate-keinu; onarpen; astuntasun, grabitate; erortze, beheranzko joera.
9772	L96755	nux, nucis, f.: oskoldun fruitu (castaneae nuces: gaztainak; nux amara: arbendola, amanda, almendra); intxaur; intxaurrondo.
9773	L96756	nympha, -ae, f.: ninfa [itsasoan, iturrietan, uretan, basoetan... bizi den dibinitatea]; iturri.
9774	L96757	o, interj.: [harridura, haserrea, poza nahiz atsekabea adierazteko] o!, oi!, ene!, ai!, ai ene! [+nom., +ak., +bok., +gen. poet.]
9775	L96758	ob, prep. ak.: -gatik (ob rem iudicandam: gauza bat epaitzeagatik); -en ordainean; -en aurrean (ob oculos: begien aurrean).
9776	L96759	obaerātus, -a, -um: zorpetu(a), zorrez bete(a).
9777	L96760	obambulo 1: alde batetik bestera ibili, alderrai ibili; -en aurrean ibili, -en inguruan ibili (gregibus: artaldeen inguruan).
9778	L96761	obarmo 1: armatu (dextram securi: eskuineko eskua aizkora batekin).
9779	L96762	obaro 1: goldatu, landu.
9780	L96763	obbrūtesco, tui,— 3: aberetu, sorgortu, burutik egin.
9781	L96764	obdidi: perf., ikus obdo
9782	L96765	obditus, -a, -um: pp., ikus obdo
9783	L96766	obdo, -didi, -ditum 3: aurrean jarri, traban ipini, buxatu; ipini, jarri, eman (pessulum ostio o.: morroiloa eman ateari).
9784	L96767	obdormio 4 eta obdormisco, -ivi, — 3: lo egin, lo astunean egon, lo betean izan.
9785	L96768	obdūco, -duxi, -ductum 3: aurrera/ingurura/kontra eraman, aurrera/ingurura/kontra bultzatu; aurrean jarri (fossam o.: lubaki bat ireki aurrean); bota, jaurti, ekarri (tenebras clarissimis rebus o.: iluntasuna ekarri kontu argiei, kontu argiak ilundu); estali (obducunt herbae segetem: belarrek uzta estaltzen/itotzen dute); itxi, inguratu (obducere plagam: zauria itxi, zauria orbaindu; obducere castra vallo: kanpamentua oholesiaz inguratu); edan, edatekoaren ontzia hustu (venenum o.: pozoia); ilundu, zimurtu (frons obducta: kopeta ilundua; frontem o.: bekokia zimurtu); aurkeztu (Curium Thermo o.: Kurio aurkeztu beste Termoren kontra); gehitu, eman (posterum diem o.: hurrengo eguna ere gehitu).
9786	L96769	obductio, -ōnis, f.: estaltze (o. capitis: burua estaltzea).
9787	L96770	obductus, -a, -um: pp., ikus obdūco
9788	L96771	obdūresco, -dūrui, — 3: gogortu, gogor jarri, harri bihurtu; sorgortu.
9789	L96772	obdūro 1: tinko eutsi, iraun, eutsi.
9790	L96773	obdūrui: perf., ikus obdūresco
9791	L96774	obduxi: perf., ikus obdūco
9792	L96775	obeo, -ii, -itum 4: -ra joan, -engana joan(cenas o.: afarietara joan; ad omnes hostium conatus: etsaien oldarrei aurre egitera joan, etsaiekin elkartzera joan); behera joan, sartu (in infera loca o.: lurpeko eskualdeetara joan, astroak sartu); -ra iritsi, lortu [ak.]; ari izan (legationem: legatu karguan); egin (bellum: gerra); ekin, aurre egin (pericula: arriskuei); bisitatu, -n zehar ibili (provinciam o.: probintzian zehar ibili); hil (obire edo o. mortem nahiz o. diem supremum); agertu (o. vadimonium edo diem: adierazitako egunean agertu).
9793	L96776	obequito 1: -en aurrean/inguruan zaldiz ibili, [+dat.] (castris o.: zaldiz ibili kanpamentuaren inguruan).
9794	L96777	oberro 1: -en aurrean/inguruan alderrai ibili [dat.]; huts egin, behaztopatu musika-tresna jotzean (semper eadem chordā: beti soka berean).
9795	L96778	obēsus, -a, -um: gizen, lodi; puztu(a); zakar, landugabe, ez fin (iuvenis naris obesae: usaimen txarreko gaztea).
9796	L96779	obex, -icis, m. eta f.: eragozpen, oztopo, traba, barrikada; dike, horma; morroilo.
9797	L96780	obfui: perf., ikus obsum
9798	L96781	obicio: ikus obiicio
9799	L96782	obiēci: perf., ikus obiicio
9800	L96783	obiectātio, -ōnis, f.: gaitzespen.
9801	L96784	obiecto 1:aurrean jarri, kontra jarri; bota, jaurti (caput fretis o.: gorputza uretara bota, uretan murgildu); -en eraginpean jarri (caput periculis o.: bizitza arriskuen eraginpean jarri, bizitza arriskuan jarri); aurpegiratu (alicui probrum: norbaiti duintasunik eza; natum: semearen heriotza).
9802	L96785	obiectus, -a, -um: pp., ikus obiicio
9803	L96786	obiectus, -ūs, m.: tartean sartze, aurrez aurre egote, aurkaritza; oztopo, traba, eragozpen; ikuskizun.
9804	L96787	obii: perf., ikus obeo
9805	L96788	obiicio, -iēci, -iectum 3: bota, jaurti (cibum canibus: janaria txakurrei; corpus feris: gorpua piztiei); -en eraginpean jarri, -en aurrean jarri, -n sartu (consulem morti o.: kontsula heriotza arriskuan jarri; se ad omnes casus o.: norbera arrisku guztien aurrean jarri, norberak arrisku guztiak hartu; se in dimicationes o.: borroketan oldartu); aurkeztu, agertu (obiicitur monstrum oculis: mirari bat agertzen da begi-bistara); sorrarazi (metum: beldurra); eragin (dolorem); iradoki, inspiratu (o.eam mentem ut: ...-t(z)eko pentsamendua iradoki); aurrean jarri defentsa gisa (carros: gurdiak); eskaini (delenimentum animis Volani agri divisionem o.: Volano eremuaren banaketa eskaini giroa baretzeko); eredu gisa proposatu; gaitzetsi, aurpegiratu (alicui furta: norbaiti bere lapurretak); itxi (fores reptim: atea presaka); ihardetsi, erantzun; [pas.] gertatu, -z jabetu (malum mihi obiicitur: ezbehar bat gertatzen zait; obicitur animo metus: beldurra gogoaz jabetzen da); kokatuta egon (insula obiecta portui Brundusino: Brindisko kaiaren aurrez aurre dagoen uharte bat).
9806	L96789	obīrascor 3: -en aurka sumindu [+ dat.].
9807	L96790	obīrātio, -ōnis, f.: haserre pilatu(a).
9808	L96791	obīrātus, -a, -um: -en aurka sumindu(a) [+ dat.].
9809	L96792	obiter, adb.: bide batez, aldizka.
9810	L96793	obitus, -a, -um: pp., ikus obeo
9811	L96794	obitus, -ūs, m.: ezkutatze, sartze (eguzkiarena, etab.); hondamen; heriotza; etorrera, iritsiera, bisita.
9812	L96795	obiurgātio, -ōnis, f.: gaitzespen; irain, errieta.
9813	L96796	obiurgātor, -ōris, m.: aurpegiratzen duen(a); errieta egiten duen(a), gaitzesten duen(a), errietalari, gaitzesle.
9814	L96797	obiurgātōrius, -a, -um: iraingarri; gaitzespenezko, gaitzespen-.
9815	L96798	obiurgo 1: gaitzetsi, aurpegiratu (aliquem in edo de aliqua re: norbaiti zerbait); zigortu.
9816	L96799	oblanguesco, -langui, — 3: makaldu, ahuldu, akitu.
9817	L96800	oblātus, -a, -um: pp., ikus offero
9818	L96801	oblectāmen, -inis[etaoblectāmentum, -i], n.: dibertsio, olgeta, entretenimendu; kontsolamendu.
9819	L96802	oblectātio, -ōnis, f.: atsegin hartze, atsegintze, gozatze, entretenitze, atsegin, gozamen, entretenimendu.
9820	L96803	oblecto 1: atsegindu, atsegin eman, gozarazi; atsegin hartu, gozatu (se aliqua re: norberak zerbaitekin); entretenitu (tempus o.: gustura igaro denbora).
9821	L96804	oblēnimen, -inis, n.: kontsolamendu, aringarri.
9822	L96805	oblēvi: perf., ikus oblino
9823	L96806	oblīdo, -līsi, -līsum 3: estutu; zanpatu, menderatu.
9824	L96807	obligātio, -ōnis, f.: lotze, behartze, konprometitze; erantzute, aurpegi emate; fidantza, berme, konpromiso, obligazio.
9825	L96808	obligātus, -a, -um: behartu(a) [dat.]; lotu(a), konprometitu(a).
9826	L96809	obligo 1: lotu, josi, eutsi; erantzule egin (aliquem scelere o.: norbait krimenaren erantzule egin); behartu, norbaiten borondatea eskuratu (aliquem sibi liberalitate: norbaiten borondatea irabazi eskuzabaltasunari esker); konprometitu (aliquem sponsione: norbait promes batekin; militiae sacramento: zin militarrarekin); zorpetu, hipotekatu (fidem suam: bere hitza); pas.: errudun izan, merezi (fraude impia obligari: iruzur lotsagabe baten errudun izan; obligari legum poenis: legezko zigorrak merezi izan).
9827	L96810	oblīmo 1: lokatzez estali (agros: lurrak); lokatzez buxatu; eralgi, xahutu (rem patris: ondarea).
9828	L96811	oblino, -lēvi, -litum 3: igurtzi, koipeztatu, zikindu (caeno: basaz; unguentis o.: ukenduz lurrindu; oblitus faciem cruore: aurpegia odolez beteta); bikeztatu, biketu (dolia: upelak); bete, estali.
9829	L96812	oblīquitās, -ātis, f.: zeihartasun.
9830	L96813	oblīquo 1: zeihar jarri gauza bat beste batekiko, okertu (o. oculos: zeharka begiratu; sinus in ventum o.: oihalak haizearekiko zeiharka jarri).
9831	L96814	oblīquus, -a, -um: zeihar, oker, makur, zeharkako, saiheskako, albotiko, bihurgunetsu, sigi-sagako; ilun, ezkutuko.
9832	L96815	oblīsi: perf., ikus oblīdo
9833	L96816	oblīsus, -a, -um: pp., ikus oblīdo
9834	L96817	oblitesco, -litui, — 3: ezkutatu, ostendu, gorde.
9835	L96818	oblit(t)ero 1: ezabatu; ahantzarazi, ahatzarazi; pas.: ahaztu, ahantzi.
9836	L96819	oblitui: perf., ikus oblitesco
9837	L96820	oblitus, -a, -um: pp., ikus oblino
9838	L96821	oblītus, -a, -um: pp., ikus oblīviscor
9839	L96822	oblīvio, -ōnis, f.: ahazte, ahanzte, ahanztura; amnistia; oroimenik eza.
9840	L96823	oblīviōsus, -a, -um: ahazkor, ahanzkor; ahaztea eragiten duen(a).
9841	L96824	obliviscor, -litus 3: ahaztu, ahantzi (noctis illius, cum...; halako gau hartaz zeinetan...); dagoeneko ez pentsatu (caedis: hilketetan); ahaztu (iniurias: bidegabekeriak).
9842	L96825	oblīvium, -i, n. [eskuarki pl.]: ahanztura (oblivia agere, ahaztu; oblivia ducere: ahaztu).
9843	L96826	oblongus, -a, -um: oblongo, luzanga.
9844	L96827	obloquor, -locūtus 3: kontrakoa esan, kontra egin (alicui: norbaiti); gaitzetsi, iraindu; abestu; jo, soinua aterarazi (septem discrimina vocum: zazpi hariko lirari).
9845	L96828	obluctor 1: -kin borrokatu, -en kontra borrokatu [dat.].
9846	L96829	obmōlior 4: aurrean egin, aurrean eraiki, aurrean pilatu, aurrean jarri; oztopo egin; tapatu, estali.
9847	L96830	obmurmuro 1: -en kontra murmurikatu, -i marmarka erantzun [dat.].
9848	L96831	obmūtesco, -mūtui, — 3: mututu; isilik egon; eten.
9849	L96832	obmūtui: perf., ikus obmūtesco
9850	L96833	obnātus, -a, -um: -tik gertu jaio(a), -n jaio(a), -n hazi(a) (obnata ripis salicta: ur-bazterretan haziriko sahatsak).
9851	L96834	obnītor, -nixus [gutxitan-nīsus]3: -n bermatu (trunco: enbor batean); -i kontra egin, -i aurka egin [dat.]; indar guztiekin ahalegindu.
9852	L96835	obnīsus, -a, -um: pp., ikus obnītor
9853	L96836	obnixus, -a, -um: pp., ikus obnītor. — Adj.:-n bermatu(a); tinko, irmo, arduratsu, jarraiki(a), saiatu(a).
9854	L96837	obnoxius, -a, -um: erruztatu, errudun [dat.]; menderatu(a) (libidini: arintasunak; iis: haiek); -gatik zigortu(a) [dat.]; -en esaneko, -kiko adeitsu [dat.]; -en eraginpean dagoen(a), -en arriskuan dagoen(a) (radiis solis o.: eguzki izpien eraginpean dagoena, eguzkiaren argia jasotzen duena; insidiis o.: segaden arriskuan dagoena); umiliagarri (pax obnoxia: bake umiliagarria); -ra errenditu(a), -ra eman(a) [dat.]; obnoxium est[+inf.]: arriskutsua da ...-t(z)ea.
9855	L96838	obnūbilus, -a, -um: lainoz estali(a), ilun.
9856	L96839	obnūbo, -nupsi, -nuptum 3: estali, beloz estali.
9857	L96840	obnuntiātio, -ōnis, f.: iragarpen (dirarum: aurkako augurioena).
9858	L96841	obnuntio 1: augurioak kontrakoak direla iragarri; berri txarren mezulari izan; kontra egin.
9859	L96842	obnupsi: perf., ikus obnūbo
9860	L96843	obnuptus, -a, -um: pp., ikus obnūbo
9861	L96844	oboedientia, -ae, f.: esanekotasun, obedientzia; mendetasun.
9862	L96845	oboedio 4: esana egin,obeditu; esklabo izan (ventri: sabelarena); entzun, kasu egin (alicui: norbaiti).
9863	L96846	obolus, -i, m.: obolo [diru greziarra]; obolo [pisua, drakmaren seirena]
9864	L96847	oborior, -ortus 4: jaio, irten, sortu, altxatu, azaldu; atera (malkoak).
9865	L96848	obortus, -a, -um: pp., ikus oborior
9866	L96849	obrēpo, -repsi, -reptum 3: arrastaka gerturatu, isilpean iritsi, kontu handiz herrestatuz iritsi [dat.]; lortu, erdietsi (ad honores: ohoreak); ustekabean harrapatu; engainatu.
9867	L96850	obrepsi: perf., ikus obrēpo
9868	L96851	obreptus, -a, -um: pp., ikus obrēpo
9869	L96852	obrigesco, -rigui, — 3: hotzaren ondorioz zurrun edo gogor geratu; gogortu.
9870	L96853	obrigui: perf., ikus obrīgesco
9871	L96854	obrogātio, -ōnis, f.: lege-proposamen batez beste lege bat indargabetu edo aldatzea.
9872	L96855	obrogo 1: lege bat, osorik edo hein batean, beste batekin ordezkatu.
9873	L96856	obruo, -rui, -rutum 3: estali, lurperatu, hondoratu; zamatu, josi (aere alieno: zorrez); ilundu, itzali.
9874	L96857	obrutus, -a, -um: pp., ikus obruo
9875	L96858	obrussa, -ae, f.: arrago; froga-harri; proba, saio.
9876	L96859	obsaepio, -saepsi, -saeptum 4: itxi, oztopatu (viam: bidea).
9877	L96860	obsaturo 1: ase, bete.
