id	qid	text
143	L87127	accrētus, -a, -um: pp., ikus accresco
144	L87128	accubitus, -a, -um: pp., ikus accubo eta -cumbo
145	L87129	accubo, —, — 1: -en ondoan etzanda egon [dat.]; erdi etzanda egon jateko [erromatarren modura]
146	L87130	accubui: perf., ikus accumbo
147	L87131	accumbo, -cubui, -cubitum 3: -en ondoan etzan [dat.]; mahaian eseri [erdi etzanda, erromatarren moduan]
148	L87132	accūro1: arretaz zaindu.
149	L87133	accurro, -(cu)curri, -cursum 3: -rantz lasterka egin (ad).
150	L87134	accūso1: akusatu, leporatu (aliquem alicuius rei edo de re).
151	L87135	acer, -eris, n.: astigar [zuhaitza].
152	L87136	ācer, acris, acre: zorrotz, ebakitzaile; garratz, mingots; sutsu, grinatsu; mingarri, gogor, krudel; sutsu, gogotsu.
153	L87137	acerbitās, -ātis, f.: mingostasun, garraztasun; gogortasun, zorroztasun, samintasun.
154	L87138	acerbo1: ozpindu; larriagotu.
155	L87139	acerbus, -a, -um:garratz, mingots, berde, heldugabe(a);zorrotz, krudel, mingarri, gogor.
156	L87140	acernus, -a, -um:astigar-zurezko.
157	L87141	acerra, -ae, f.: intsentsu-ontzi, intsentsu-kaxa.
158	L87142	acervātim, adb.: pilatuta, modu nahasian; estu, hertsiki, laburki.
159	L87143	acervo1: pilatu.
160	L87144	acervus, -i, m.: pilo, mordo.
161	L87145	acētum, -i, n.: ozpin; garraztasun; txiste mingarri.
162	L87146	acidus, -a, -um:garratz, samin; gogaikarri, astun, mingarri.
163	L87147	aciēs, -ēi, f.: aho, punta; zolitasun, zorroztasun [ikusmenari edo buru-argitasunari dagokiona]; aurpegi; begirada; begi; guda-lerro, lerro, borrokarako ilara, ordena; armada, gudaroste, osteak; borrokaldi; gudu-zelai; torneo.
164	L87148	acīnaces, -is, m.: sable labur.
165	L87149	acinus, -i, m. [etaacinum, -i, n.]: baia; mahats ale.
166	L87150	acipenser, -eris, m.: arrain bat [gaizkata izan liteke]
167	L87151	aclys, -ydis, f.: dardo.
168	L87152	aconītum, -i, n.: akonito [landare pozoitsua]; pozoin.
169	L87153	acor, -ōris, m.: garraztasun.
