testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##3	... ta jarri zan balanzaren beste aldetic: eta 	nola	 cecartzien Jaincoaren indar guciac, jaso ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... colorearen naste churigorri preciatu hura, edo 	nola	 dago aiñ itsusqui ubelduric? Oraindaño esan oi ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... arestian bere semea ez aditu nairic cegoan, ta 	nola	 adituco nau ni? Joango ote natzaca gurutzean ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##9	... ta zor ciozcala bere semeari, ez besteri, nola uste dezue amatuco ceuala, 	nola	 naico cigola, ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##9	... ta zor ciozcala bere semeari, ez besteri, nola uste dezue amatuco ceuala, 	nola	 naico cigola, ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... Secula guciac icusi deueen guizonic ederrena? 	Nola	 dago bada hitzic, asnaseric, bicirican bague? ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... nere beguietaco argui, nere biciaren bicia! 	nola	 ifiñi zaituzten Adanen humeac! onelaco acabera ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... emacumeac, erruquiric bádezute, beguirezazue 	nola	 dagoan zeuec irabazteagatic, infernutic ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... nere beguietaco argui, nere biciaren bicia! 	nola	 ifiñi zaituzten Adanen humeac! onelaco acabera ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... emacumeac, erruquiric bádezute, beguirezazue 	nola	 dagoan zeuec irabazteagatic, infernutic ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##11	... gurutzean, ta guero bere besoetan, nor, edo 	nola	 icusi ote ceuan? Pensaezazue astiro ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##12	... . Eta dolore cruelac! ha min gogorrac! 	nola	 atrevitzen cerate biotz garbi, biguiñ hori, ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##12	... ere uquitzera? 	nola	 etzoazte beste alde batera? eztira ausaz ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##12	... . Eta dolore cruelac! ha min gogorrac! 	nola	 atrevitzen cerate biotz garbi, biguiñ hori, ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##12	... ere uquitzera? 	nola	 etzoazte beste alde batera? eztira ausaz ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##13	... aren anima batetic bestera igaroco deu ezpatac. 	Nola	 izango da hori? Anima hori semearena baldin ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##13	... 	nola	 amaren animean ezpata sartuco da? eta amarena ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##13	... 	nola	 herituco deu semearena? Cergatic bien animac ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##17	... cera alaco amagandic jaio izateaz? Eztaquit, 	nola	 dedan hitz oec esateco biotzic: eztigot ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... eguia. Non dabiltza bada, edo non ondatu dira? 	nola	 eztaude Virgiñarequin gurutzearen ondoan? eta ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... norc zaituco nau ni? Bearrenac igues diazquit, 	nola	 etorrico zaizquit besteac? ceregandu dituzunac, ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... eguia. Non dabiltza bada, edo non ondatu dira? 	nola	 eztaude Virgiñarequin gurutzearen ondoan? eta ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##18	... norc zaituco nau ni? Bearrenac igues diazquit, 	nola	 etorrico zaizquit besteac? ceregandu dituzunac, ...
nola	nola	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##19	... izango da, ta aiñ damugarri Virgiñarentzat, 	nola	 esan ditugun dolore guztiac. Baña bildur naiz, ...
nolaco	nolako	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##3	... escuetan deuala; icusi daguigun Adanen humeac, 	nolaco	 Justicia eguiten dan, ez pecatarietan, bai gure ...
nolaco	nolako	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##8	... cembat damu artu cenduan aren eriotzean? baña 	nolaco	 semea? Christo Jesus, ama gucietatic jaio dan ...
nolaco	nolako	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##8	... zur, gozó, guciaquicoa, ta ceru gucien miraria. 	Nolaco	 amodioa beraz izango cion bere amac onelaco ...
nolaco	nolako	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##11	... . 	Nolaco	 damu ta naigabeac izango cituan beraz gueure ...
nolaco	nolako	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##17	... 	nolaco	 ordaña ematen zacan Virgiñari, dio santuac! ...
nolacoa	nolakoa	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... seme bacarra? Ay neure semea, ta jabea, 	nolacoa	 zaduzcaten guizonac, ta emacumeac? Cer eguin ...
nolacoa	nolakoa	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... aiñ aundia? Ô emen ceraten aingueruac, beguira 	nolacoa	 dagoan zeuen criatzallea: aita eternoa, ona ...
nolacoa	nolakoa	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... seme bacarra? Ay neure semea, ta jabea, 	nolacoa	 zaduzcaten guizonac, ta emacumeac? Cer eguin ...
nolacoa	nolakoa	nola	https://monumenta.wikibase.cloud/wiki/Lexeme:L58079	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##10	... aiñ aundia? Ô emen ceraten aingueruac, beguira 	nolacoa	 dagoan zeuen criatzallea: aita eternoa, ona ...
nombait	nonbait	nonbait	https://monumenta.wikibase.cloud/wiki/Lexeme:L58109	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##15	... ala bearco cenduen ama penatua, ez bestetan, ...
nombaitetic	nonbaitetik	nonbait	https://monumenta.wikibase.cloud/wiki/Lexeme:L58109	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##14	... guichitzen, edo gozatzen ei da, consueloren bat 	nombaitetic	 artzen danean. Bada Virgiñaren doloreac ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak##5	... berez, ta beré buruz beteá, ta üanditua dágo, 	non	 dirudién, iñor ere eztaucalá ecertán, naiz dala ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak##6	... eta esanarí élaquio zábuan ibilli bágue. Oná 	non	 dituán Euscárazco hitzac naroró: naibadéc, oa, ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... gozoa? nora joan da zeure arpeguico edertasuna? 	non	 ezcutatu da zeure colorearen naste churigorri ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... Eta badacust, utseguin ceueela. Ezperen 	non	 cerate esquer gaistoco izarrac? Oi eta atera ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... gozoa? nora joan da zeure arpeguico edertasuna? 	non	 ezcutatu da zeure colorearen naste churigorri ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... Eta badacust, utseguin ceueela. Ezperen 	non	 cerate esquer gaistoco izarrac? Oi eta atera ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... Señora oni beardanezco coroe bat eguiteco! 	Non	 cera, Cinthia, illargui aldagarria? Oi eta ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... oñazpicotzat ezarri aren oñazpietan! 	Non	 ote zabiltza oraingoan bederic ezaguera bagueco ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... Señora oni beardanezco coroe bat eguiteco! 	Non	 cera, Cinthia, illargui aldagarria? Oi eta ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##5	... oñazpicotzat ezarri aren oñazpietan! 	Non	 ote zabiltza oraingoan bederic ezaguera bagueco ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... Ama maitea, atozea, 	non	 da zeure aurra, Jaungoicoa dan hume chucun, ...
non	non	non	https://monumenta.wikibase.cloud/wiki/Lexeme:L58106	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia##6	... ez beguien aurrean. Non da zeure seme bacarra? 	non	 zeure argui, zeure asnase, zeure bicia? Ote da ...
