testu_hitza	lemma	hitz_egokitua	mlv_lexeme	aingura	testuingurua-ezker	testu-hitza	eskuin-testuingurua
ezkonduien	ezkonduien	ezkondu	https://monumenta.wikibase.cloud/wiki/Lexeme:L26260	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##176	... ...
ezkonduko	ezkonduko	ezkondu	https://monumenta.wikibase.cloud/wiki/Lexeme:L26260	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##182	... da ene zuzenbidia; agian gero alabareki 	ezkonduko	 semia. ...
eznadin	eznadin	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##241	... doloretan; hitz bat honik erradazu, hil 	eznadin	, otoi, bertan.» ...
eznuiela	eznuiela	ez	https://monumenta.wikibase.cloud/wiki/Lexeme:L25809	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##284	... duien gauzan ez da eskapazerik; nik ogenik 	eznuiela	 ongi gitez bertzerik, bidegabek haritu nu bide ...
ezpa	ezpa	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##74	... oro jarriren da bi lekutan hersirik: glorian 	ezpa	 ifernuian; ez da eskapatzerik. ...
ezpa	ezpa	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##128	... ote date leial denik batere, hitz ederrez 	ezpa	 joiaz muta ez dadin hura ere? Hoben uste ...
ezpa	ezpa	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##208	... harekila minzatu, ordu hartan jagoitikoz etsai ezpa baketu; niri untsa 	ezpa	dagit behar dizit ...
ezpa	ezpa	ezpa	https://monumenta.wikibase.cloud/wiki/Lexeme:L26402	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##222	... maitena egidazu zuzena; joan duzuna ekardazu 	ezpa	 eman ordaina.» ...
ezpadagit	ezpadajit	ezpada	https://monumenta.wikibase.cloud/wiki/Lexeme:L26404	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##208	... jagoitikoz etsai ezpa baketu; niri untsa 	ezpadagit	 behar dizit pintatu; ene buruia ziaidazu ...
ezpadaki	ezpadaki	ezpada	https://monumenta.wikibase.cloud/wiki/Lexeme:L26404	https://eu.wikisource.org/wiki/Linguae_vasconum_primitiae##278	... nizin neure beldurra; andriak hon deritzanari 	ezpadaki	 mesura, ni lehenik eta gero amoros oro galdu ...
