artze,artzea
adobatu,adobatu
ondu,ondu
obatu,obatu
ongitu,onguitu
ondu,ondua
obatu,obatua
ongitu,onguitua
zoia,zoyá
gaztetasun,gaztetaſuna
gaixo,gaisyo
eri,eri
gaixotu,gaisyotu
eritu,eritu
gaizkitu,gaizquitu
nora,norá
norat,norat
gurte,gurtea
adoratu,adoratú
gurtu,gurtu
gur egin,gur eguin
adoratu,adoratua
adoratzaile,adoratzallea
adoragarri,adoragarria
gurgarri,gurgarria
loarazi,loaraci
loarazi,loaracia
loakartu,loacartú
loakartu,loacartua
sortu,ſortu
sortatu,ſortatu
kordebagetu,cordebaguetu
sortu,ſortua
sortatu,ſortatua
apaindu,apaindú
edertu,edertú
galantu,galantú
eder,eder
apaindu,apaindua
edertu,edertua
galantu,galantua
eder,eder
galant,galant
ifini,ifiñia
apaintzaile,apaintzallea
eder,eder
apaingarri,apaingarria
edergarri,edergarria
ederragotu,ederragotu
apaingarri,apaingarri
edergarri,edergarri
baltsatu,balſatu
baltsatu,balſatua
irabazi,irabaci
erakarri,eracarri
bilatu,billatu
irabazi,irabacia
erakarri,eracarria
bilatu,billatu
ira,ira
ira,ira
erakargarri,eracargarria
ira,ira
berariaz,berariaz
jakinez,jaquinéz
aduana,aduaná
txaol,chaolac
zaldabai,zaldabaya
arrazko,arrazcoa
barruti,barrutia
lausengatu,lauſengatu
lausengatu,lauſengatua
lausengari,lauſengaria
losentxa,loſencha
adulterio,adulterioa
nahasi,nahaſsi
gaztetu,gaztetua
erre,errea
etorki,etorquia
arrotz,arrotzá
kanpoko,campocoa
etorrera,etorrera
gaitzegoki,gaitzegoquia
atsekabe,atſecabea
etsai,etſaya
arerio,arerioa
mezutu,mezutú
oarterazo,oarterazo
oarterazo,oarterazoa
mezutu,mezutua
arretaz,arretaz
arreta,arreta
arta,arta
sen,ſená
kontu,contua
abendu,abendua
dei,deya
izen,icena
lanotasun,lanotaſuna
arraia,arraia
arraitsu,arraitſua
gozatsu,gozatſua
arraiki,arraiqui
lanoki,lanoqui
arraitu,arraitu
gozatu,gozatu
famatu,famatuá
