criſelu eérara , guiſará páratu , ifiñi,kriselu eerara , gisara paratu , ifini
uneac dituen oyalá,uneak dituen oiala
oyal úneduna,oial uneduna
cañaberatu,kanaberatu
canabelatu,kanabelatu
cañaberaz,kanaberaz
cañaberatzea,kanaberatzea
canabelatzea,kanabelatzea
cañaberatua,kanaberatua
canabelatua,kanabelatua
cañaberaz joſia,kanaberaz josia
edo hilla &c,edo hila &k
ſutumpatzea,sutunpatzea
ſutumpatzallea,sutunpatzailea
ſutumpatzea,sutunpatzea
gurbilláz neurtuá,gurbilaz neurtua
cialora,zialora
molohorrica,molohorrika
eiſurrac ateratzeco lanabes bat,eisurrak ateratzeko lanabes bat
chiquiranzduna,txikirantzduna
chiquiratuaren,txikiratuaren
iranciaren,irantziaren
irinduaren anzá,irinduaren antza
anzoa duená,antzoa duena
odolúritu,odoluritu
odoluritzea,odoluritzea
moretzea,moretzea
cariciatu,kariziatu
gozarotu,gozarotu
palacaria,palakaria
bearbadá,bearbada
nabaſqui,nabaski
noaſquiro,noaskiro
aujaz,aujaz
auſa,ausa
menturaz,menturaz
nauaſqui,nauaski
noaſquiró,noaskiro
auſá,ausa
aujaz,aujaz
menturaz,menturaz
oarcabea,oarkabea
coſtomatzea,kostomatzea
coſtumatzea,kostumatzea
coſtomatua,kostomatua
ondaſunac biltzea,ondasunak biltzea
biribillatzea,biribilatzea
diru-gordairua eguitea,diru-gordairua egitea
ondaſunen gordairua , ta pilla anditzea,ondasunen gordairua , ta pila anditzea
gueyagotzea,geiagotzea
gueitzea,geitzea
ondaſunez,ondasunez
diruz betea,diruz betea
ondaſun biltzallea,ondasun biltzailea
diru-gordairuen eguillea,diru-gordairuen egilea
bereé eſcúpean,beree eskupean
aguindepean gendé diaren bat,agindepean jende diaren bat
gendatzaren bat quidatu,jendatzaren bat kidatu
gendatzearen aguintaria izan,jendatzearen agintaria izan
iñorén eſcúpean,inoren eskupean
aguindepean,agindepean
mendeán quidatua,mendean kidatua
gendatzearen quidatzallea,jendatzearen kidatzailea
alderaguia,alderagia
urreragarria,urreragarria
aldera letorquiona,aldera letorkiona
ceiñetara etorriditequean,zeinetara etorriditekean
ceiñegana el,zeinegana el
ditequean,ditekean
litequean,litekean
elgaitzaren eltzea,elgaitzaren eltzea
etortea,etortea
ſart-,sart-
araguitz,aragitz
ichecarria,itxekarria
beſteren jarraya,besteren jarraia
beſteri ichequia,besteri itxekia
dichecana,ditxekana
ichecarriró jarrairó,itxekarriro jarrairo
ichequiró,itxekiro
itzurpearra,itzurpearra
miac artua , miñez dagoana,miak artua , minez dagoana
oarcabecoa,oarkabekoa
oarcabean,oarkabean
eguindura,egindura
cerbait eſatean eſcuac gaizqui , edo ongui erabiltea,zerbait esatean eskuak gaizki , edo ongi erabiltea
garagarrez iguitzea,garagarrez igitzea
ochatutzea,otxatutzea
garagarrez iguitua,garagarrez igitua
ochatua,otxatua
garagarrezco iguya,garagarrezko iguia
ochaera,otxaera
baſa-oliboa,basa-oliboa
irriñartetic,irrinartetik
edó cirritutic bearcatu,edo zirritutik bearkatu
beguiratu behatu,begiratu behatu
arcaitu,arkaitu
aracaitu,arakaitu
aracaitua,arakaitua
ceceiñatua,zezeinatua
gatzez gogortua,gatzez gogortua
igartua,igartua
mingogortú,mingogortu
mivgogortua,miugogortua
ſamiina,samiina
oliuncia,oliuntzia
oliocharroa,oliotxarroa
olio-ſaltzallea,olio-saltzailea
aceitnna,azeitnna
oligaya,oligaia
laſterreguin,lasterregin
laſterreguiña,lasterregina
laſtéirrera,lasteirrera
laſtereguitea,lasteregitea
zamarizaya,zamarizaia
irinlora,irinlora
cillarra garbitu,zilarra garbitu
naſtegucitic bereci,nasteguzitik berezi
bereiſtu,bereistu
zanahoria,zanahoria
cenſotua,zentsotua
hitzera,hitzera
hitzeguiera,hitzegiera
vozaera,bozaera
hitzera,hitzera
hitzeguiera,hitzegiera
hitzera zorrotza,hitzera zorrotza
hitzera piſua,hitzera pisua
hi-,hi-
, oquer,, oker
eztagocan bezala,eztagokan bezala
hitzerac letren gañean paratu,hitzerak letren ganean paratu
hitzeratu,hitzeratu
