etxalde,echaldea
alogeratu,alogueratua
sukor,ſucorra
pikeztatu,piqueztatu
pikeztatu,piqueztatua
sagubedar,ſagubedarra
aldakor,aldacorra
goiende,goiendea
baberruma,baberrumac
txingurri,chingurri
adiera,adiera
altzapremiatu,altzapremiatu
amatzaile,amatzallea
irriatu,irriatu
irriatu,irriatua
egundu,egundu
maltsotu,malſotua
saiatu,ſayatu
oniritzi,oniritzi
oniritzi,oniritzia
amatzaile,amatzallea
girlanda,guirlandá
saminki,ſaminqui
saminkiro,ſaminquiró
ubeltasun,ubeltaſuna
barruti,barrutia
ibilizale,ibillizalea
izutu,izutú
zukuruztu,zucuruztú
izutu,izutuá
zukuruztu,zucuruztua
keina,queiná
sarritan,ſarritán
sarritxo,ſarricho
maiztxo,maizcho
txit,chit
izutu,izutu
muzindu,mucindu
muzindu,mucindua
mugatu,mugatu
mugatu,mugatua
gisatu,guiſatua
pilatu,pillatua
pilatzaile,pillatzalle
metatzaile,metatzallea
metaka,métaca
maitati,maitatia
maitatsu,maitatſua
amodiotsu,amodiotſua
zapuztu,zapuztua
zaitu,zaitua
anparatzaile,amparatzallea
anpulu,ampulua
babalarru,babalarrua
babalarrutu,babalarrutua
te,tea
mortuar,mortuarrá
eremuar,eremuarrá
zabalki,zabalqui
zabalkiro,zabalquiró
antzina,anciná
antzina,anciná
aguretu,aguretú
ainguratu,ainguratu
ainguratu,ainguratua
ibilkor,ibilcorra
ibilkor,ibilcorra
ibilkor,ibilcorra
urpetu,urpetu
urperatu,urperatu
urpetu,urpétua
aingerutar,ainguerutarra
aingerutxo,aingueruchoa
aingerutzar,ainguerutzarra
estutu,eſtutu
estutu,eſtutua
estutasun,eſtutaſúna
gorrindu,gorrindu
urtar,urtarra
aberetxo,aberechoa
ezereztu,ecereztú
ezereztu,ecereztu
ezereztu,ecereztua
erantsi,eranſi
erantsi,eranſia
urteurren,urteurrena
izenbage,icembaguea
ataurre,atáurrea
aurreratzaile,aurreratzallea
antzina,anciña
antzinaera,anciñaera
antzinate,anciñatea
guraritu,guraritu
burutazino,burutacinoa
aratuzte,aratuztea
estutu,eſtutu
estutu,eſtutua
erantsi,eranſi
erantsi,eranſia
