nekazari,necazaria
atxurkintza,achurquintza
baserritar,baſerritarra
urratu,urratu
urratu,urratua
laburkiro,laburquiro
adrailu,adrallua
lapurtegi,lapurteguia
lapurreria,lapurreria
lapurreta,lapurreta
makartsu,macartſua
tolare,tolarea
surangila,ſuranguilla
negartsu,negartſua
argiontzi,arguiontzia
lapaz,lapaza
argiontzi,arguiontzia
zardai,zardaya
otarrain,otarraina
otarraintxo,otarrainchoa
koipatu,coipatua
oparo,oparó
kupitu,cupitu
kupitu,cupitua
zartada,zartada
zartadako,zartadacoa
garbitoki,garbitoquia
garbiketa,garbiqueta
txuriketa,churiqueta
lasaigarri,laſaigarri
nasaigarri,naſaigarria
laiatu,layatua
laiari,layaria
itsumutil,itſumutilla
leialkiro,leyalquiro
erbikume,erbicumea
irakurtza,iracurtza
urraza,urraza
irakurgarri,iracurgarria
barazki,barazquia
misto,miſtoa
misto,miſtoa
kako,cacoa
geldiera,gueldiera
astitsu,aſtitſua
egurgile,egurguillea
egurkin,egurquiña
legenar,leguenarra
legenartsu,leguenartſua
kantatxo,cantachoa
karkaba,carcaba
arintxo,arincho
lisiba,liſiba
gobada,gobada
lokabetzaile,locabetzallea
lokabetu,locabetua
zalantza,zalanza
liburutegi,liburuteguia
librugile,libruguillea
gudari,gudaria
gudatu,gudatu
mugatu,mugatua
limosnagile,limoſnaguillea
poliki,poliqui
txukunkiro,chucunquiro
politasun,politaſuna
txukunkeria,chucunqueria
karramatu,carramatu
leunkiro,leunquiro
elbarritu,elbarritua
zerrendatu,cerrendatua
jakintza,jaquintza
kisket,quiſqueta
deigarri,deigarria
zalegarri,zalegarria
zain belar,zain belarra
elder,eldera
ailegatu,allegatu
betero,betero
eroakizun,eroaquizuna
naro,naroac
naro,naroa
neu,neu
negargile,negarguillea
negartu,negartua
bisuts,biſutſa
euritsu,euritſua
txori,choria
lupu,lupua
txoro,choroa
txoratu,choratu
txorakeria,choraqueria
zorakeria,zoraqueria
lupetza,lupetza
zingira,cinguira
zingiradi,cinguiradia
lupetza,lupetza
txitxare,chicharea
hitzontzikeria,hitzontziqueria
berritsukeria,berritſuqueria
erausi,erauſia
erausle,erauslea
hitzontzi,hitzontzia
isats,iſatſac
limuri,limuria
labain,labaña
burruka,burruca
guda,guda
burrukari,burrucaria
gudari,gudaria
gudatu,gudatu
argiro,arguiro
argitsu,arguitſua
argitsu,arguitſua
argidun,arguiduna
negargarri,negargarria
igortzi,igortzi
sualdi,ſualdia
argitsu,arguitſua
alditsu,alditſua
lorontzi,lorontzia
lankai,lancaya
damandre,damandrea
mataza,mataza
kaudan,caudaná
kaudan,caudaná
elder,eldera
eltasun,eltaſuna
maisukiro,maiſuquiro
maskal,maſcala
maisukeria,maiſuqueria
erkitu,erquitua
mailatu,mallatu
matutia,matutia
saletxe,ſalechea
dongaro,dongaro
dongetasun,donguetaſuna
gaiztotasun,gaiztotaſuna
madarikazio,madaricacioa
dongetu,donguetu
sasite,ſaſitea
orbel,orbela
dongetasun,donguetaſuna
aidur,aidurra
txit,chit
gaiztratatu,gaiztratatu
gaiztratatu,gaiztratatua
dongaro,dongaro
gaiztakin,gaiztaquiña
edoskaldi,edoſcaldia
mankatu,mancatu
elbarritu,elbarritu
galai,galaya
natutu,natutu
elkarte,elcartea
aginde,aguindea
saletxe,ſalechea
urrilo,urriloa
kirten,quirtena
txatar,chatarra
agerle,aguerlea
ongile,onguillea
azao,azaoa
metatxo,metachoa
eskuzorro,eſcuzorroa
eskukatu,eſcucatu
elbarritasun,elbarritaſuna
maltsotasun,malſotaſuna
zamau,zamaua
irozo,irozó
zartada,zartada
balenka,balenca
putakume,putacumea
zintzoro,cintzoró
zintzo,cintzoa
mainati,mañatia
sasite,ſaſitea
sasidi,ſaſidia
katranbila,catrambilla
uxaldu,uſyaldu
mastrikatu,maſtricatu
ubazter,ubazterrá
baztertu,baztertu
marisa,mariſa
marixa,mariſya
elkarte,elcartea
senartu,ſenartu
itsastar,itſaſtarra
magurio,magurioa
ekida,equida
goiende,goyendea
artemein,artemeiñ
mailukada,mallucada
mailukari,mallucaria
txikitu,chiquitu
malmetitu,malmetitu
zorna,zorná
zoli,zolia
amatar,amatarra
zintzo,cintzoa
emasabeldar,emaſabeldarra
etxandre,echandrea
maukari,maucaria
nagusitu,naguſitu
ozentatu,ocentatu
artaburu,artaburua
prestuezkeria,preſtuezqueria
prestuez,preſtueza
sendagai,ſendagaya
obaldi,obaldia
damorri,damorria
akastu,acaſtu
akastu,acaſtua
biki,biquia
bizki,bizquia
muxika,muxica
gogoangarri,gogoangarria
oroikarri,oroicarria
oroitza,oroitza
gogoangarri,gogoangarria
oroikarri,oroicarria
aitamen,aitamena
oroitza,oroitza
premiadun,premiaduna
gitxitu,guichitu
txoro,choroa
gezurtxo,guezurchoa
nasbage,nasbague
onkaitu,oncaitu
onkaitu,oncaitua
onkai,oncaya
gitxitu,guichitu
mermelada,mermeladá
ostalari,oſtalaria
otadi,otadia
begirune,beguirunea
sarrera,ſarrera
izu,izua
mielka,mielcá
katuarrai,catuarraya
arreta,arreta
mirari,miraria
miraritsu,miraritſua
gudari,gudaria
zume,zumea
zumitz,zumitza
bufoi,bufoya
meatzari,meatzaria
txit,chit
ekadoi,ecadoya
txikitu,chiquitu
txikitu,chiquitua
txikigarri,chiquigarria
begirada,beguirada
begaldi,begaldia
begiratzaile,beguiratzallea
begiratzaile,beguiratzallea
zikoitz,cicoitza
zikoizkeria,cicoizqueria
errukitsu,erruquitſua
misio,miſſioa
misionista,miſſioniſta
gozatzaile,gozatzallea
gaztekeria,gaztequeria
mutiltzar,mutiltzarra
mutiltxo,mutilchoa
moldakaitz,moldacaitza
igara,igará
biguin,biguña
era,eraa
tximu,chimua
tximino,chimino
tximu,chimua
bakartegi,bacarteguia
garbiketa,garbiqueta
buzkantz,buzcantzá
estaki,eſtaquia
estaki,eſtaqui
kaskamotz,caſcamotza
jakinez,jaquiñeza
mezulari,mezularia
bidutzi,bidutzia
ezkurdi,ezcurdia
menditar,menditarra
menditxo,mendichoa
muno,munoa
menditsu,menditſua
basati,baſatia
menditxo,mendichoa
basati,baſatia
menditar,menditarra
ukabilkatu,ucabilcatu
dindirri,dindirria
bizitegi,viciteguia
ortxikatu,orchicatu
ope,ope
motrairu,motrairua
motrailu,motraillua
hilduratu,hilduratu
eulitzar,eulitzarra
beltzuntza,belzunza
beltzuntza,belzunza
txantxagorri,chanchagorria
eulitzar,eulitzarra
eulitzar,eulitzarra
eltxo,elchoa
muztiatu,muztiatu
kantatxo,cantachoa
txirrita,chirritac
gizatzar,guizatzarra
mutiltzar,mutiltzarra
aldakor,aldacorra
aldaira,aldaira
burnigita,burniguita
biguin,biguña
akats,acatſa
muskildu,muſquildu
muskildu,muſquildua
era,era
anddere,anyerea
kirten,quirtenac
murrutu,murrutua
murmur,murmurra
arbiska,arbiſcá
lauso,lauſoa
basaku,baſacua
armiarma,armiarma
dierri,dierria
ezerezkeria,ecerezqueria
lilipa,lilipa
akara,acara
kondaira,condairá
ekarrai,ecarraya
izaira,izaira
ugarotu,ugarotu
bisuts,biſutſa
odaitsu,odaitſua
lainotsu,lañotſua
ukaera,ucaera
deslai,deslaya
zumar,zumarra
zumardi,zumardia
usagari,uſagaria
albetxe,albechea
basati,baſatia
igebedar,iguebedarra
ilberri,ilberria
orapilo,orapillo
leinargi,leñarguia
gautar,gautarra
intxaur saltsa,inchaur ſaltſa
notario,notarioa
jakintza,jaquintza
luberri,luberria
idisko,idiſcoa
zenbatetu,cembatetu
zenbatetu,cembatetua
igaraba,igarabá
andderusa,anyeruſa
andderusa,anyeruſa
obedierazo,obedierazo
obediarazi,obediaraci
obedierazo,obedierazo
obediarazi,obediaraci
metarri,metarria
metarri,metarria
arazo,arazo
okertu,oquertu
okertu,oquertua
lanari,lanaria
arreta,arretá
arreta,arreta
egikaritu,eguicaritu
eragozketa,eragozqueta
burkoi,burcoya
mugaldi,mugaldia
sartalde,ſartaldea
aroi,aroya
zortziurren,zortziurrena
zortziurren,zortziurrena
bildil,bildilla
usbetatu,usbetatu
usbetatu,uſbetatua
gaitzesgarri,gaitzeſgarria
iraindu,iraindua
iraingarri,iraingarria
aurren,aurrenac
erasan,eraſan
lantegi,lanteguia
kandu,candua
kandutu,candutu
begirada,beguiradá
usaitsu,uſaitſua
olibo,olivoa
olibadi,olivadia
te,té
lapikotzar,lapicotzarra
eltzegile,eltzeguillea
eltzekin,eltzequiña
lapikogin,lapicoguiña
zumardi,zumardia
zumar,zumarra
usaitsu,uſaitſua
urrintsu,urrintſua
baresare,bareſarea
guzialdun,gucialduna
txolarte,cholartea
astorki,aſtorquia
egiera,eguiera
naro,naroa
aurkaratu,aurcaratu
mugon,mugoná
gudari,gudaria
irain,iraina
hitzaldi,hitzaldia
bisuts,biſutſa
ordendu,ordendu
ordendu,ordendua
jatzi,jatzi
jetzi,jetzi
jatzi,jatzia
jetzi,jetzia
sarritan,ſarritan
egurastu,eguraſtua
kirten,quirtenac
akertxo,aquerchoac
organista,organiſta
sortaldear,ſortaldearra
sortalde,ſortaldea
urregile,urreguillea
jatorri,jatorria
pixegin,piſyeguin
apainketa,apainqueta
osin,oſiña
osin,oſiná
bekatxu,becachua
mirari,miraria
erranditsu,erranditſua
atezai,atezaya
begiratzaile,beguiratzallea
otadi,otadia
muno,munoa
errakai,erracaya
errakin,erraquiña
errakai,erracaya
errakin,erraquiña
aitorde,aitordea
apaidin,apaidiña
laguntari,laguntaria
lista,liſta
karamarro,caramarroa
lastategi,laſtateguia
hiztxo,hizchoa
berbatxo,verbachoa
eztitu,eztitu
eztitu,eztitu
makilatu,maquillatua
balenka,balenca
makilada,maquillada
txartes,charteſa
txuriketa,churiqueta
txuritu,churitu
ubeltasun,ubeltaſuna
txotx,chocha
txotx,chochac
zaplada,zaplada
pagauso,pagauſoa
usotxo,uſochoa
txotx,chochac
zingiradi,cinguiradia
muskil,muſquilla
berdalatz,berdalatza
okintegi,oquinteguia
ostikada,oſticada
zaldabai,zaldabaya
zaldabai,zaldabaya
altegi,alteguia
artale,artalea
artaburu,artaburua
zingira,cinguira
urratu,urratua
loro,loroa
papeltegi,papelteguia
papertxo,paperchoa
papertxo,paperchoa
dirualdi,dirualdia
paratzaile,paratzallea
zilibokatu,cilibocatua
arre,arreá
arretu,arretua
iduri,iduri
begitandu,beguitandu
antzeko,antzecoa
progu,progua
bekalde,becaldea
bekaldetu,becaldetu
erausle,erauslea
hitzontzi,hitzontzia
hitzontzikeria,hitzontziqueria
erausi,erauſia
berritsukeria,berritſuqueria
erausi,erauſi
hizkunde,hizcundea
txanpon,champona
gordategi,gordateguia
bezero,beceroa
apezaita,apezaita
zatitxo,zatichoa
irakurtza,iracurtza
joaira,joaira
gizadi,guizadia
kordebagetu,cordebaguetu
kordebagetu,cordebaguetua
euskarri,euſcarria
pasaporte,paſaportea
ibiltari,ibiltaria
ibiltegi,ibilteguia
ibilera,ibillera
jaiera,jayerá
ostikada,oſticada
oinkada,oincada
urgun,urguna
maki,maquia
ipuin,ipuña
aitalen,aitalena
aitaurren,aitaurrena
etxajaun,echajauna
etxandre,echandrea
pabana,pavana
geldo,gueldoa
txoritxo,chorichoa
txori,choria
nakan,nacana
umantzi,umancia
lapurreta,lapurreta
bereki,berequia
puskatxo,puſcachoa
zatitxo,zatichoa
zai,zaya
zuntoi,zuntoya
txingor,chingorra
itsaskor,itſaſcorra
itsatsi,itſatſi
erantsi,eranſi
orraztari,orraztaria
orrazatu,orrazatu
orrazatu,orrazatua
motxaile,mochallea
kardari,cardaria
guda,gudá
gudari,gudaria
gudatu,gudatu
maneatzaile,maneatzallea
gaitzurre,gaitzurrea
iletxo,illechoa
zimikatu,cimicatu
zimiko,cimicoa
zabarkeria,zabarqueria
enaseria,enaſeria
zabar,zabarra
bilotsu,bilotſua
pilotakin,pillotaquiña
moltso,moltſoa
oroldio,oroldioa
gandor,gandorra
zintzilika,cincilica
estandarte,eſtandartea
zerrenda,cerrenda
tantai,tantaya
barnatu,barnatu
barrendu,barrendu
barrutu,barrutu
barnari,barnaria
zoli,zolia
ziur,ciurra
arkaizdi,arcaizdia
lanaldi,lanaldia
lanaldi,lanaldia
peonia,peonia
zibota,cibota
kio,quioa
txikitxo,chiquichoa
galera,galerá
galera,galerá
galduan,galduan
barkamen,barcamena
beilari,beillaria
betiro,betiró
perrexil,perrexilla
nagiro,naguiro
bagai,bagaya
desleialtasun,desleyaltaſuna
bilorruski,bilorruſquia
loro,loro
kaltedun,calteduna
baimendu,baimendua
betiro,betiro
betiraunde,betiraundea
betiraun,betirauna
zalantza,zalantzá
zakur,zacur
txit,chit
dongaro,dongaró
zakurtzar,zacurtzarra
pertsekuzio,perſecucioa
pertsegitzaile,perſeguitzallea
kaltarraitu,caltarraitu
kaltarraitu,caltarraitua
txatar,chatarra
ziur,ciurra
sinisterazo,ſiniſterazo
sinistarazi,ſiniſtaraci
zardai,zardaya
setati,ſetatia
egokiro,egoquiro
makatz,macatza
ameskaitz,ameſcaitza
arrandegi,arrandeguia
arrantzatu,arranzatu
arrantzatu,arranzatua
masaileko,maſallecoa
belarrondoko,belarrondocoa
ganbela,gambelá
peseta,peſeta
bilakinde,billaquindea
kisket,quiſqueta
lepazaki,lepazaquia
puskatu,puſcatu
arriolio,arriolioa
urrikalti,urricaltia
kisket,quiſqueta
poto,potoa
mokokada,mococada
erausi,erauſi
zorroztarri,zorroztarria
botarri,botarria
jataldi,jataldia
mandiota,mandiota
sutunpa,ſutumpa
lapurreta,lapurreta
lapurreria,lapurreria
pipermin,pipermiña
katuarrai,catuarraya
muskil,muſquilla
aldaro,aldaroa
koipetsu,coipetſua
natu,natua
antzestu,antzeſtu
antzestu,antzeſtua
pipatxo,pipachoa
itsaslapur,itſaslapurra
itsaslapurreta,itſaslapurreta
aztarna,aztarna
makartsu,macartſua
txotx,chocha
pozik,pozic
txit,chit
plantxa,plancha
plantxa,plancha
landatzaile,landatzallea
landaretxo,landarechoa
sabi,ſabia
adia,adia
erosta,eroſta
adia,adiac
platano,platanoa
hitzaldi,hitzaldia
platertxo,platerchoa
plazatxo,plazachoa
toles,toleſa
tolestu,toleſtu
tolestatu,toleſtatu
tolestu,toleſtua
betero,beteró
ilbete,ilbetea
toles,toleſa
lumatsu,lumatſua
lumadi,lumadia
lumatxo,lumachoa
diatu,diatu
diabetatu,diabetatu
diatu,diatua
gaiso,gaiſoa
urdandegi,urdandeguia
inautsi,iñautſia
almen,almená
aldun,alduna
lotoskinde,lotoſquindea
lotoskari,lotoſcaria
sits,ſitſa
txartel,chartela
astotxo,aſtochoa
sutauts,ſutautſa
austun,auſtuna
sartalde,ſartaldea
diatu,diatua
gutxitasun,guchitaſuna
urdakeria,urdaqueria
atezai,atezaya
sarbide,ſarbidea
iganbide,igambidea
bidasari,bidaſaria
mirari,miraria
atezai,atezaya
akats,acatſa
etxajaun,echajauna
egoera,egoera
menpetu,mempetu
menpetu,mempetua
te,te
erantsi,eranſia
auzpetu,auzpetu
auzpetu,auzpetua
atzen,atzena
egoera,egoera
zuku,zucua
almen,almenac
aldun,alduna
txiko,chicoa
sartaurre,ſartaurrea
aginde,aguindea
preziotsu,preciotſua
baliotsu,baliotſua
burkaitz,burcaitza
burkaiztu,burcaiztu
urduritu,urduritu
amilkor,amilcorra
dina,diña
somatu,ſomatu
otsande,otſandea
dianagusi,dianaguſia
eldubage,eldubaguea
euskarri,euſcarria
itsatsi,itſatſia
itsatsi,itſatſi
itsatsi,itſatſia
trinkatu,trincatu
prentsatu,prenſatua
seindun,ſeinduna
prestaera,preſtaera
maneatu,maneatu
maneatzaile,maneatzallea
dianagusi,dianaguſia
apaiztar,apaiztarra
berezitu,berecitu
bertatik,bertatic
bertatiko,bertaticoa
aurkeztu,aurqueztu
aurkeztu,aurqueztua
aurkeztu,aurqueztu
dianagusi,dianaguſia
aurren,aurrena
euskarri,euſcarria
estutasun,eſtutaſuna
presaka,preſaca
presaka,preſaca
baira,baira
bertatik,bertatic
usteko,uſtecoa
estutu,eſtutu
agintaldi,aguintaldia
goiartu,goyartu
garaile,garailea
prestaera,preſtaera
lenengo,lenengoa
koipeztatu,coipeztatu
koipatu,coipatua
koipe,coipea
prozeso,proceſoa
mirari,miraria
barnatu,barnatu
barrendu,barrendu
barrutu,barrutu
barnatu,barnatua
txatar,chatarra
hitzaurre,hitzaurrea
luzaera,luzaera
luzaera,luzaera
aginde,aguindea
promestu,promeſtu
muno,munoa
aztiatu,aztiatu
nasbage,nasbaguea
egokiro,egoquiro
eripetu,eripetu
eripetu,eripetua
aurrandetu,aurrandetu
estalpe,eſtalpea
zuzkitu,zuzquitu
letarta,letartá
ahaika,ahaicá
ataika,ataicá
ahaikari,ahaicaria
ahaikatzaile,ahaicatzallea
ahaikatu,ahaicatu
ahaikatu,ahaicatua
zogi,zoguia
zurra,zurra
zogiro,zoguiro
proba,proba
otsande,otſandea
agertarazi,aguertaraci
otsande,otſandea
lotsagarri,lotſagarria
zubitxo,zubichoa
txerri,cherria
txerri,cherri
langa,langá
goiende,goyendea
arkakuso,arcacuſoa
erpuru,erpurua
erpuru,erpurua
poliki,poliqui
polikiro,poliquiro
txukunkiro,chucunquiro
politasun,politaſuna
txukun,chucuna
birikeri,biriqueria
pulpitu,pulpitua
mamitsu,mamitſua
puntada,puntada
josketa,joſqueta
estiba,eſtiba
josketa,joſqueta
izutu,izutu
zorna,zorná
putazale,putazalea
usteko,uſtecoa
zorna,zorná
putazale,putazalea
usteko,uſtecoa
mandiota,mandiota
laurdendu,laurdendu
laurdendu,laurdendua
kartoi,quartoya
zatikor,zaticorra
errukitu,erruquitu
errukitu,erruquitu
gelditxo,gueldicho
espa,eſpá
erraki,erraquia
kiskaldu,quiſcaldu
kiskaldu,quiſcaldua
gaztagin,gaztaguiña
kontz,contza
galera,galerá
geldiera,gueldiera
kintal,quintalá
matrailezur,matraillezurra
matrailezur,matraillezurra
errefautxo,errefauchoa
arrabiatu,arrabiatu
amorratu,amorratu
arrabiatu,arrabiatua
amorratu,amorratua
mardo,mardoa
mordo,mordoa
zuzitu,zucitua
arrakada,arracada
ematoro,ematoroa
basatetxe,baſatechea
elkarte,elcartea
igeltxo,iguelchoa
azerikeria,azeriqueria
urratu,urratua
atzapartu,átzapartu
ortxikatu,orchicatu
izaira,izaira
berrartu,berrartu
berrartu,berrartua
zerra,cerrá
zerra,cerrac
talde,taldea
gitxitu,guichitu
txit,chit
errebota,errebota
errebote,errebotea
errezelo,erreceloa
errezeta,erreceta
etartu,etartu
barruti,barrutia
hitzaldiatu,hitzaldiatua
beregandu,beregandu
batzaile,batzallea
ordaindu,ordaindu
ordaindu,ordaindua
berjosi,berjoſi
berjosi,berjoſia
pozaldi,pozaldia
poztu,poztu
oroipen,oroipena
sarealdi,ſarealdia
baresare,bareſarea
saretxo,ſarechoa
saregile,ſareguillea
kuturtu,cuturtua
kuturtu,cuturtua
ordaindu,ordaindu
jataldi,jataldia
jataldi,jataldia
urtzaile,urtzallea
indartu,indartu
kemendu,quemendu
indartu,indartua
alaitu,alaitu
igortzi,igortzi
igortzi,igortzia
alaitu,alaitu
marmariza,marmarizá
erregalotxo,erregalochoa
erregatu,erregatua
eronde,erondea
ikustoki,icuſtoquia
ikustoki,icuſtoquia
arautu,arautu
erreinutar,erreñutarra
pozik,pocic
pozkiro,pozquiro
bekalde,becaldea
bekaldetu,becaldetua
leize,leicea
erreinaldi,erreinaldia
berriztu,berriztu
gaztetu,gaztetu
kondaira,condairá
kondairagile,condairaguillea
miliskatu,milliſcatua
tximista,chimiſta
tximista,chimiſta
elkarkide,elcarquidea
kontatzaile,contatzallea
lasaitu,laſaitu
kutun,cutuná
irrintzi,irrincia
zelaitu,celaitu
tximista,chimiſta
bukatu,bucatua
erremate,errematea
ihakin,ihaquin
ihakin,ihaquina
barrendu,barrendu
barrutu,barrutu
barnatu,barnatu
miliskatu,milliſcatu
barkagarri,barcagarria
egorle,egorlea
uxaldu,uſyaldu
muztiatu,muztiatu
muztiatu,muztiatua
alderagin,alderaguin
gaztetu,gaztetua
birjaio,birjayoa
ernegatu,ernegatu
erregatu,erregatua
errentari,errentaria
muskil,muſquilla
zuzentzaile,zucentzallea
larreratu,larreratu
sosteko,ſoſtecoa
berriztu,berriztu
berriztu,berriztua
erausle,erauslea
lauspeatu,lauſpeatu
ordaingarri,ordaingarria
aurkeztatu,aurqueztatu
errepublika,errepublica
nakaiztu,nacaiztu
nakaiztu,nacaiztua
azpildu,azpildu
azpildu,azpildua
kiskaldu,quiſcaldu
kiskaldu,quiſcaldua
dendatu,dendatu
dendatu,dendatua
gaztanbera,gaztambera
lerratoki,lerratoquia
limurikor,limuricorra
labainkor,labaincorra
limuri,limuria
labain,labaña
labana,labana
limuritu,limuritu
limurtu,limurtu
labainketa,labainqueta
arrakada,arracada
zirritu,cirritua
kondar,condarra
erresa,erreſa
erresistitu,erreſiſtitu
betuste,betuſtea
erabaki,erabaqui
erabaki,erabaquia
deslotu,deslotu
aldazpi,aldazpia
beakurtu,beacurtu
beakurtu,beacurtua
begirune,beguirunea
errespetotsu,erreſpetotſua
distiatzaile,diſtiatzallea
erantzuera,eranzuera
zirritu,cirritua
zirritu,cirritua
bertezarri,bertezarri
bertezarri,bertezarria
errestatu,erreſtatua
errestatu,erreſtatua
erretablo,erretabloa
muskil,muſquilla
isats,iſatſa
belutu,belutu
belutu,belutua
maneatu,maneatu
ganbusi,gambuſia
durundi,durundia
dunduriatu,dunduriatu
alderagin,alderaguin
erausi,erauſiac
ordaindu,ordaindu
ordaindu,ordaindua
jiraka,giraca
jostaketa,joſtaqueta
jostailu,joſtallua
alderagin,alderaguin
alderagin,alderaguiña
erretrato,erretratoa
ekantza,ecanza
bakartegi,bacarteguia
balioztatu,balioztatu
salatzaile,ſalatzallea
agerle,aguerlea
agerketa,aguerqueta
eztanda egin,eztanda eguin
bertikusi,berticuſia
berdetu,verdetu
beakurtu,beacurtu
aldazpi,aldazpia
bertikusi,berticuſi
irabiatu,irabiatu
aztarriaka,aztarriaca
irabiatu,irabiatua
irabia,irabia
irabiatu,irabiatu
txepetx,chepecha
errezo,errezoa
jario,jario
ibaitxo,ibaichoa
muno,munoa
oparo,oparó
txoko,chocoa
txoko,chocoa
baztertxo,bazterchoa
farragarri,farragarria
lotots,lototſa
ezkurdui,ezcurduia
indartu,indartu
alaitu,alaitu
indartu,indartua
indarti,indartia
iboil,iboilla
amildu,amildua
ezkutarma,ezcutarma
iboil,iboilla
jira,gira
sorki,ſorquia
belaunkada,belauncada
txirrita,chirrita
kostoma,coſtoma
mafrundi,mafrundia
urratu,urratua
balakari,balacaria
txikitu,chiquitu
zikoizkeria,cicoizqueria
ugertu,uguertu
linai,liñaya
kurpil,curpilla
gurpil,gurpilla
kizkur,quizcurra
orrolari,orrolaria
txatar,chatarra
txarkeria,charqueria
ausmartu,auſmartu
ausmartu,auſmartua
moltso,molſoa
oiandar,oyandarra
baserritar,baſerritarra
maindire,maindirea
izaratxo,izarachoa
askordin,aſcordina
gizatxar,guizacharra
morroi,morroya
sakatu,ſacatua
ezkutape,ezcutapea
elizai,elizaya
sankristia,ſancriſtia
astintzaile,aſtintzallea
saietera,ſayetera
saieta,ſayeta
doneti,donetia
erresomindu,erreſomindu
sargoritu,ſargoritu
sargori,ſargoria
lurrin,lurrina
saiatu,ſayatu
epaitu,epaitu
saiatu,ſayatua
epaitu,epaitua
irteera,irteera
gatzaga,gatzaga
izoki,izoquia
gaztun,gaztuna
matxitxalto,machichaltoa
diosal,dioſalac
agurtzaile,agurtzallea
agurtu,agurtu
agurtu,agurtua
diosal,dioſala
zai,zaya
zai,zayac
salatzaile,ſalatzallea
basati,baſatia
oiandar,oyandarra
basakeria,baſaqueria
sandalia,ſandalia
sandalo,ſandaloa
txorakeria,choraqueria
angurri,angurria
txoro,choroa
izain,izaina
odolti,odoltia
santidade,ſantidadea
donestu,doneſtu
donestatu,doneſtatu
donestu,doneſtua
donestatu,doneſtatua
doneti,donetia
sumindura,ſumindura
zakuto,zacutoa
gorni,gornia
gorrina,gorrina
arakarri,aracarria
zaragardun,zaragarduna
askidatu,aſquidatu
asealdi,aſealdia
sikatu,ſicatua
goarpe,goarpea
isilmandatu,iſilmandatuac
isilmandatu,iſilmandatu
ziriku,ciricua
igitai,iguitaya
igitari,iguitaria
segari,ſegaria
jarraitzaile,jarraitzallea
autsarri,autſarria
ardore,ardorea
larrantz,larrantza
antzeko,antzecoa
toleskabe,toleſcabea
sentigarri,ſentigarria
zentzundun,centzunduna
erabaki,erabaquia
erabaki,erabaqui
erabaki,erabaquia
sentiera,ſentiera
sentiera,ſentiera
jauntxo,jaunchoa
bereiztu,bereiztu
maltsotu,malſotu
beregandu,beregandua
benaz,benaz
benetan,benetan
orbel,orbela
morrontza,morrontza
bilaldi,billaldia
zazpireun,zazpireun
sagardotegi,ſagardoteguia
betibizi,betibicia
mendeko,mendecoa
goarpe,goarpea
goarpe,goarpea
txirola,chirola
isilkor,iſilcorra
isilkor,iſilcorra
isiltasun,iſiltaſuna
basoti,baſotia
oiandar,oyandarra
ekantza,ecantzá
elkargo,elcargoa
bilguma,bilguma
toleskabe,toleſcabe
benaz,benaz
toleskabe,toleſcabea
salatzaile,ſalatzallea
salaketa,ſalaqueta
bakardade,bacardadea
bakandu,bacandu
edolarik,edolaric
morroi,morroya
mastrikatu,maſtricatua
erresa,erreſac
bezinta,becinta
betondo,betondoa
bekosko,becoſcoa
txit,chit
izengain,icengaña
sokorru,ſocorrua
labainketa,labainqueta
labain,labaiña
arintxo,arincho
sokagile,ſocaguillea
sokatxo,ſocachoa
menperatu,memperatu
zolatu,zolatua
jolastu,jolaſtu
jolastu,jolaſtua
gudari,gudaria
galdatu,galdatu
mortuar,mortuarra
eremuar,eremuarra
bakartar,bacartarra
solomo,ſolomoa
askatzaile,aſcatzallea
kereizpe,quereizpea
txaola,chaola
zintzatu,cintzatu
soinutxo,ſoñuchoa
amesgile,amesguillea
loguratu,loguratua
logura,logura
masaileko,maſallecoa
zipotz,cipotza
zopatxo,zopachoa
aizeman,aiceman
aizegin,aiceguin
muskildu,muſquildu
anddere,anyerea
salaketa,ſalaqueta
zurrupatu,zurrupatu
zurrupatu,zurrupatua
zurrut,zurrutá
zurrut,zurruta
zurrupa,zurrupa
masaileko,maſallecoa
aierukor,ayerucorra
irozo,irozó
irozo,irozoa
uztai,uztaya
sotana,ſotana
aizape,aizapea
etxape,echapea
lurpetu,lurpetu
lurpetu,lurpetua
eztitu,eztitu
mendeko,mendecoa
igoera,igoera
ordeztatu,ordeztatu
ordeztatu,ordeztatu
oinorde,oñordea
jazo,jazo
gertaera,guertaera
ondorengo,ondorengoa
urdakeria,urdaqueria
zikinkeria,ciquinqueria
izerkari,icercaria
orue,oruea
askaera,aſcaera
gazur,gazurá
aski,aſqui
itogarri,itogarria
menpetu,mempetu
menpetu,mempetua
sufredun,ſufreduna
sufretsu,ſufretſua
murgildu,murguildu
zai,zaya
nagusialdi,naguſialdia
usbetatu,usbetatu
eseki,eſequi
eseki,eſequia
geldiera,gueldiera
zalantza,zalantzá
asberatu,asberatu
asbera,asbera
irozgarri,irozgarria
irozo,irozo
susto,ſuſtoa
surmur,ſurmurra
susto,ſuſtoa
surmur,ſurmurra
beltzuntza,belzuntza
arnotegi,arnoteguia
oltxo,olchoa
oltxo,olchoa
oltzar,oltzarra
txaola,chaola
isiltasun,iſiltaſuna
isilkor,iſilcorra
alatzar,alatzarra
zardai,zardaya
zerra,cerra
ardore,ardorea
soildu,ſoildua
otailari,otallaria
zorten,zortena
txorten,chortena
arbel,arbelá
txikitxo,chiquichoa
tamaina,tamaña
arbazta,arbazta
tamarindo,tamarindoa
