nagitasun,naguitaſuna
nagikeria,naguiqueria
alfer,alferra
latx,lachá
gabikotu,gabicotua
gabiko,gabicoá
mugarri,mugarriac
argitu,arguitu
argitu,arguitua
argitu,arguitu
desalaitu,deſalaitua
ostikatu,oſticatu
ohondikatu,ohondicatu
ostikatu,oſticatua
eraso,eraſoa
ohondikari,ohondicaria
jotzaile,jotzallea
erasotzaile,eraſotzallea
ohondikatze,ohondicatzea
ukondoztu,ucondoztua
biltze,biltzea
sartze,ſartzea
atsedentegi,atſedenteguia
lapurtegi,lapurteguia
kabuil,cabuillá
makurtu,macurtú
zokondu,zocondua
makurtu,macurtua
zokon,zoconá
eraso,eraſo
erauntsi,eraunſi
oratu,oratu
eraso,eraſoa
akopilatu,acopilatua
erasotzaile,eraſotzallea
oratze,oratzea
akomodatu,acomodatu
emate,ematea
maneatu,maneatu
konpondu,compondu
zuzendu,zucendú
konpondu,compondú
elkarganatu,elcargánatu
etorri,etorri
maneakizun,maneaquizuna
maneagarri,maneagarria
zuzenbide,zucenbidea
egiune,eguiunea
ongunde,ongundea
aberats,aberatſa
osasundun,oſaſunduna
zuzkitu,zuzquitua
dirudun,diruduna
gela,guela
etxe,eche
lagundu,lagundu
lagun egin,lagun eguin
lagundu,lagundu
lagundu,lagundua
laguntzaile,laguntzallea
laguntza,laguntza
aralde,araldea
ondo,ondo
azi,aciá
azitu,acitua
kontseilatu,conſellatú
esondu,eſondua
kontsejatu,conſejatua
kontseilatu,conſellatua
esondari,eſondaria
kontseilari,conſellaria
gertatu,guertatú
suertatu,ſuertatú
adartu,adartua
beldurtu,beldurtú
ikaratu,icaratú
izutu,izutu
erabaki,erabaquia
akordatu,acordatu
oroitu,oroitu
oroitzaile,oroitzallea
akordatu,acordatu
oroitu,oroitu
oroitu,oroitua
akordatu,acordatua
oroitarazi,oroitaracia
akordarazi,acordaracia
oroitza,oroitza
konpondu,compondu
maneatu,maneatu
adarreztatu,adarreztatua
itxi,ichi
estutu,eſtutu
izutu,izutu
jaroerazo,jaroerazoá
itxi,ichia
estutu,eſtutua
izutu,izutua
txokoratu,chocoratua
izate,izatea
kukurizkatu,cucurizcatua
laburtu,laburtu
ebaki,ebaqui
laburtu,laburtua
labur egin,labur eguiña
ebaki,ebaqui
epaki,epaquiá
laburtzaile,laburtzallea
labur egile,labur eguillea
ebaki,ebaqui
makurtu,macurtu
makurtze,macurtzea
makurtu,macurtua
estu,eſtú
larritu,larritua
estutu,eſtutua
larritzaile,larritzallea
estutzaile,eſtutzallea
jarraile,járrailea
larriagotu,larriagotu
etzauntza,etzauntza
azi,aciá
usatu,uſatua
kostunbratu,coſtumbratua
deitu,deitu
otsegin,otſeguiña
balio,balio
garlatz,garlatzá
gei,gueiá
izen oneko,icen onecoa
egin,eguin
izendatu,icendatu
izendatu,icendatua
menandetu,menandetua
garbitu,garbitua
zulatu,zulatu
zauritu,zauritu
zulatu,zulatua
zauritu,zauritua
gazigarri,gacigarria
erretze,erretzea
arratsaldeko,arratſaldecoa
goiare,goyarea
egile,eguillea
egiteko,eguitecoac
egintz,eguintzac
egintari,eguintaria
egile,eguillea
salatzaile,ſalatzallea
egindazko,eguindazcoa
egintzazko,eguintzazcoa
orduan,orduan
prestatu,preſtatu
apaindu,apaindu
