EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
tranpan atzitu	trampan atzitu	trampan atzitu					
sartu	sartu	ſartu	sartu		sartu	sartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sartu
tranpan atzitua	trampan atzitua	trampán atzitua					
enbroilar	embrollar	embrollar					
es adeudarla	es adeudarla	es adeudarla					
erraikoia	erraicoya	erraicoya				erraikoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erraikoi
barrenkoia	barrencoya	barrencoya	barrenkoi		barrenkoi	barrenkoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barrenkoi
erraikoro	erraicoro	erraicoro					
ro	ro	ro					
erraietan sartu	errayetan sartu	errayetan ſartu					
erraiak	errayac	errayac	errai		errai	errai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=errai
haltsarrak	halsarrac	halſarrac	errai		errai	haltsar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=haltsar
entrainak	entrañac	entrañac	entrain			entrain	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=entrain
oialgorri bat	oyalgorri bat	oyalgorri bat					
zatartu	zatartu	zatartu	zatartu		zatartu	zatartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zatartu
sorkitu	sorquitu	ſorquitu					
zatarrez	zatarrez	zatarrez					
sorkiz lotu	sorquiz lotu	ſorquiz lotu					
autseztu	autseztu	autſeztu					
autseztatu	autseztatu	autſeztatu					
autsez bete	autsez bete	autſez bete					
sar	sar	ſar					
sartu	sartu	ſartu	sartu		sartu	sartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sartu
barrutu	barrutu	barrutu	barrutu	barrutu			
barrendu	barrendu	barrendu	barrendu	barrendu	barrendu	barrendu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barrendu
sartua	sartua	ſartua	sartu		sartu	sartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sartu
arte	arte	arte	arte		arte	arte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arte
artean	artean	artean	artean		artean	artean	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artean
erdidiki	erdidiqui	erdidiqui					
erdidikia	erdidiquia	erdidiquia					
erdiurdindua	erdiurdindua	erdiurdindua					
bezintartea	becintartea	becintartea				bezintarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bezintarte
zeino	ceño	ceño					
artatzitu	artatzitu	artatzitu					
artatzitua	artatzitua	artatzitua					
artepaki	artepaqui	artepaqui					
artepakia	artepaquia	artepaquia				artepaki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artepaki
debekatu	debecatu	debecatu	debekatu		debekatu	debekatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=debekatu
esertatu	esertatu	eſertatu					
debekatua	debecatua	debecatua	debekatu		debekatu	debekatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=debekatu
esartetua	esartetua	eſartetua					
esartea	esartea	eſartea					
bisetartekoa	bisetartecoa	biſetartecoa					
finartekoa	fiñartecoa	fiñartecoa					
eskumatu	escumatu	eſcumatu					
entregatu	entregatu	entregatu	entregatu	entregatu	entregatu	entregatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=entregatu
eskura eman	escura eman	eſcura eman	eskura eman				
eskumatua	escumatua	eſcumatua				eskumatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eskumatu
eskumaitza	escumaitza	eſcumaitza					
entrega	entrega	entrega			entrega	entrega	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=entrega
entregea	entreguea	entreguea					
eskura ematea	escura ematea	eſcura ematea					
eskumatzailea	escumatzallea	eſcumatzallea					
entregatzailea	entregatzallea	entregatzallea				entregatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=entregatzaile
ondartetu	ondartetu	ondartetu					
juntartetu	juntartetu	juntartetu					
itxekartetu	ichecartetu	ichecartetu					
erdiargitu	erdiarguitu	erdiarguitu					
bitarteonetan	bitarteonetan	bitarteonetan					
pozitzartea	pozitzartea	pozitzartea				pozitzarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pozitzarte
pozitzartetua	pozitzartetua	pozitzartetua					
pozitzartegilea	pozitzarteguillea	pozitzarteguillea					
artetu	artetu	artetu	artetu		artetu	artetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artetu
bitartetu	bitartetu	bitartetu					
sarrartetu	sarrartetu	ſarrartetu					
artetu	artetu	artetu	artetu		artetu	artetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artetu
artetua	artetua	artetua	artetu		artetu	artetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artetu
&k	&c	&c					
artekoia	artecoya	artecoya					
sarkorra	sarcorra	ſarcorra	sarkor		sarkor	sarkor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sarkor
trakada	tracada	tracadá					
artetzea	artetzea	artetzea					
sarrartetzea	sarrartetzea	ſarrartetzea					
nasartetu	nasartetu	naſartetu					
nasartetua	nasartetua	naſartetua				nasartetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=nasartetu
gaztakintzako maia	gaztaquintzaco maya	gaztaquintzaco maya					
alkia	alquia	alquia				alki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alki
erdiaditu	erdiaditu	erdiaditu					
erdientzun	erdienzun	erdienzun					
aditartetu	aditartetu	aditartetu					
entzunartetu	enzunartetu	enzunartetu					
begoiartekoa	begoiartecoa	begoiartecoa					
azkazalartekoa	azcazalartecoa	azcazalartecoa					
lauroldatua	lauroldatua	lauroldatua				lauroldatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lauroldatu
lauroldi	lauroldi	lauroldi					
istartea	istartea	iſtartea					
meatsunea	meatsunea	meatſunea					
bakantartea	bacantartea	bacantartea					
sakartea	sacartea	ſacartea				sakarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sakarte
meatsunetu	meatsunetu	meatſunetu					
bakandu	bacandu	bacandu	bakandu	bakandu	bakandu	bakandu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bakandu
bakantartetu	bacantartetu	bacantartetu					
sakartetu	sacartetu	ſacartetu					
irakurtzatu	iracurtzatu	iracurtzatu					
berezi	bereci	bereci	berezi		berezi	berezi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berezi
bereistu	bereistu	bereiſtu					
beregandu	beregandu	beregandu	beregandu	beregandu			
arikerea	ariquerea	ariquerea					
baztarda	baztarda	baztardá					
otailartea	otallartea	otallartea				otailarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=otailarte
otailartetu	otallartetu	otallartetu					
otailartetua	otallartetua	otallartetua					
josartetu	josartetu	joſartetu					
josartetua	josartetua	joſartetua					
josartea	josartea	joſartea				josarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=josarte
josartekoa	josartecoa	joſartecoa					
pozartetu	pozartetu	pozartetu					
jostatu	jostatu	joſtatu	jostatu		jostatu	jostatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jostatu
dostatu	dostatu	doſtatu	dostatu		dostatu	dostatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dostatu
pozartetu	pozartetu	pozartetu					
atsegin artu	atseguin artu	atſeguin artu					
jostailua	jostallua	joſtallua	jostailu	jostailu	jostailu	jostailu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jostailu
geldartetua	gueldartetua	gueldartetua					
geldartea	gueldartea	gueldartea					
gerartea	guerartea	guerartea				gerarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gerarte
jostaketa	jostaqueta	joſtaqueta	jostaketa	jostaketa			
jostaera	jostaera	joſtaera					
pozaldia	pozaldia	pozaldia	pozaldi	pozaldi		pozaldi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pozaldi
aiuda de kosta	ayuda de costa	ayuda de coſta					
sueldo	sueldo	ſueldo					
eartetu	eartetu	eartetu					
eartetua	eartetua	eartetua					
erartea	erartea	erartea					
interbalo	intervalo	intervalo					
zainartetu	zañartetu	zañartetu					
nasartetu	nasartetu	naſartetu					
naspila	naspilla	naſpilla					
katranbilatu	catrambillatu	catrambillatu	katranbilatu	katranbilatu			
sabeleko mina	sabeleco miña	ſabeleco miña					
damurriatu	damurriatu	damurriatu					
odoliatu	odoliatu	odoliatu					
tristetu	tristetu	triſtetu			tristetu	tristetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tristetu
atsekabetu	atsecabetu	atſecabetu	atsekabetu		atsekabetu	atsekabetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atsekabetu
damutu	damutu	damutu	damutu		damutu	damutu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=damutu
goibeldu	goibeldu	goibeldu	goibeldu		goibeldu	goibeldu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=goibeldu
tristetu	tristetu	triſtetu			tristetu	tristetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tristetu
tristetua	tristetua	triſtetua			tristetu	tristetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tristetu
mentutu	mentutu	mentutu					
aidetu	aidetu	aidetu	aidetu				
mentutua	mentutua	mentutua					
egitxulotu	eguichulotu	eguichulotu					
enthronizar	enthronizar	enthronizar					
altegitu	alteguitu	alteguitu					
solairutu	solairutu	ſolairutu					
altegian sartu	alteguian sartu	alteguian ſartu					
altegitua	alteguitua	alteguitua					
gordekintza	gordequintza	gordequintza					
inoteria	iñoteria	iñoteria					
erdi ondoko sominak	erdi ondoco somiñac	erdi ondoco ſomiñac					
sortu	sortu	ſortu	sortu		sortu	sortu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sortu
sortatu	sortatu	ſortatu	sortatu				
sortua	sortua	ſortua	sortu		sortu		
sortatua	sortatua	ſortatua	sortatu			sortatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sortatu
sorrera	sorrera	ſorrera	sorrera		sorrera	sorrera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sorrera
arretu	arretu	arretu	arretu	arretu	arretu	arretu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arretu
loitu	loitu	loitu					
arretua	arretua	arretua	arretu	arretu	arretu	arretu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arretu
esaldea	esaldea	eſaldea					
arpeztea	arpeztea	arpeztea					
arpeztu	arpeztu	arpeztu					
esaldua	esaldua	eſaldua					
&k	&c	&c					
magiratu	maguiratu	maguiratu					
magian sartu	maguian sartu	maguian ſartu					
magiratua	maguiratua	maguiratua					
zaude pakean	zaude paquean	zaude paquean					
zago pakean	zago paquean	zago paquean					
antu	antu	antu					
antustetu	antustetu	antuſtetu					
burutsitu	burutsitu	burutſitu					
antua	antua	antua					
latera	latera	latera	latera				
sorrera	sorrera	ſorrera	sorrera		sorrera	sorrera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sorrera
latu	latu	latu					
sortu	sortu	ſortu	sortu		sortu	sortu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sortu
latua	latua	latua					
gizondu	guizondu	guizondu	gizondu		gizondu	gizondu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gizondu
sarruritzailea	sarruritzallea	ſarruritzallea					
enbudo	embudo	embudo					
sarruritu	sarruritu	ſarruritu					
sarruri	sarruri	ſarruri					
sarruria	sarruria	ſarruria					
geiegi	gueyegui	gueyegui					
larregi edan	larregui edan	larregui edan					
nasilatu	nasillatu	naſillatu					
nasilatua	nasillatua	naſillatua					
zartu	zartu	zartu	zartu				
zartu	zartu	zartu	zartu				
aguretu	aguretu	aguretu	aguretu	aguretu	aguretu	aguretu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aguretu
pozoindaria	pozoindaria	pozoindaria					
pozoitu	pozoitu	pozoitu	pozoitu	pozoitu	pozoitu	pozoitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pozoitu
pozoindu	pozoindu	pozoindu	pozoindu		pozoindu	pozoindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pozoindu
pozoitua	pozoitua	pozoitua	pozoitu	pozoitu	pozoitu	pozoitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pozoitu
belak lotu	velac lotu	velac lotu					
abergontzartse	avergonzarse	avergonzarſe					
bergontzante	vergonzante	vergonzante					
bela lokarriak	vela locarriac	vela locarriac				bela lokarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bela lokarri
atzea	atzea	atzea	atze		atze	atze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=atze
jantziorea	janciorea	janciorea					
jantzioratu	jancioratu	jancioratu					
jantzioratua	jancioratua	jancioratua					
argi tu	argui tu	argui tu					
argiz bete	arguiz bete	arguiz bete					
bestirtse	vestirse	veſtirſe					
rebestirtse	revestirse	reveſtirſe					
bialdu	bialdu	bialdu	bialdu		bialdu	bialdu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bialdu
bidaldu	bidaldu	bidaldu	bidaldu		bidaldu	bidaldu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bidaldu
egorri	egorri	egorri			egorri	egorri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egorri
irion	irion	irion	irion				
iriondu	iriondu	iriondu					
bialdua	bialdua	bialdua	bialdu		bialdu		
egorria	egorria	egorria			egorri	egorri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egorri
galdu	galdu	galdu	galdu		galdu	galdu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=galdu
goastatu	goastatu	goaſtatu	goastatu				
zaletu	zaletu	zaletu	zaletu		zaletu	zaletu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zaletu
ederretsi	ederretsi	ederretſi	ederretsi		ederretsi	ederretsi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ederretsi
ordagotzailea	ordagotzallea	ordagotzallea					
ordagotu	ordagotu	ordagotu					
enbidatu	envidatu	envidatu					
ordagotu dan guzia	ordagotu dan gucia	ordagotu dan gucia					
ordagotua	ordagotua	ordagotua					
bekaitza	becaitza	becaitza	bekaitz		bekaitz	bekaitz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bekaitz
bekaizkoa	becaizcoa	becaizcoa	bekaizkoa				
ondamua	ondamua	ondamua	ondamu	ondamu	ondamu	ondamu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ondamu
bekaiztu	becaiztu	becaiztu	bekaiztu		bekaiztu	bekaiztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bekaiztu
bekaizkotu	becaizcotu	becaizcotu					
ondamutu	ondamutu	ondamutu					
apetezer	apetecer	apetecer					
desear	desear	deſear					
bekaiztia	becaiztia	becaiztia	bekaizti		bekaizti	bekaizti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bekaizti
ondamutia	ondamutia	ondamutia				ondamuti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ondamuti
gutxitu	guchitu	guchitu	gutxitu		gutxitu	gutxitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gutxitu
gutitu	gutitu	gutitu	gutitu		gutitu	gutitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gutitu
urritu	urritu	urritu	urritu		urritu	urritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urritu
gutxitua	guchitua	guchitua	gutxitu		gutxitu	gutxitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gutxitu
&k	&c	&c					
biluztu	billuztu	billuztu			biluztu	biluztu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=biluztu
asur undu	asur undu	aſur undu					
biluztua	billuztua	billuztua			biluztu		
ardoztu	ardoztu	ardoztu					
ardautu	ardautu	ardautu					
arnoztu	arnoztu	arnoztu					
ardoztua	ardoztua	ardoztua					
&k	&c	&c					
ordagoa	ordagoa	ordagoa					
emaskainia	emascañia	emaſcañia					
alargundu	alargundu	alargundu	alargundu		alargundu	alargundu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alargundu
alargundua	alargundua	alargundua	alargundu		alargundu	alargundu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=alargundu
rebolkado	revolcado	revolcado					
bilgoa	bilgoa	bilgoa	bilgo	bilgo		bilgo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilgo
bilduma	bilduma	bilduma	bilduma		bilduma	bilduma	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilduma
trosak	trosac	troſac				tros	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=tros
bilgarreak	bilgarreac	bilgarreac					
bildu	bildu	bildu	bildu		bildu	bildu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bildu
bilgotu	bilgotu	bilgotu	bilgotu				
boildu	boildu	boildu					
bildua	bildua	bildua	bildu		bildu	bildu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bildu
xaloa	xaloa	xaloa	xalo		xalo	xalo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=xalo
erlabatu	erlabatu	erlabatu					
erleaze eultzatu	erleace eultzatu	erleace eultzatu					
erlabila	erlabilla	erlabilla					
erlabatza	erlabatza	erlabatza					
erladia	erladia	erladia				erladi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erladi
oialak gobadatu	oyalac gobadatu	oyalac gobadatu					
oial gobada	oyal gobada	oyal gobada					
deskomodidad	descomodidad	deſcomodidad					
asi	asi	aſi					
txertatzailea	chertatzallea	chertatzallea				txertatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txertatzaile
eztitzailea	eztitzallea	eztitzallea				eztitzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eztitzaile
edaentzailea	edaentzallea	edaentzallea					
txertatzea	chertatzea	chertatzea				txertatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txertatze
eztitzea	eztitzea	eztitzea				eztitze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eztitze
edaentzea	edaentzea	edaentzea					
txertatu	chertatu	chertatu	txertatu	txertatu	txertatu	txertatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txertatu
eztitu	eztitu	eztitu	eztitu	eztitu	eztitu	eztitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eztitu
edaen	edaen	edaen					
edaendu	edaendu	edaendu					
txertatua	chertatua	chertatua	txertatu	txertatu	txertatu	txertatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txertatu
eztitua	eztitua	eztitua	eztitu	eztitu	eztitu	eztitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eztitu
edaendua	edaendua	edaendua				edaendu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=edaendu
txertoa	chertoa	chertoa	txerto	txerto	txerto	txerto	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txerto
txuka	chuca	chuca					
txukatu	chucatu	chucatu			txukatu	txukatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txukatu
idortua , &k	idortua , &c	idortua , &c					
gantza	gantza	gantzá	gantz		gantz	gantz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gantz
ieltsatzea	ielsatzea	ielſatzea					
iieltsatzea	iyelsatzea	iyelſatzea					
ieltsotu	ielsotu	ielſotu					
iieltsotu	iyelsotu	iyelſotu					
ieltsotua	ielsotua	ielſotua					
iieltsotua	iyelsotua	iyelſotua					
ardilarruz jantzia	ardilarruz jancia	ardilarruz jancia					
aserrerazo	asserrerazo	aſſerrerazo	aserrerazo				
aserrarazi	asserraraci	aſſerraraci	aserrarazi	aserrarazi			
aserrerazoa	asserrerazoa	aſſerrerazoa	aserrerazo				
sasietan sartu	sasietan sartu	ſaſietan ſartu					
ezkerdotu	ezquerdotu	ezquerdotu					
ezkertitu	ezquertitu	ezquertitu					
puzpila	puzpilla	puzpilla					
putzontzia	putzontzia	putzontzia	putzontzi		putzontzi	putzontzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=putzontzi
urtegeikoa	urtegueicoa	urtegueicoa				urtegeiko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urtegeiko
osteritza	osteritza	oſteritza				osteritz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=osteritz
ostitza	ostitza	oſtitza				ostitz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ostitz
hizbatalda	hizbatalda	hizbatalda					
hitzeraskina	hitzerasquiña	hitzeraſquiña					
orogundeak	orogundeac	orogundeac				orogunde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=orogunde
meliria	meliria	meliriá					
subatuna	subatuna	ſubatuna					
erostotsa	erostotsa	eroſtotſa					
aldiotsa	aldiotsa	aldiotſa					
emarru	emarru	emarrú					
legaditz	legaditz	legaditz					
sendotsa	sendotsa	ſendotſa					
bertzingurua	bercingurua	bercingurua					
eldea	eldea	eldea					
eldeerea	eldeerea	eldeerea					
saleria	saleria	ſaleria					
eldatsua	eldatsua	eldatſua					
sale-	sale-	ſale-					
biurtsurria	biursurria	biurſurria					
biurtsurrikina	biursurriquiña	biurſurriquiña					
intskripzion	inscripcion	inſcripcion					
titulo	titulo	titulo	titulo	titulo			
hitzaburtu	hitzaburtu	hitzaburtu					
hitz ab urtua	hitz ab urtua	hitz ab urtua					
hit	hit	hit					
urra	urra	urrá	urra		ur	ur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ur
azuntza	azuntza	azuntzá					
berrizjoa	berrizjoa	berrizjoa					
agertzea	aguertzea	aguertzea			agertze	agertze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=agertze
spezpikuarena	spezpicuarena	ſpezpicuarena					
ipiztikuarena	ipizticuarena	ipizticuarena					
artzaurrearena	arzaurrearena	arzaurrearena					
pezpikuen zekidora	pezpicuen cequidora	pezpicuen cequidorá					
gutunekoa	gutunecoa	gutunecoa					
gutunbilgoa	gutunbilgoa	gutunbilgoa					
obizdea	obizdea	obizdea				obizde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=obizde
eztaikanta	eztaicanta	eztaicantá					
osantsia	osansia	oſanſia					
sendedaria	sendedaria	ſendedaria					
azitrailora	acitrailora	acitrailora					
txortorria	chortorria	chortorria				txortorri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txortorri
laburtu	laburtu	laburtu	laburtu		laburtu	laburtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=laburtu
hitzaburtu	hitzaburtu	hitzaburtu					
laburtza	laburtza	laburtza					
hitzaburra	hitzaburra	hitzaburrá					
naiztea	naiztea	naiztea					
erastea	erastea	eraſtea				eraste	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eraste
biurtzasena	biurtzasena	biurtzaſená					
