EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
leizea	leicea	leicea	leize	leize	leize	leize	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leize
leiza	leiza	leiza					
ondalezea	ondalecea	ondaleceá					
leizatu	leizatu	leizatu					
leizean ondatu	leicean ondatu	leicean ondatu					
leizatu naiz , zera , da , &k	leizatu naiz , cera , da , &c	leizatu naiz , cera , da , &c					
leizatua	leizatua	leizatua				leizatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leizatu
leizean ondatua	leicean ondatua	leicean ondatua					
beltzuntza	belzuntza	belzuntza	beltzuntza	beltzuntza			
habea	habea	habea	habe		habe	habe	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=habe
eulitzarra	eulitzarra	eulitzarrá	eulitzar	eulitzar		eulitzar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eulitzar
bizkotxatua	bizcochatua	bizcochatua				bizkotxatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bizkotxatu
beraatu	beraatu	beraatú					
bigindu	biguindu	biguindú					
samurtu	samurtu	ſamurtú	samurtu		samurtu	samurtu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=samurtu
ematu	ematu	ematú	ematu		ematu	ematu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ematu
beraatu	beraatu	beraatu					
ablatiboa	ablativoa	ablativoa	ablatibo		ablatibo		
abentador	aventador	aventador					
ukoa	ucoa	ucoa	uko		uko	uko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=uko
bere burua ukatzea	bere burua ucatzea	bere burua ucatzea					
bere burua ukatu	bere burua ucatu	bere burua ucatú					
ozkatu	ozcatu	ozcatu					
ortzaz artu	orzaz artu	orzaz artu					
sutunpazuzendu	sutumpazucendu	ſutumpazucendu					
aurkeratu	aurqueratu	aurqueratu					
aurketu	aurquetu	aurquetu					
aurkatu	aurcatu	aurcatu					
aozbildua	aozbildua	aozbildua					
lanberotu	lamberotu	lamberotu					
sargoritu	sargoritu	ſargoritu	sargoritu	sargoritu	sargoritu	sargoritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sargoritu
lanberotu	lamberotu	lamberotu					
sargoritu	sargoritu	ſargoritu	sargoritu	sargoritu	sargoritu	sargoritu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sargoritu
sargoritua	sargoritua	ſargoritua	sargoritu	sargoritu	sargoritu		
lanberotua	lamberotua	lamberotua				lanberotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lanberotu
sukartua	sucartua	ſucartua			sukartu	sukartu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sukartu
masailean	masallean	maſallean					
belarondoan	belarondoan	belarondoan					
bearriz aldean jo	bearriz aldean jo	bearriz aldean jo					
bufetatu	bufetatu	bufetatu					
bofetada	bofetada	bofetada					
masaileanin	masalleanñ	maſalleanñ					
&k	&c	&c					
joa	joa	joa	jo		jo	jo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jo
bufetatua	bufetatua	bufetatua				bufetatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bufetatu
Letradunakdarabilten beargaia	Letradunacdarabilten beargaya	Letradunacdarabilten beargaya					
artekoa	artecoa	artecoa	arteko		arteko	arteko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=arteko
bitartekoa	bitartecoa	bitartecoa	bitarteko		bitarteko	bitarteko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bitarteko
arartekoa	arartecoa	arartecoa	ararteko		ararteko	ararteko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ararteko
letraduna	letraduna	letraduna	letradun		letradun	letradun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=letradun
auzijarraia	auzijarraya	auzijarraya					
norbaitegatik eskatu	norbaitegatic escatu	norbaitegatic eſcatú					
norbaitekiko artekoizan , egin	norbaitequico artecoizan , eguin	norbaitequico artecoizan , eguin					
nai	nai	nai					
zera	cera	cera	zera		zer	zer	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zer
auzietan inoren fabore hitzegitea	aucietan iñoren favore hitzeguitea	aucietan iñoren favore hitzeguitea					
aitonen etorkia	aitonen etorquia	aitonen etorquia					
aboilatu	abollatu	abollatu					
zakondu	zacondu	zacondu					
zotondu	zotondu	zotondu					
mailatu	mallatu	mallatu	mailatu	mailatu	mailatu	mailatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mailatu
maliatu	maliatu	maliatu					
koskatu	coscatu	coſcatu	koskatu		koskatu	koskatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=koskatu
aboilatua	abollatua	abollatua					
maliatua	maliatua	maliatua				maliatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=maliatu
mailatua	mallatua	mallatua	mailatu	mailatu	mailatu	mailatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mailatu
zakondua	zacondua	zacondua					
zokondua	zocondua	zocondua				zokondu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zokondu
koskatua	coscatua	coſcatua	koskatu		koskatu	koskatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=koskatu
aboilatzailea	abollatzallea	abollatzallea					
zakontzailea	zacontzallea	zacontzallea					
zokontzailea	zocontzallea	zocontzallea					
koskatzailea	coscatzallea	coſcatzallea				koskatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=koskatzaile
maliatzailea	maliatzallea	maliatzallea					
zakona ria	zacona ria	zacona ria					
aboilantza	abollantza	abollantza					
zakona	zacona	zacona					
zokona	zocona	zocona				zokon	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zokon
koska	cosca	coſca	koska		koska	koska	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=koska
aboilatzea	abollatzea	abollatzea					
zakontzea	zacontzea	zacontzea					
zokontzea	zocontzea	zocontzea					
koskatzea	coscatzea	coſcatzea					
maliatzea	maliatzea	maliatzea					
mailatzea	mallatzea	mallatzea					
boltsatua	bolsatua	bolſatua					
boltsakin dagoana	bolsaquin dagoana	bolſaquin dagoana					
na-	na-	na-					
nazkagarriro	nazcagarriro	nazcagarriro					
nagagarriro	nagagarriro	nagagarriro					
