arrandegi,arrandeguia
abiatu,abiatu
abiatu,abiatua
jan,jana
merkatari,mercataria
salerosi,ſaleroſi
tratu,tratuá
merkatalgo,mercatalgoa
janari,janaria
jan,janá
bazkari,bazcaria
kumino,cuminoa
jarraigo,jarraigoa
era,era
egoki,egoquia
gupidetsi,gupidetſi
errukitu,erruquitu
ongi,ongui
elkartze,elcartzea
gupidetsi,gupidetſia
errukitu,erruquitua
aitakide,aitaquidea
konpai,compaya
lagun,laguna
elkargo,elcargoa
gupida,gupida
erruki,erruquia
urriki,urriquia
elkargo,elcargoa
elkargo,elcargoa
premiatu,premiatú
premiatu,premiatua
ordain,ordaiña
ordaindu,ordaindu
ordaindu,ordaindua
egoki,egoqui
batu,batu
pozkida,pozquidá
osagarri,oſagarria
konpontzaile,compontzallea
konpondu,compondu
antolatu,antolatú
konpondu,compondua
antolatu,antolatua
moldatu,moldatu
konpondu,compondu
antolatu,antolatu
moldatu,moldatua
apaindu,apaindu
apaindu,apaindua
adiskidetu,adiſquidetua
apaindu,apaindu
antolamendu,antolamenduá
moldaera,moldaera
antolamendu,antolamendua
egitura,eguitura
apainketa,apainqueta
erosketa,eroſqueta
erosi,eroſi
erosi,eroſia
estu,eſtu
estutu,eſtutu
konporta,comporta
ataska,ataſca
premiatu,premiatua
damutu,damutua
komulgatu,comulgatu
kofadura,cofadura
sortu,ſortú
sortu,ſortuá
sortze,ſortzea
egoki,egoqui
arautu,arautu
arautu,arautua
kontzertatu,concertatua
emakida,emaquida
kontzientzia,conciencia
egiune,eguiunea
bukatu,bucatu
atzendu,atzendu
azkendu,azquendu
akabera,acabera
bukaera,bucaera
kondenagarri,condenagarria
kondenazio,condenacioa
kondenatu,condenatu
kondenatu,condenatua
etorki,etorquia
funts,funtſá
alokairu,alocairua
jaki,jaquia
untxi,unchia
untxi,unchia
uso,uſoac
estandarte,eſtandarte
konfesatu,confeſatu
aitortu,aitortu
autortu,autortu
esate,eſatea
aitortu,aitortua
aitor,aitorrá
aitortegi,aitorteguia
aitortu,aitortua
fidantzia,fidanciaá
konfiantza,confianza
onetsi,onetſia
mugakide,mugaquidea
lotsatu,lotſatu
lotsatu,lotſatua
lotsa,lotſá
ahalke,ahalquea
antsia,antſiá
larri,larriá
antsiatu,antſiatu
larritu,larritu
antsiatu,antſiatua
larritu,larritua
biltzarkide,biltzarquidea
batzarkide,batzarquidea
erabide,erabidea
konjuratu,conjuratu
itsatsi,itſatſia
ezagutu,ezagutu
ezagutu,ezagutua
ezagun,ezaguná
igerri,iguerri
ezagutza,ezagutza
erdietsi,erdietſi
kontseilari,conſellaria
kontseilu,conſellua
ondore,ondore
kontsideratu,conſideratu
kontsideratu,conſideratua
ego,ego
leku,lecua
kontsolatu,conſolatu
kontsolatu,conſolatua
zolda,zolda
pozkida,pozquida
higatu,higatu
desegin,deſeguin
desegin,deſeguiña
higatu,higatu
desegin,deſeguin
gastu,gaſtua
kontakizun,contaquizuna
kontatu,contatua
kontatzaile,contatzallea
kontatu,contatu
kontatu,contatua
egiztatu,eguiztatua
begirune,beguirunea
kide,quidea
kontentatu,contentatu
moldaera,moldaera
liskar,liſcarra
lei,leyá
betiko,beticoa
inguru,ingurua
kontrabando,contrabandoa
ordain,ordaiña
kontradantza,contradanza
kontraesan,contraeſan
ezeztu,ezeztu
ezeztatu,ezeztatu
elbarri,elbarria
kontramaisu,contramaiſua
atzeratu,atzeratu
gibelatu,guibelatu
satai,ſataya
kontrapisu,contrapiſua
etsai,etſaya
arerio,arerioa
salerosi,ſaleroſi
kontrapozoi,contrapozoia
erauzi,erauci
erauzi,eraucia
zuzpertu,zuzpertu
zuzpertu,zuzpertua
aldekide,aldequidea
elkargo,elcargoá
konbeni,conveni
antsia izan,antſia izan
elkargarri,elcargarria
solas,ſolaſa
jolas,jolaſa
konbertitu,convertitu
konbertitu,convertitua
gomitatu,gomitatu
deitu,deitu
kopatu,copatua
ugari,ugaria
lotura,lotura
lokarri,locarria
zorro,zorroa
artelazki,artelazquia
artelazki,artelazquia
kortxo,corchoa
kroka,crocá
artxo,archoa
arkume,arcumea
bildots,bildotſa
kordoi,cordoya
buruzagi,buruzaguia
adarkada,adarcada
adarkatu,adarcatu
ilargi,illarguia
adardun,adarduna
adartu,adartua
adartsu,adartſua
koroatze,coroatzea
koroatu,coroatu
koroatu,coroatua
gain,gaiña
erpin,erpiña
gorpuzdun,gorpuzduna
hede,hedea
lasterkari,laſtercaria
baranda,barandá
korrejidore,corregidorea
zentzatu,cenzatú
zentzatu,cenzatua
kakeri,caqueria
zail,zaillá
zaildu,zaildu
lasterka,laſterca
ibili,ibilli
jario,jario
lotsatu,lotſatu
lotsatu,lotſatua
izkina,izquiña
lasterka,laſterca
ahalketu,ahalquetua
ur,ur
lotsa,lotſa
itsasbide,itſasbidea
ebakitzaile,ebaquitzallea
epaile,epallea
pikatzaile,picatzallea
ebakera,ebaquera
ebaki,ebaqui
pikatu,picatu
trenkatu,trencatu
zatitu,zatitua
berezi,berecia
urduritu,urduritu
laburtasun,laburtaſuna
eskasia,eſcaſiá
begirune,beguirunea
azal,azala
errezel,errecela
soro,ſoró
solo,ſoló
makurrera,macurrera
gubia,gubia
makurtu,macurtua
koskoil,coſcoll
orbel,orbelá
kosko,coſcoa
uzta,uztá
karrera,carrera
kili,quiliá
kilika,quilicá
kilikatu,quilicatu
albo,alboa
aldamen,aldamena
dangada,dangadá
aldapa,aldapa
aldats,aldatſa
kostatu,coſtatu
gostatu,goſtatu
kosta,coſta
lakatz,lacatza
zakar,zacarra
kraka,cracá
jostura,joſtura
jostun,joſtuná
josle,joslea
joskin,joſquiña
tasa,taſſa
prezio,precio
loro,loro
ibili,ibilli
sentikor,ſenticorra
hede,hedea
giltza,guiltzá
gizen,guicená
lodi,lodia
gizentasun,guicentaſuna
loditasun,loditaſuna
aukera,auquera
ilgora,ilgorá
luzatu,luzatua
zain,zaina
sinesbera,ſiñesberaá
sinistu,ſiñiſtu
fededun,fededuna
sinistu,ſiñiſtua
kizkurtu,quizcurtu
izurtu,izurtu
kizkur,quizcurra
zurra,zurra
arroa,arroa
gandor,gandorra
kume,cumea
bazkatu,bazcatua
morroi,morroya
neskame,neſcamea
neskame,neſcamea
mirabe,mirabea
neskato,neſcatoa
sen,ſeña
hoben,hobena
salaketa,ſalaqueta
krokodilo,crocodiloa
gordintasun,gordintaſuna
gordin,gordina
gurutzetu,gurutzetu
gatzatu,gatzatua
mami,mamiá
upel,upela
estalki,eſtalquia
azal,azalá
barrunbe,barrumbea
estali,eſtali
estaldu,eſtaldu
estali,eſtalia
estaldu,eſtaldua
estali,eſtali
burruntzali,burruntzalia
burruntzali,burruntzalia
kuku,cucua
zare,zarea
lepo,lepoa
idun,iduna
kontu,contua
ale,aleac
garau,garauac
arkanbele,arcambelea
lokarri,locarria
baga,bagá
zurra,zurrá
zogi,zoguiá
adar,adarra
alde,aldea
albo,alboa
gorputz,gorputza
bele,beleá
bela,belaá
erroi,erroya
aldapa,aldapa
aldats,aldatſa
ardura,ardurá
arta,artá
antsia,antſia
kontuz,contúz
kontuzko,contuzcoa
ardurati,arduratia
ziur,ciurrá
koitadu,coitadua
ondo,ondoá
atze,atzea
kulata,culata
suge,ſuguea
erru,erruá
pa,pa
erru,errua
errudun,errudun
kulpadun,culpaduna
apaindu,apaindua
lantzaile,lantzallea
landu,landú
landu,landuá
tontor,tontorrá
erpin,erpiña
kopeta,copeta
osagarri,oſagarria
egikaritu,eguicaritu
egoki,egoqui
egin,eguin
bete,beté
egikaritu,eguicaritu
inude,iñudea
koinata,coinatá
sendagarri,ſendagarria
osagarri,oſagarria
politasun,politaſuna
edertasun,edertaſuna
maiztu,maiztu
sarritu,ſarritu
maiztu,maiztua
sarritu,ſarritua
sarritu,ſarritua
maneatu,maneatu
gogortu,gogortua
makurrera,macurrera
begirale,beguiralea
emaitza,emaitza
emaile,emaillea
damasko,damaſcoa
andere,anderea
kaltetu,caltetú
kaltetu,caltetua
aurresku,aurreſcu
txalotu,chalotu
dantzari,dantzaria
dantzatu,dantzatu
kaltetu,caltetu
kaltetu,caltetua
kaltetsu,caltetſua
eman,eman
eman,eman
emon,emon
liskar,liſcarra
lei,leya
liskartu,liſcartu
azpiratu,azpiratu
azpiratu,azpiratua
zor,zorrá
dastatu,daſtatua
erabaki,erabaqui
trenkatu,trencatu
erabaki,erabaquia
trenkatu,trencatua
esale,eſalea
erran,erran
hiztun,hiztuna
azaldu,azaldu
azaldu,azaldua
makurtu,macurtu
erori,erori
aldapa,aldapa
aldats,aldatſa
erabaki,erabaqui
erabaki,erabaquia
buruzagi,buruzaguia
jario,jarioa
artatu,artatua
eskas,eſcas
defentsa,defenſa
lepo,lepo
lepo,lepoá
ebaki,ebaqui
kendu,quendu
lepo,lepo
hiltze,hiltzea
sala,ſalá
salaketa,ſalaqueta
aurre,aurrea
aitzin,aitzina
aurka,aurca
aurreko,aurrecoa
aitzineko,aitzinecoa
salatu,ſalatu
salatzaile,ſalatzallea
salatu,ſalatua
ordetu,ordetú
ordetu,ordetua
limuri,limuria
izkribatu,izcribatu
labainkor,labaincorra
segail,ſegailla
argal,argala
amultsu,amultſua
eskari,eſcaria
otoitz,otoitza
galde,galdea
eske,eſquea
eskari,eſcaria
eskabide,eſcabidea
galde,galde
mandatari,mandataria
eskale,eſcalea
eskatu,eſcatu
otoiztu,otoiztu
marratu,marratu
markatu,marcatu
mugatu,mugatu
mugarritu,mugarritu
marr,marrac
mark,marcac
mug,mugac
marratu,marratua
osterantzeko,oſterantzecoac
beste,beſteac
erdiratu,erdiratu
arrasatu,arraſatu
barraiatu,barraiatu
desegin,deſeguin
lurreratu,lurreratu
arrasatu,arraſatua
barraiatu,barraiatua
lurreratze,lurreratzea
demonio,demonioa
diru,diru
aloger,aloguerá
sari,ſariá
ezezko,ezezcoa
ukatu,ucatu
ezeztu,ezeztu
ukatu,ucatua
ezeztu,ezeztua
denge,denguea
ausart,auſartá
alai,alaya
izendatu,icendatu
izendatu,icendatua
iraindu,iraindu
iraindu,iraindua
loditu,loditu
gatzatu,gatzatú
loditu,loditua
trinkatu,trincatu
trinkatu,trincatua
barrendu,barrendu
barnatu,barnatu
barruratu,barruratu
ausartzia,auſartzia
erru,errua
irain,irainá
berezi,bereci
berezitu,berecitu
pobretu,pobretu
pobretu,pobretua
zeregin,cereguiña
esegi,eſegui
utzi,utzi
utzi,utzia
largatu,largatua
kendu,quendua
gabetu,gabetu
artez,artéz
zuzen,zucena
artez,artezá
margo,margoa
zuzen,zucená
lerden,lerdená
margo,margoá
sari,ſariac
zuzentasun,zucentaſuna
arte,arteá
ugari,ugari
isurle,iſurlea
isuri,iſuri
isuri,iſuria
barlasai,barlaſaya
urtze,urtzea
urtu,urtu
urtu,urtu
urtu,urtua
likatu,licatua
botatu,botatua
amildu,amildu
amildu,amildua
bide,bidea
bide,bidea
desegin,deſeguin
desegin,deſeguiña
erroitz,erroitza
erroiztu,erroiztu
oldartu,oldartu
amildu,amildu
erroiztu,erroiztua
gozakaiztu,gozacaiztu
garraztu,garraztu
gozakaiztu,gozacaiztua
gozakaitz,gozacaitza
desohore,deſohorea
desohoratu,deſohoratu
desohoratu,deſohoratua
ateratu,ateratu
itsusitu,itſuſitu
jaso,jaſó
goratu,goratu
desitsatsi,deſitſatſi
zorigaiztoko,zorigaiztocoa
gozakaitz,gozacaitza
etsi,etſi
etsitu,etſitu
etsimendu,etſimendua
deslotu,deslotu
itsu,itſuá
deslotu,deslotu
askatu,aſcatu
desamodio,deſamodioa
amodio,amodio
gozakaitz,gozacaitza
gozakaitz,gozacaitza
desagertu,deſaguertu
gorde,gorde
kanporatu,camporatu
itsustasun,itſuſtaſuna
itsusi,itſuſia
desarmatu,deſarmatu
deserrotu,deſerrotu
desitsatsi,deſitſatſi
zorigaitz,zorigaitza
askatu,aſcatu
deslotu,deslotu
lasai,laſaya
zoratu,zoratu
zorakeria,zoraqueria
askaldu,aſcaldu
askari,aſcaria
gosari,goſaria
leundu,leundú
kaltetu,caltetu
kalte,caltea
etzauntza,etzauntza
deskantsatu,deſcanſatu
atseden,atſeden
deskantsatu,deſcanſatua
atseden,atſedena
deskantsu,deſcanſua
pausu,pauſua
akastu,acaſtu
akastu,acaſtua
atera,atera
mutildu,mutildu
ile,ille
deskarga,deſcargá
deskargatu,deſcargatu
deskargatu,deſcargatua
deskargu,deſcargua
ortzi,orciá
errebelatu,errebelatu
errebelatu,errebelatu
errebelatu,errebelatua
puskatu,puſcatu
etorki,etorquia
jautsi,jautſi
etorri,etorri
ondoko,ondocoa
jauskera,jauſquera
ateratu,ateratu
zepa,cepa
banatu,banatu
desegin,deſeguin
lepo,lepoa
desestali,deſeſtali
agertu,aguertu
desestali,deſeſtalia
egosi,egoſi
destolestu,deſtoleſtu
zabaldu,zabaldu
ubeldu,ubeldu
ubel,ubelá
ubeldu,ubeldua
desegoki,deſegoquia
kakeri,caqueria
gabetu,gabetua
deskontatu,deſcontatu
urratu,urratu
deskortesia,deſcorteſia
txikitu,chiquitu
salatzaile,ſalatzallea
desestali,deſeſtali
agertu,aguertu
iragarri,iragarri
salatu,ſalatu
desestali,deſeſtalia
agertu,aguertua
zerupe,cerupea
deskontu,deſcontua
deskuidatu,deſcuidatu
deslaitu,deslaitu
deslaitu,deslaitua
deslai,deslaya
ustekabe,uſtecabea
antsikabe,anſicabea
gezurtatu,guezurtatu
egoki,egoqui
atsekabe,atſecabea
destolestu,deſtoleſtu
destolestu,deſtoleſtua
itsustu,itſuſtu
laido,laidoa
opari,oparia
opatu,opatu
deseatu,deſeatu
opatu,opatua
deseatu,deſeatua
idortu,idortu
kondar,condarra
ilki,ilqui
basta,baſta
lasaitu,laſaitu
gaizki,gaizqui
gutizia,guticia
desira,deſira
desegin,deſeguiña
etsi,etſia
etsimendu,etſimendua
etsi,etſi
etsi,etſi
etsitu,etſitu
desloratu,desloratu
kanporatu,camporatu
indargetu,indarguetu
erauntsi,eraunſi
amildu,amildu
botatu,botatu
galdu,galdu
urratu,urratua
desgobernu,deſgobernua
gor,gorra
desgrazia,deſgracia
ondiko,ondicoa
irakurri,iracurri
desegin,deſeguin
desegin,deſeguiña
ekaitz,ecaitza
burl,burlac
desizoztu,deſizoztu
andrezale,andrezalea
desordu,deſordua
nagi,naguia
nagitasun,naguitaſuna
nagi,naguia
alper,alperra
basa,basá
mortu,mortuá
eremu,eremuá
eremutar,eremutarra
margotu,margotu
desberdindu,desberdindu
baratu,baratu
desleial,desleyala
desleialtasun,desleyaltaſuna
urtze,urtzea
urtu,urtu
deslotu,deslotu
deslotu,deslotu
mugatu,mugatu
mugarritu,mugarritu
limuri,limuria
irrista,irriſta
labainkor,labaincorra
labaindu,labaindu
linburtu,limburtu
lerratu,lerratu
irristatu,irriſtatu
lilura,lillura
erori,eroria
baldan,baldana
baldankeria,baldanqueria
desegin,deſeguin
desantolatu,deſantolatu
lurreratu,lurreratu
moldakaitz,moldacaitza
deslaitu,deslaitu
gutxitu,guchitu
gezurtatu,guezurtatu
ze,cea
marruskatu,marruſcatu
papurtu,papurtu
argal,argala
moztu,moztu
moztu,moztu
erorkor,erorcorra
ilaun,illaunac
biluzi,biluci
biluz,biluza
larru,larru
desobeditu,deſobeditu
desobedientzia,deſobediencia
kimatu,quimatu
larrutu,larrutu
larrutu,larrutua
nahasi,nahaſi
belarri,belarri
bialdu,bialdu
bidaldu,bidaldu
egorri,egorri
igorri,igorri
saldu,ſaldu
hil,hil
salmenta,ſalmenta
zanpatu,zampatu
geldi,gueldi
barreiatu,barreyatu
banatu,banatu
baketu,baquetu
erori,erori
ikaratu,icaratu
gogaitu,gogaitu
zatitu,zatitu
zatikatu,zaticatu
puskatu,puſcatu
despeditu,deſpeditu
despeditu,deſpeditua
desitsatsi,deſitſatſi
laztasun,laztaſuna
alaitasun,alaitaſuna
desiratu,deſiratu
erroitz,erroitza
amildu,amildu
kakeri,caqueria
labar,lavar
pilatzaile,pillatzallea
pilatu,pillatu
eri,eria
tiragale,tiragaleac
nagi,naguia
ernatu,ernatu
desplazer,deſplacer
berezi,bereci
esnatu,eſnatua
ernatu,ernatua
urratu,urratua
erantzuki,eranzuquia
puskatu,puſcatu
atsekabe,atſecabea
destolestu,deſtoleſtu
zabaldu,zabaldu
erori,erori
mutildu,mutildu
soildu,ſoildu
astindu,aſtindu
akastu,acaſtu
esposatu,eſpoſatu
esposatu,eſpoſatu
esposatu,eſpoſatua
lokabe,locabea
erausi,erauſi
mezprezatu,mezprezatu
urrun,urruña
desitsatsi,deſitſatſi
desitsatsi,deſitſatſi
jalki,jalqui
txorakeria,choraqueria
gero,gueró
geroko,guerocoa
ekarri,ecarri
matrailezur,matrallezurra
laztasun,laztaſuna
garraztasun,garraztaſuna
garraztu,garraztu
geza,guezá
gaza,gazá
lela,lelá
gezatu,guezatu
odolustu,odoluſtu
gezatu,guezatu
desestali,deſeſtali
gozakaitz,gozacaitza
gozakaiztu,gozacaiztu
deserritu,deſerritu
deserritu,deſerritua
titia kendu,titia quendu
desordu,deſordua
deserri,deſerria
erbeste,erbeſtea
atzerri,atzerria
gabetu,gabetu
papurtu,papurtu
apurtu,apurtu
itsumutil,itſumutila
ebaki,ebaqui
galtzapen,galtzapena
arrasatu,arraſatu
arrasatu,arraſatua
bakandu,bacandu
berezi,bereci
erori,eroria
ganbara,gambará
zorabiatu,zorabiatu
eldarnio,eldarnioa
baratze,baratzea
gelditu,guelditu
geratu,gueratu
baratu,baratu
gelditu,guelditu
gelditu,guelditua
geldi,gueldia
astitsu,aſtitſua
geldi,gueldi
ausartzia,auſartzia
ausarki,auſarqui
ausart,auſartá
nardagarri,nardagarria
gaitzesgarri,gaitzeſgarria
gaitzetsi,gaitzetſi
gorrotatu,gorrotatu
alamen,alamena
kalte,caltea
gaitz,gaitza
zordun,zorduna
delirio,delirio
jaiera,jaiera
debozio,devocioa
utzi,utzi
deabru,deabrua
deabrukeria,deabruqueria
deabrudun,deabruduna
diakono,diaconoa
dialektika,dialectica
dialektiko,dialecticoa
hizketatu,hizquetatu
hizketa,hizqueta
diamante,diamantea
kakeri,caqueria
hitz,hitza
hiztegi,hizteguia
esan,eſaná
erran,errana
esames,eſameſac
esan,eſan
zorioneko,zorionecoa
abendu,abendua
uste,uſtea
iritzi,iritzia
esamesa,eſameſa
gaitz,gaitza
nekez,nequeza
nekez,nequez
neke,nequea
gaitz,gaitza
nekez,nequeza
banatu,banatu
defuntu,defuntua
txegosi,chegoſia
zabaltza,zabaltza
bizitasun,vicitaſuna
arintasun,arintaſuna
zeregin,cereguiña
laster,laſterra
argitu,arguitu
jatorri,jatorri
neurri,neurria
diru,dirua
barruti,barrutia
zuzen,zucen
artez,artez
zuzendari,zucendaria
zuzendu,zucendu
desegin,deſeguin
erausi,erauſi
azote,azote
ikasle,icasleac
nabar,navarrá
zuhurtzia,zuhurtzia
diferentzia,diferencia
zogi,zoguia
zurra,zurrá
zuhur,zuhurra
aitzakia,aitzaquia
solas,ſolaſá
jolas,jolaſa
moldakaitz,moldacaitza
ira,ira
mendratu,mendratu
gutitu,gutitu
zorakeria,zoraqueria
banatze,banatzea
barreiatu,barreyatua
banatu,banatua
manera,manera
prestatu,preſtatu
maneatu,maneatu
prestatu,preſtatu
prestatu,preſtatua
eskatima,eſcatima
iharduki,iharduqui
epaile,epaillea
desenkusa,deſencuſa
desenkusatu,deſencuſatu
desenkusatu,deſencuſatua
mugatu,mugatu
mugarritu,mugarritu
ikusi,icuſi
barruti,barrutia
mugape,mugapea
aspaldiko,aſpaldicoa
ostatu,oſtatua
jostatu,joſtatu
dostatu,doſtatu
gozatu,gozatu
egurastu,eguraſtu
jostatu,joſtatu
berezi,bereci
berezitu,berecitua
berezi,berecia
uzkur,uzcurá
tolestatu,toleſtatu
jakin,jaquiña
jakintsu,jaquintſua
irakasle,iracaslea
jakinbide,jaquinbidea
mina,miña
erialdi,erialdia
damutu,damutu
damu izan,damu izan
erruki,erruqui
eri,eri
mina,miña
estira,eſtirá
dolore,dolorea
mingarri,mingarria
ematu,ematu
etxeko,echecoa
sehi,ſehia
otzan,otzana
menpetu,mempetu
igande,igandea
domeka,domecá
jabari,jabaria
menpe,mempea
dontzeila,doncella
dontzeila,doncella
logale,logaleac
logur,logurac
loti,lotia
lozorro,lozorroa
lo,lo
loakartu,loacartu
logaletu,logaletu
loti,lotia
logaletu,logaletu
barruti,barrutia
dukat,ducata
duda,dudá
dudagarri,dudagarria
dudatu,dudatu
dudatsu,dudatſua
sentikor,ſenticorra
nagusi,naguſia
gozo,gozoá
ezti,eztia
gozo,gozoac
ezti,eztia
gozotasun,gozotaſuna
eztitasun,eztitaſuna
eztitu,eztitu
iraunkor,irauncorra
gogortasun,gogortaſuna
laztasun,laztaſuna
gogortasun,gogortaſuna
laztasun,laztaſuna
gizatxar,guizacharra
salgarri,ſalgarria
etzan,etzan
egloga,egloga
andeza,andeza
egile,eguillea
ondasun,ondaſunac
eragile,eraguillea
egite,eguitea
egile,eguillea
aukera,auquera
irakurgarri,iracurgarria
edertasun,edertaſuna
eder,ederra
irakurgarri,iracurgarria
irakurri,iracurri
goi,goyá
goratu,goratu
goititu,goititu
altxatu,alchatu
indargetu,indarguetu
alabatu,alabatu
laudatu,laudatu
alabatu,alabatua
jatorri,jatorria
etorki,etorquia
likistu,liquiſtua
bairatu,bairatua
lotur,loturac
aintzira,aintzira
zingira,cinguira
debekatu,debecatu
trabatu,trabatu
debeku,debecua
ekai,ecaya
ontzi,oncia
ontziratu,onciratu
ontziratu,onciratua
enpatxu,empachua
gezurti,guezurtia
bairatu,bairatu
enganatu,engañatu
gezur,guezurra
zitaldu,citaldu
ederragotu,ederragotu
eraso,eraſó
bulkada,bulcada
bultzada,bultzada
berritu,berritu
sarrera,ſarrera
ilaundu,illaundu
puztu,puztu
buiatu,buyatu
kubierta,cubierta
bridatu,bridatu
prestatu,preſtatu
kataplasma,cataplaſma
aberetu,aberetu
aberetu,aberetua
paratu,paratu
gezurti,guezurtia
egun,egun
nabartu,navartua
bete,beté
arteztu,arteztu
emendio,emendioa
partida,partida
gain,gaiña
gain,gaina
garai,garaya
gain,gaiña
zurtz,zurtza
argaldu,argaldu
gaizkitu,gaizquitu
eritu,eritu
nahasi,nahaſi
eztitu,eztitu
lizundu,lizundu
mututu,mututu
mututu,mututu
gozagarri,gozagarria
lotu,lotu
lotsatu,lotſatu
enpatxu,empachua
enpatxu,empachua
lotsa,lotſa
lotsati,lotſatia
gogoan jo,gogoan jo
aspertu,aſpertu
gogoan jo,gogoan joa
lokartu,locartu
lokaztu,locaztu
lokaztu,locaztu
unatu,unatu
berdindu,berdindu
bultzatu,bultzatu
baratu,baratu
geratu,gueratu
kaltetu,caltetu
kalte egin,calte eguin
kaltegarri,caltegarria
bultzada,bulzada
arteko,artecoac
bitarteko,bitartecoac
gaizkiagotu,gaizquiagotu
txikitu,chiquitu
luzatu,luzatu
apaindu,apaindu
nagitu,naguitu
amorratu,amorratua
jaso,jaſó
jaso,jaſo
jaso,jaſoa
goratu,goratua
jardun,jardun
pobretu,pobretua
usteldu,uſteldu
usteldu,uſteldua
pozoitu,pozoitua
bultzada,bultzada
bulkada,bulcada
bultzatu,bultzatu
bulkatu,bulcatu
bultzada,bultzada
euskarri,euſcarria
lei,leya
ihakin,ihaquina
atorra,atorra
ureztatu,ureztatu
besterendu,beſterendu
besterendu,beſterendua
jaso,jaſó
altzatu,altzatu
goratu,goratu
jaso,jaſoa
irazeki,iracequi
gartu,gartu
sutu,ſutu
irazeki,iracequia
kateatu,cateatu
kateatu,cateatua
kareztatu,careztatu
kareztatu,careztatua
ontzi,ontzia
itogarri,itogarria
bideratu,bideratu
bideratu,bideratu
bideratu,bideratua
saskiratu,ſaſquiratu
saskiratu,ſaſquiratua
urdindu,urdindua
argaldu,argaldua
sorgindu,ſorguindu
sorginkeria,ſorguinqueria
goibeldu,goibeldu
jaso,jaſó
altxatu,alchatu
goratu,goratu
jaso,jaſoá
aurkeztu,aurqueztu
aurkeztu,aurqueztua
mozorrotu,mozorrotua
garestitu,gareſtitu
goratu,goratu
garestitu,gareſtitua
garesti,gareſtia
artatu,artatu
artatu,artatua
ederretsi,ederretſi
oniritzi,oniritzi
ederretsi,ederretſia
oniritzi,oniritzia
egin,eguin
gizendu,guicendu
loditu,loditu
odoleztatu,odoleztatuac
zuzendu,zucendu
arteztu,arteztu
sartu,ſartu
nahasi,nahaſi
paratu,paratu
zumitz,zumitza
irazeki,iracequi
sutu,ſutu
irazeki,iracequia
dastatu,daſtatu
sustraitu,ſuſtraitu
errotu,errotu
itxi,ichi
itxi,ichia
ase,aſé
oi,oyac
arte,artea
gomendatu,gomendatu
arkitu,arquitu
idoro,idoro
kausitu,cauſitu
kontratu,contratu
bildu,bildu
adartu,adartu
makurtu,macurtu
kopatu,copatu
makurtu,macurtua
kostaratu,coſtaratu
baztertu,baztertu
zakartu,zacartu
loditu,loditu
gizendu,guicendu
kizkurtu,quizcurtua
sartu,ſartu
gorde,gordea
estaltzaile,eſtaltzallea
estali,eſtali
estaldu,eſtaldu
estali,eſtalia
estaldu,eſtaldua
segail,ſegallá
single,ſinglea
adi,adiac
adiakatu,adiacatu
erostatu,eroſtatu
deabrutu,deabrutu
deabrutu,deabrutua
josi,joſia
ageri,agueri
zuzen,zucen
artez,artez
zuzentzaile,zucentzallea
zuzendu,zucendu
arteztu,arteztu
eztitu,eztitu
zurra,zurra
zurkaitz,zurcaitza
zikoitz,cicoitza
zeken,cequena
gogortu,gogortu
gogor egin,gogor eguin
gogortu,gogortua
ipuru,ipurua
etsai,etſaya
arerio,arerioa
etsaigo,etſaigoa
etsaitasun,etſaitaſuna
areriotasun,areriotaſuna
etsaitu,etſaitu
areriotu,areriotu
etsaitu,etſaitu
areriotu,areriotu
beltzuritu,beltzuritu
beltzuritu,beltzuritua
beltzuri,beltzuria
magal,magalac
jaso,jaſó
magal,magalac
eritu,eritu
gaizkitu,gaizquitu
eri,eria
eritasun,eritaſuna
eritegi,eriteguia
erizain,erizaina
erikor,ericorra
eri,eria
gaizkitu,gaizquitua
alaitu,alaitu
alaitu,alaitua
ahuldu,ahuldu
argaldu,argaldua
loreztatu,loreztatu
apaindu,apaindu
iskanbila,iſcambilla
bridatu,bridatu
azaldu,azaldu
sumindu,ſumindu
sumindu,ſumindua
trinkatu,trincatu
trinkatu,trincatua
edertu,edertu
apaindu,apaindu
enganatu,engañatu
enganatu,enganatu
atzipetu,atzipetu
bairatu,bairatu
itsasi,itſaſi
iretsi,iretſia
zaletu,zaletu
zaletu,zaletu
ederretsi,ederretſi
zaletu,zaletua
ederretsi,ederretſia
gizendu,guicendu
loditu,loditu
gizendu,guicendua
gizendu,guicendu
oilartu,ollartua
gosetu,goſetu
bete,beté
nazkatu,nazcatu
nazkatu,nazcatua
zorion,zoriona
laberatu,laberatu
laberatu,laberatua
txoratu,choratu
itsasgarri,itſaſgarria
zoratu,zoratu
txoratu,choratu
erotu,erotu
zoratu,zoratu
zoratu,zoratua
suminkor,ſumincorra
sumindu,ſumindu
bekaizti,becaiztia
opatu,opatua
estali,eſtali
sare,ſareac
sare,ſarea
aberastu,aberaſtu
zuzendu,zucendu
jaso,jaſoa
zuzendu,zucendua
kizkur,quizcurra
kizkurtu,quizcurtu
kizkurtu,quizcurtua
marrantatu,marrantatu
erlastu,erlaſtu
erlastu,erlaſtua
marranta,marrantá
goritu,goritua
entsalada,enſalada
sendatu,ſendatu
zabaltzaile,zabaltzallea
zabaldu,zabaldu
zabaldu,zabaldua
odoldu,odoldu
sartu,ſartu
saiatu,ſayatu
saiatu,ſayatua
estandarte,eſtandarte
bildu,bildu
zopatu,zopatu
gortu,gortu
gortu,gortu
gortu,gortua
