arrandegi,arrandeguia
zelaitu,celaitú
lautu,lautuá
berdindu,berdindua
zelaitu,celaitua
meneratu,meneratu
batu,batú
bildu,bildú
batu,batua
bildu,bildua
biribilatu,biribillatua
biltzaile,biltzállea
biltze,biltzea
jarrai,jarrayac
beste,beſte
arima,arima
meatze,meatzea
lugorri,lugorria
azoka,azocá
gorde,gordé
bildu,bildu
bildu,bildua
txirl,chirlac
men,mena
almendra,almendra
burdina,burdina
urazukre,urazucrea
estali,eſtali
bete,beté
almirante,almirantea
buru,burua
buruzagi,buruzaguia
jorrai,jorraya
olio,olio
gazta,gaztá
buruko,burucoa
garbitu,garbitu
garbitu,garbitua
gosaldu,goſaldu
gosari,goſaria
ekintza,equinza
lakari,lacaria
etzauntza,etzauntza
egoitza,egoitzá
ostatu,oſtatua
etzauntza,etzauntza
ego,egoa
urrundu,vrrundu
urrutiratu,urrutiratú
ezkabia,ezcabia
ardo,ardó
abeze,abeceá
baserri,baſerria
etxalde,echaldea
borda,bordá
marro,marroa
alokatu,alocatua
alokatzaile,alocatzallea
aloger,aloguera
alokairu,alocairua
brea,breá
busti,buſti
busti,buſtia
aldare,aldarea
aldakor,aldacorra
lei,leyá
aldizkatu,aldizcatua
goi,goia
garaitza,garaitza
goi,goiá
goratu,goratua
goititu,goititua
erdietsi,erdietſi
gora,gorá
mintzatu,minzatu
adierazi,adieraci
argitzaile,arguitzallea
argitu,arguitu
argitu,arguitua
eman,emaná
amianto,amianto
asbesto,aſbeſto
ikasle,icáslea
galdu,galdua
adiera,adiera
ilar,illarra
ilar,ilarra
erakusgarri,eracuſgarria
altzatu,altzatu
altxatu,alchatu
maitagarri,maitagarria
maitatzaile,maitatzallea
ematu,ematu
keinatu,queinatu
keinatu,queinatuá
irri,irria
trebatu,trebatu
saiatu,ſayatu
onetsi,onetſi
oniritzi,oniritzi
maitatu,maitatu
maite izan,maite izan
onetsi,onetſia
oniritzi,oniritzia
maite,maitea
maitatu,maitatua
girlanda,guirlandá
mindu,mindu
samindu,ſamindu
mindu,mindú
samindu,ſamindu
karmindu,carmindu
mindu,minduá
samindu,ſaminduá
samintasun,ſamintaſuna
samindura,ſamindura
karmindura,carmindura
karmintasun,carmintaſuna
oritu,oritu
ubeldu,ubeldu
amarratu,amarratua
lotu,lotuá
amarr,amarrac
bag,bagac
damutu,damutua
maite,maitea
oratu,oratú
oratu,oratuá
oratzaile,oratzallea
inguru,inguruac
irrits,irritsá
bitar,bitará
inguru,inguruá
barruti,barrutia
ikaratu,icaratú
beldurtu,beldurtú
izutu,izutú
ikaratu,icaratua
beldurtu,beldurtua
izutu,izutuá
keinatu,queinatú
keinatu,queinatua
adiskide,adiſquidea
adiskidetu,adiſquidetú
ikaratu,icaratu
izutu,izutu
ikaratu,icaratua
adiskidetasun,adiſquidetaſuna
adiskidetu,adiſquidetu
adiskidetu,adiſquidetua
loakartu,loacartua
muzindu,mucindu
sumindu,ſumindú
muzindu,mucindua
sumindu,ſumindua
mugarritu,mugarritu
mugatu,mugatu
marratu,marratu
mug,mugac
mugatu,mugatua
zorroztu,zorroztú
zorroztu,zorroztua
molde,moldea
moldatu,moldatua
gisatu,guiſatua
konpondu,compondua
lodi,lodi
adierazi,adieraci
gaztigatu,gaztigatua
adierazi,adieracia
gaztigu,gaztigua
mezu,mezuá
dei,déiac
mendiratu,mendiratú
mendiratu,mendiratua
pilatu,pillatua
metatu,metatua
murru,murrua
pilatzaile,pillatzalle
metatzaile,metatzallea
eritu,eritu
maitati,maitatia
zapuztu,zapuztua
hildura,hildurá
anparatu,amparatua
begiratu,beguiratua
begirale,beguiralea
esan,eſaná
zabaldu,zabaldu
luzatu,luzatu
zabaltasun,zabaltaſun
zabaldu,zabalduá
luze,lucea
luzatu,luzatua
anpulu,ampulua
te,tea
donge,donguea
albo,albóac
ate,atea
ibili,ibilli
apal,apalá
zabaltza,zabaltza
antzinako,anciñacoa
adintsu,adintſuá
aguretu,aguretú
aingura,aingura
ainguratu,ainguratu
ainguratu,ainguratua
arin,ariña
bizi,bicia
andana,andaná
ibilketa,ibilqueta
erabili,erabilli
andere,anderea
tontotu,tontotú
urpetu,urpetu
urperatu,urperatu
urpetu,urpétua
angaril,angarillac
belar,belarra
aingerutar,ainguerutarra
estutu,eſtutu
estutu,eſtutua
estu,eſtua
estura,eſturá
estutasun,eſtutaſúna
aingira,ainguirá
antsia,antſiá
estira,eſtirá
antsiatu,antſiatua
tiratu,tiratua
animalia,animaliá
abere,aberea
urtar,urtarra
datu,datua
indartsu,indartſua
ezereztu,ecereztú
ezereztatu,ecereztatu
ezdeustu,ezdeuſtu
ezereztu,ecereztu
ezereztu,ecereztua
ezereztatu,ecereztatua
anis,aniſá
erantsi,eranſi
erantsi,eranſia
urteurren,urteurrena
gautu,gautu
arrastu,arraſtú
ilundu,illundú
gautu,gautua
arrastu,arraſtua
ilundu,illundua
noria,noria
euki,euqui
etsai,etſaya
arerio,arerioa
atso,atſoá
arerio,arerioa
bildu,bildú
bildu,bilduá
aurre,aurre
antzinako,anciñacoac
aurreratu,aurreratua
aitzindu,aitzindua
ataurre,atáurrea
aurreko,áurrecoa
banderadun,banderaduna
aurreratu,aurreratu
aitzinatu,aitzinatu
aitzindu,aitzindu
aurreratu,aurreratu
aurreratu,aurreratua
aitzinatu,aitzinatua
