item	izenburua	egile_izena	bertsioa	testu_orria	kodea
Q2163	Ipuinak	Agustin Iturriaga	Q2162	https://monumenta.wikibase.cloud/wiki/Testua:IturriagaIpuinak/TEI	IturriagaIpuinak
Q2151	Koplak	Beñat Mardo	Q2150	https://monumenta.wikibase.cloud/wiki/Testua:MardoKoplak/TEI	MardoKoplak
Q2155	Koplak	Jean-Baptiste Elizanburu	Q2154	https://monumenta.wikibase.cloud/wiki/Testua:ElizanburuJBKoplak/TEI	ElizanburuJBKoplak
Q2159	Koplak	Piarres Ibarrart	Q2158	https://monumenta.wikibase.cloud/wiki/Testua:IbarrartKoplak/TEI	IbarrartKoplak
Q2165	Koplak	Joanes Otxalde	Q2164	https://monumenta.wikibase.cloud/wiki/Testua:OtxaldeKoplak/TEI	OtxaldeKoplak
Q2099	Uztaro	Tomas Agirre	Q2098	https://monumenta.wikibase.cloud/wiki/Testua:BarrensoroUztaro/TEI	BarrensoroUztaro
Q2113	Debozino eskuarra	Joannes Haranburu	Q2112	https://monumenta.wikibase.cloud/wiki/Testua:HaranburuDebozino/TEI	HaranburuDebozino
Q2121	Ipui onak	Bizenta Mogel	Q2120	https://monumenta.wikibase.cloud/wiki/Testua:MogelBIpuionak/TEI	MogelBIpuionak
Q2131	Euskal lanak	Arturo Kanpion	Q2130	https://monumenta.wikibase.cloud/wiki/Testua:Kanpion/TEI	Kanpion
Q2179	Koplak	Jean-Baptiste Larralde	Q2178	https://monumenta.wikibase.cloud/wiki/Testua:LarraldeJBKoplak/TEI	LarraldeJBKoplak
Q2169	Jesu-Kristoren imitazionea	Michel Churio	Q2168	https://monumenta.wikibase.cloud/wiki/Testua:XurioImitazionea/TEI	XurioImitazionea
Q2135	Noelak	Joanes Etxeberri (Ziburukoa)	Q2134	https://monumenta.wikibase.cloud/wiki/Testua:EtxebZibuNoelak/TEI	EtxebZibuNoelak
Q2125	Eguren Jaunaren Metodoa	Klaudio Otaegi	Q2124	https://monumenta.wikibase.cloud/wiki/Testua:OtaegiKEguren/TEI	OtaegiKEguren
Q2175	Beste zenbat itzulpen	Klaudio Otaegi	Q2174	https://monumenta.wikibase.cloud/wiki/Testua:OtaegiKItzulpenak/TEI	OtaegiKItzulpenak
Q2093	Aurrendako dostatzia	Federiko Garralda	Q2092	https://monumenta.wikibase.cloud/wiki/Testua:GarraldaDostatzia/TEI	GarraldaDostatzia
Q2177	Bertsoak	Jean-Baptiste Kamusarri	Q2176	https://monumenta.wikibase.cloud/wiki/Testua:Kamusarri/TEI	Kamusarri
Q2167	Laborarien abisua	Jean Pierre Xabalgoiti	Q2166	https://monumenta.wikibase.cloud/wiki/Testua:XabalgoitiLaborarien/TEI	XabalgoitiLaborarien
Q2123	Gipuzkoako probintziaren kondaira	Juan Ignazio Iztueta	Q2122	https://monumenta.wikibase.cloud/wiki/Testua:IztuetaGipuzkoa/TEI	IztuetaGipuzkoa
Q2171	Olerkiak	Juan Ignazio Iztueta	Q2170	https://monumenta.wikibase.cloud/wiki/Testua:IztuetaOlerkiak/TEI	IztuetaOlerkiak
Q2101	Peru Abarka	Joan Antonio Mogel	Q2100	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAAbarka/TEI	MogelJAAbarka
Q2137	Testamen berriko historioa	Bernard Larregi	Q2136	https://monumenta.wikibase.cloud/wiki/Testua:LarregiBerriko/TEI	LarregiBerriko
Q2127	Txindor	Emeterio Arrese	Q2126	https://monumenta.wikibase.cloud/wiki/Testua:ArreseETxindor/TEI	ArreseETxindor
Q2141	Beste zenbat itzulpen	Jean Duvoisin	Q2140	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinItzulpenak/TEI	DuvoisinItzulpenak
Q2117	Marijaren illa	Jose Antonio Uriarte	Q2116	https://monumenta.wikibase.cloud/wiki/Testua:UriarteIlla/TEI	UriarteIlla
Q2145	Beste zenbat itzulpen	Jose Antonio Uriarte	Q2144	https://monumenta.wikibase.cloud/wiki/Testua:UriarteItzulpenak/TEI	UriarteItzulpenak
Q2095	Igande eta festegunetarako irakurraldiak	Sebastian Mendiburu	Q2094	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuIgande/TEI	MendiburuIgande
Q2103	Jesusen amore-nekeei dagozten zenbait otoitzgai (I)	Sebastian Mendiburu	Q2102	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuOtoitzI/TEI	MendiburuOtoitzI
Q2119	Ixtorio eta ipuinak	Jean Elizalde	Q2118	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariIxtorio/TEI	ZerbitzariIxtorio
Q2133	Kalendrera	Joanes Leizarraga	Q2132	https://monumenta.wikibase.cloud/wiki/Testua:LeizarragaKalen/TEI	LeizarragaKalen
Q2147	Olerkiak	Nikolas Ormaetxea	Q2146	https://monumenta.wikibase.cloud/wiki/Testua:OrixeOlerkiak/TEI	OrixeOlerkiak
Q2173	Kristauaren doktrina	Agustin Kardaberaz	Q2172	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazDoktrina/TEI	KardaberazDoktrina
Q2143	Olerkiak	Juan Arana	Q2142	https://monumenta.wikibase.cloud/wiki/Testua:LoramendiOlerkiak/TEI	LoramendiOlerkiak
Q2115	Ixtorio-mixterio	Jean Barbier	Q2114	https://monumenta.wikibase.cloud/wiki/Testua:BarbierMixterio/TEI	BarbierMixterio
Q2129	Jesu Kristoren eta Ama Birjinaren bizitzak	Joakin Lizarraga	Q2128	https://monumenta.wikibase.cloud/wiki/Testua:LizarragaKristoBirjina/TEI	LizarragaKristoBirjina
Q2153	Koplak	Joakin Lizarraga	Q2152	https://monumenta.wikibase.cloud/wiki/Testua:LizarragaKoplak/TEI	LizarragaKoplak
Q2157	Sermoiak	Joakin Lizarraga	Q2156	https://monumenta.wikibase.cloud/wiki/Testua:LizarragaSermoiak/TEI	LizarragaSermoiak
Q2161	Beste zenbait itzulpen	Joakin Lizarraga	Q2160	https://monumenta.wikibase.cloud/wiki/Testua:LizarragaItzulpenak/TEI	LizarragaItzulpenak
Q2149	Bertsoak	Udarregi	Q2148	https://monumenta.wikibase.cloud/wiki/Testua:Udarregi/TEI	Udarregi
Q1535	Batxi Guzur	Resurreccion Maria Azkue	Q1534	https://monumenta.wikibase.cloud/wiki/Testua:AzkueRGuzur/TEI	AzkueRGuzur
Q1545	Ortzuri	Resurreccion Maria Azkue	Q1544	https://monumenta.wikibase.cloud/wiki/Testua:AzkueROrtzuri/TEI	AzkueROrtzuri
Q1475	O.ten gaztaroa neurtitzetan	Arnaut Oihenart	Q1474	https://monumenta.wikibase.cloud/wiki/Testua:OihenartNeurtitzak/TEI	OihenartNeurtitzak
Q1543	Jesu Kristoren lau ebanjelioak batera alkarturik	Pedro Antonio Añibarro	Q1542	https://monumenta.wikibase.cloud/wiki/Testua:AnibarroAlkarturik/TEI	AnibarroAlkarturik
Q1647	Esku-liburua	Pedro Antonio Añibarro	Q1646	https://monumenta.wikibase.cloud/wiki/Testua:AnibarroEskuliburua/TEI	AnibarroEskuliburua
Q1489	Gipuzkoako dantza gogoangarrien kondaira	Juan Ignazio Iztueta	Q1488	https://monumenta.wikibase.cloud/wiki/Testua:IztuetaDantza/TEI	IztuetaDantza
Q1467	Konfesino ona	Joan Antonio Mogel	Q1466	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAKonfesino/TEI	MogelJAKonfesino
Q1503	Kristaubaren ikasbidea	Joan Antonio Mogel	Q1502	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAIkasbidea/TEI	MogelJAIkasbidea
Q1643	Ipuinak	Joan Antonio Mogel	Q1642	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAIpuinak/TEI	MogelJAIpuinak
Q1659	Kristau Erakasle Euskalduna	Joan Antonio Mogel	Q1658	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAErakasle/TEI	MogelJAErakasle
Q1593	Azti-begia eta beste izkribu zenbait	Agosti Xaho	Q1592	https://monumenta.wikibase.cloud/wiki/Testua:XahoAzti/TEI	XahoAzti
Q1591	Yolanda	Pierre Lhande	Q1590	https://monumenta.wikibase.cloud/wiki/Testua:LhandeYolanda/TEI	LhandeYolanda
Q1491	Olerkijak	Sabino Arana Goiri	Q1490	https://monumenta.wikibase.cloud/wiki/Testua:AranaSOlerkijak/TEI	AranaSOlerkijak
Q1623	Euskal ipuinak	Wentworth Webster	Q1622	https://monumenta.wikibase.cloud/wiki/Testua:Webster/TEI	Webster
Q1465	Eun dukat	Manuel Lekuona	Q1464	https://monumenta.wikibase.cloud/wiki/Testua:LekuonaMDukat/TEI	LekuonaMDukat
Q1469	Bertso jarri guztiak	Jose Manuel Lujanbio	Q1468	https://monumenta.wikibase.cloud/wiki/Testua:Txirrita/TEI	Txirrita
Q1471	Matxin mungiarra	Pillipa Zugatzaga	Q1470	https://monumenta.wikibase.cloud/wiki/Testua:ZutagapeMatxin/TEI	ZutagapeMatxin
Q1473	Arima penitentearen okupazione debotak	Joan Tartas	Q1472	https://monumenta.wikibase.cloud/wiki/Testua:TartasArima/TEI	TartasArima
Q1539	Onsa hilzeko bidia	Joan Tartas	Q1538	https://monumenta.wikibase.cloud/wiki/Testua:TartasOnsa/TEI	TartasOnsa
Q1553	Hunkailü berrien enthelegia Ziberuko laborarier	Jean-Baptiste Althabe	Q1552	https://monumenta.wikibase.cloud/wiki/Testua:AlthabeHunkailu/TEI	AlthabeHunkailu
Q1555	Jesu Kristoren Imitazionea	Aranbillaga	Q1554	https://monumenta.wikibase.cloud/wiki/Testua:AranbillagaImitazionea/TEI	AranbillagaImitazionea
Q1791	Urlo	Resurreccion Maria Azkue	Q1790	https://monumenta.wikibase.cloud/wiki/Testua:AzkueRUrlo/TEI	AzkueRUrlo
Q1859	Latsibi	Resurreccion Maria Azkue	Q1858	https://monumenta.wikibase.cloud/wiki/Testua:AzkueRLatsibi/TEI	AzkueRLatsibi
Q1815	Iesusen imitazionea	Silvain Pouvreau	Q1814	https://monumenta.wikibase.cloud/wiki/Testua:PouvreauImitazionea/TEI	PouvreauImitazionea
Q1675	Geroko Gero	Pedro Antonio Añibarro	Q1674	https://monumenta.wikibase.cloud/wiki/Testua:AnibarroGero/TEI	AnibarroGero
Q1845	Paskalen gogamenak	Joan Antonio Mogel	Q1844	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAPaskal/TEI	MogelJAPaskal
Q1881	Konfesio ta komunioko sakramentuen gañean erakasteak	Joan Antonio Mogel	Q1880	https://monumenta.wikibase.cloud/wiki/Testua:MogelJAErakusaldiak/TEI	MogelJAErakusaldiak
Q1729	Ziberuko botanika edo lantharen jakitatia	Jean-Baptiste Althabe	Q1728	https://monumenta.wikibase.cloud/wiki/Testua:AlthabeBotanika/TEI	AlthabeBotanika
Q1745	Arrats Beran	Estepan Urkiaga	Q1744	https://monumenta.wikibase.cloud/wiki/Testua:LauaxetaArrats/TEI	LauaxetaArrats
Q1779	Poema itzuliak	Estepan Urkiaga	Q1778	https://monumenta.wikibase.cloud/wiki/Testua:LauaxetaItzuliak/TEI	LauaxetaItzuliak
Q1679	Ostegun gizena	Antonio Maria Labaien	Q1678	https://monumenta.wikibase.cloud/wiki/Testua:LabaienOstegun/TEI	LabaienOstegun
Q1687	Txinparta buruzagi	Antonio Maria Labaien	Q1686	https://monumenta.wikibase.cloud/wiki/Testua:LabaienTxinparta/TEI	LabaienTxinparta
Q1737	Iruñxeme	Antonio Maria Labaien	Q1736	https://monumenta.wikibase.cloud/wiki/Testua:LabaienIrunxeme/TEI	LabaienIrunxeme
Q1773	Muga	Antonio Maria Labaien	Q1772	https://monumenta.wikibase.cloud/wiki/Testua:LabaienMuga/TEI	LabaienMuga
Q1795	Euskal-eguna	Antonio Maria Labaien	Q1794	https://monumenta.wikibase.cloud/wiki/Testua:LabaienEuskalEguna/TEI	LabaienEuskalEguna
Q1807	Malentxo alargun	Antonio Maria Labaien	Q1806	https://monumenta.wikibase.cloud/wiki/Testua:LabaienMalentxo/TEI	LabaienMalentxo
Q1743	Zenbeit sainduen bizitzea	Bernard Larregi	Q1742	https://monumenta.wikibase.cloud/wiki/Testua:LarregiSainduen/TEI	LarregiSainduen
Q1827	Olerki berrizte	Emeterio Arrese	Q1826	https://monumenta.wikibase.cloud/wiki/Testua:ArreseEBerrizte/TEI	ArreseEBerrizte
Q1703	Ezkondu ezin ziteken mutila	Jose Mari Agirre	Q1702	https://monumenta.wikibase.cloud/wiki/Testua:LizardiEzkondu/TEI	LizardiEzkondu
Q1849	Euskera aundiki-soñekoz	Jose Mari Agirre	Q1848	https://monumenta.wikibase.cloud/wiki/Testua:LizardiAundiki/TEI	LizardiAundiki
Q1761	Liburu ederra	Jean Duvoisin	Q1760	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinEderra/TEI	DuvoisinEderra
Q1993	Bein da betiko	Resurreccion Maria Azkue	Q1992	https://monumenta.wikibase.cloud/wiki/Testua:AzkueRBetiko/TEI	AzkueRBetiko
Q2023	Vizcaytik Bizkaira	Resurreccion Maria Azkue	Q2022	https://monumenta.wikibase.cloud/wiki/Testua:AzkueRBizkaira/TEI	AzkueRBizkaira
Q2037	Ardi galdua	Resurreccion Maria Azkue	Q2036	https://monumenta.wikibase.cloud/wiki/Testua:AzkueRGaldua/TEI	AzkueRGaldua
Q2107	Filotea	Silvain Pouvreau	Q2106	https://monumenta.wikibase.cloud/wiki/Testua:PouvreauFilotea/TEI	PouvreauFilotea
Q1923	Dialogoak	Voltoire	Q1922	https://monumenta.wikibase.cloud/wiki/Testua:VoltoireDialogoak/TEI	VoltoireDialogoak
Q1967	Euskal testuak	Manuel Larramendi	Q1966	https://monumenta.wikibase.cloud/wiki/Testua:LarramendiTestuak/TEI	LarramendiTestuak
Q1917	Lora sorta espirituala	Pedro Antonio Añibarro	Q1916	https://monumenta.wikibase.cloud/wiki/Testua:AnibarroLorasorta/TEI	AnibarroLorasorta
Q1953	Euskal literaturaz	Piarres Lafitte	Q1952	https://monumenta.wikibase.cloud/wiki/Testua:LafitteLiteraturaz/TEI	LafitteLiteraturaz
Q2109	Murtuts eta bertze	Piarres Lafitte	Q2108	https://monumenta.wikibase.cloud/wiki/Testua:LafitteMurtuts/TEI	LafitteMurtuts
Q2035	Azalpenak eta beste 1932	Estepan Urkiaga	Q2034	https://monumenta.wikibase.cloud/wiki/Testua:LauaxetaAzalpenakII/TEI	LauaxetaAzalpenakII
Q1937	Iparragirre	Antonio Maria Labaien	Q1936	https://monumenta.wikibase.cloud/wiki/Testua:LabaienIparragirre/TEI	LabaienIparragirre
Q1979	Jokua ez da errenta	Antonio Maria Labaien	Q1978	https://monumenta.wikibase.cloud/wiki/Testua:LabaienJokua/TEI	LabaienJokua
Q1999	Gizon bizarpeituti eta emazte bizartsuti...	Antonio Maria Labaien	Q1998	https://monumenta.wikibase.cloud/wiki/Testua:LabaienBizarpeituti/TEI	LabaienBizarpeituti
Q2011	Pestaburu	Antonio Maria Labaien	Q2010	https://monumenta.wikibase.cloud/wiki/Testua:LabaienPestaburu/TEI	LabaienPestaburu
Q2069	Galtzaundi	Antonio Maria Labaien	Q2068	https://monumenta.wikibase.cloud/wiki/Testua:LabaienGaltzaundi/TEI	LabaienGaltzaundi
Q2087	Itz-lauz	Jose Mari Agirre	Q2086	https://monumenta.wikibase.cloud/wiki/Testua:LizardiHitzlauz/TEI	LizardiHitzlauz
Q1969	Iturriagaren Solastaldiak	Jean Duvoisin	Q1968	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinSolastaldiak/TEI	DuvoisinSolastaldiak
Q2015	Telemake	Jean Duvoisin	Q2014	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinTelemake/TEI	DuvoisinTelemake
Q2017	Baigorriko zazpi liliak	Jean Duvoisin	Q2016	https://monumenta.wikibase.cloud/wiki/Testua:DuvoisinBaigorri/TEI	DuvoisinBaigorri
Q1945	Jaungoikoaren legeko amar aginteen gañean erakusaldiak	Juan Bautista Agirre	Q1944	https://monumenta.wikibase.cloud/wiki/Testua:AgirreAErakusLegeak/TEI	AgirreAErakusLegeak
Q1777	Iru ziri	Pedro Migel Urruzuno	Q1776	https://monumenta.wikibase.cloud/wiki/Testua:UrruzunoIruZiri/TEI	UrruzunoIruZiri
Q1797	Ur-zale baten ipuiak	Pedro Migel Urruzuno	Q1796	https://monumenta.wikibase.cloud/wiki/Testua:UrruzunoUrzale/TEI	UrruzunoUrzale
Q1839	Euskalerritik zerura eta beste ipui batzuk	Pedro Migel Urruzuno	Q1838	https://monumenta.wikibase.cloud/wiki/Testua:UrruzunoZerura/TEI	UrruzunoZerura
Q1721	Piarres II	Jean Barbier	Q1720	https://monumenta.wikibase.cloud/wiki/Testua:BarbierPiarresII/TEI	BarbierPiarresII
Q1693	Zezenak errepublikan	Jean Hiriart Urruti	Q1692	https://monumenta.wikibase.cloud/wiki/Testua:HiriUrruZezenak/TEI	HiriUrruZezenak
Q1843	Mintzaira, aurpegia, gizon	Jean Hiriart Urruti	Q1842	https://monumenta.wikibase.cloud/wiki/Testua:HiriUrruMintza/TEI	HiriUrruMintza
Q1673	Bi Saindu Heskualdunen Bizia	Franzisko Laphitz	Q1672	https://monumenta.wikibase.cloud/wiki/Testua:LaphitzBisaindu/TEI	LaphitzBisaindu
Q1677	Gero	Pedro Axular	Q1676	https://monumenta.wikibase.cloud/wiki/Testua:AxularGero/TEI	AxularGero
Q1681	Sanduen bizitzak	Joakin Lizarraga	Q1680	https://monumenta.wikibase.cloud/wiki/Testua:LizarragaSanduak/TEI	LizarragaSanduak
Q1685	Kili-kili	Paulo Zamarripa	Q1684	https://monumenta.wikibase.cloud/wiki/Testua:ZamarripaKili/TEI	ZamarripaKili
Q1753	Gora begira	Paulo Zamarripa	Q1752	https://monumenta.wikibase.cloud/wiki/Testua:ZamarripaGoraBegira/TEI	ZamarripaGoraBegira
Q1871	Anaiak gara	Paulo Zamarripa	Q1870	https://monumenta.wikibase.cloud/wiki/Testua:ZamarripaAnaiak/TEI	ZamarripaAnaiak
Q1691	Credo edo Sinhesten dut esplikatua	Etienne Lapeyre	Q1690	https://monumenta.wikibase.cloud/wiki/Testua:LapeireKredo/TEI	LapeireKredo
Q1697	Biozkadak	Luis Jauregi	Q1696	https://monumenta.wikibase.cloud/wiki/Testua:JautarkolBiozkadak/TEI	JautarkolBiozkadak
Q1701	Bertsoak	Xenpelar	Q1700	https://monumenta.wikibase.cloud/wiki/Testua:Xenpelar/TEI	Xenpelar
Q1705	Kantak	Jose Mendiage	Q1704	https://monumenta.wikibase.cloud/wiki/Testua:MendiageKantak/TEI	MendiageKantak
