item	izenburua	egile_izena	bertsioa	testu_orria	kodea
Q1609	Aldizkarietan argitaratuak eta beste	Felipe Arrese Beitia	Q1608	https://monumenta.wikibase.cloud/wiki/Testua:ArreseBeitiaAldizkarietakoak/TEI	ArreseBeitiaAldizkarietakoak
Q1611	Deboten brebiarioa	Pierre Argainaratz	Q1610	https://monumenta.wikibase.cloud/wiki/Testua:ArgainaratzDeboten/TEI	ArgainaratzDeboten
Q1621	Au, ori ta bestia	Jose Manuel Etxeita	Q1620	https://monumenta.wikibase.cloud/wiki/Testua:EtxeitaAu/TEI	EtxeitaAu
Q1625	Buruxkak	Jean Etxepare Bidegorri	Q1624	https://monumenta.wikibase.cloud/wiki/Testua:EtxepareJBideBuruxkak/TEI	EtxepareJBideBuruxkak
Q1629	Sermoiak-I	Juan Mateo Zabala	Q1628	https://monumenta.wikibase.cloud/wiki/Testua:ZabalaSermoiakI/TEI	ZabalaSermoiakI
Q1633	Meditazioneak gei premiatsuenen gainean	Martin Duhalde	Q1632	https://monumenta.wikibase.cloud/wiki/Testua:DuhaldeMeditazioneak/TEI	DuhaldeMeditazioneak
Q1635	Sasiletrau baten ziria, eta abar	Pedro Migel Urruzuno	Q1634	https://monumenta.wikibase.cloud/wiki/Testua:UrruzunoSasiletrau/TEI	UrruzunoSasiletrau
Q1637	Kazetari lanak	Jose Agerre	Q1636	https://monumenta.wikibase.cloud/wiki/Testua:AgerreKazetari/TEI	AgerreKazetari
Q1649	Linguae Vasconum Primitiae	Bernart Etxepare	Q1648	https://monumenta.wikibase.cloud/wiki/Testua:EtxepareBPrimitiae/TEI	EtxepareBPrimitiae
Q1653	Mendekoste gereziak	Jean Etxepare Landerretxe	Q1652	https://monumenta.wikibase.cloud/wiki/Testua:EtxepareJLandGereziak/TEI	EtxepareJLandGereziak
Q1657	Doktrina Kristiana	Joan Perez Betolaza	Q1656	https://monumenta.wikibase.cloud/wiki/Testua:BetolazaDoktrina/TEI	BetolazaDoktrina
Q2021	Zazpi sakramentuen gañean erakusaldiak	Juan Bautista Agirre	Q2020	https://monumenta.wikibase.cloud/wiki/Testua:AgirreAErakusSakramentu/TEI	AgirreAErakusSakramentu
Q1995	Biblia (2)	Jose Antonio Uriarte	Q1994	https://monumenta.wikibase.cloud/wiki/Testua:UriarteBibliaII/TEI	UriarteBibliaII
Q1985	Lehenagoko Eskualdunak zer ziren	Mixel Elizanburu	Q1984	https://monumenta.wikibase.cloud/wiki/Testua:ElizanburuMLehenagoko/TEI	ElizanburuMLehenagoko
Q1913	Jesusen Bihotzaren Kongregazioko reglak	Sebastian Mendiburu	Q1912	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuReglak/TEI	MendiburuReglak
Q1997	Jesusen amore-nekeei dagozten zenbait otoitzgai (II)	Sebastian Mendiburu	Q1996	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuOtoitzII/TEI	MendiburuOtoitzII
Q2051	Jesusen Bihotzaren Debozioa	Sebastian Mendiburu	Q2050	https://monumenta.wikibase.cloud/wiki/Testua:MendiburuDebozioa/TEI	MendiburuDebozioa
Q1931	Azkaine gure sorterria	Jean Elizalde	Q1930	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariAzkaine/TEI	ZerbitzariAzkaine
Q1989	Artho-xuritzetan	Jean Elizalde	Q1988	https://monumenta.wikibase.cloud/wiki/Testua:ZerbitzariArtho/TEI	ZerbitzariArtho
Q1905	Othoitza eklesiastikoen forma	Joanes Leizarraga	Q1904	https://monumenta.wikibase.cloud/wiki/Testua:LeizarragaForma/TEI	LeizarragaForma
Q2063	ABC edo Kristinoen instrukzionea	Joanes Leizarraga	Q2062	https://monumenta.wikibase.cloud/wiki/Testua:LeizarragaAbc/TEI	LeizarragaAbc
Q1973	Tormesko itsu-mutila	Nikolas Ormaetxea	Q1972	https://monumenta.wikibase.cloud/wiki/Testua:OrixeTormes/TEI	OrixeTormes
Q2009	Euskaldunak	Nikolas Ormaetxea	Q2008	https://monumenta.wikibase.cloud/wiki/Testua:OrixeEuskaldunak/TEI	OrixeEuskaldunak
Q2039	Kiton arrebarekin	Nikolas Ormaetxea	Q2038	https://monumenta.wikibase.cloud/wiki/Testua:OrixeKiton/TEI	OrixeKiton
Q2083	Mireio	Nikolas Ormaetxea	Q2082	https://monumenta.wikibase.cloud/wiki/Testua:OrixeMireio/TEI	OrixeMireio
Q2089	Barne muinetan	Nikolas Ormaetxea	Q2088	https://monumenta.wikibase.cloud/wiki/Testua:OrixeMuinetan/TEI	OrixeMuinetan
Q1893	Aita San Ignazioren bizitza laburra	Agustin Kardaberaz	Q1892	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazIgnazio/TEI	KardaberazIgnazio
Q1915	Jesus Maria eta Joseren debozioa	Agustin Kardaberaz	Q1914	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazJesusMaria/TEI	KardaberazJesusMaria
Q1925	Ama beneragarri Josefaren bizitza	Agustin Kardaberaz	Q1924	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazJosefa/TEI	KardaberazJosefa
Q1927	Meza eta komunioa	Agustin Kardaberaz	Q1926	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazMezaKomunioa/TEI	KardaberazMezaKomunioa
Q1941	Kristabaren bizitza (2. arg.)	Agustin Kardaberaz	Q1940	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazKristabaII/TEI	KardaberazKristabaII
Q1957	Ejerzizioak-II	Agustin Kardaberaz	Q1956	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazAfektoak/TEI	KardaberazAfektoak
Q1951	Kristiñau dotrinea	Agustin Kardaberaz	Q1950	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazDotrinea/TEI	KardaberazDotrinea
Q2041	Ejerzizioak-IV	Agustin Kardaberaz	Q2040	https://monumenta.wikibase.cloud/wiki/Testua:KardaberazEjerzizioakIV/TEI	KardaberazEjerzizioakIV
Q1661	Piarres I	Jean Barbier	Q1660	https://monumenta.wikibase.cloud/wiki/Testua:BarbierPiarresI/TEI	BarbierPiarresI
Q1663	Eskuizkribua	Juan Perez de Lazarraga	Q1662	https://monumenta.wikibase.cloud/wiki/Testua:Lazarraga/TEI	Lazarraga
Q1667	Gontzetarik jalgiaraziak	Jean Hiriart Urruti	Q1666	https://monumenta.wikibase.cloud/wiki/Testua:HiriUrruGontze/TEI	HiriUrruGontze
Q1521	Jaun Dauphinen errelazionea	Anonimoa	Q1520	https://monumenta.wikibase.cloud/wiki/Testua:AnonimErrelazionea/TEI	AnonimErrelazionea
Q1527	Kristiñeu Dotrinien Lau Partiak eskuizkribua	Anonimoa	Q1526	https://monumenta.wikibase.cloud/wiki/Testua:AnonimPartiak/TEI	AnonimPartiak
Q1531	Kristiñeu Dotrinien Lau Partiak	Anonimoa	Q1530	https://monumenta.wikibase.cloud/wiki/Testua:AnonimPartia/TEI	AnonimPartia
Q1571	Ruth-en liburua	Anonimoa	Q1570	https://monumenta.wikibase.cloud/wiki/Testua:AnonimRuth/TEI	AnonimRuth
Q1583	Eskualdun kozinera	Anonimoa	Q1582	https://monumenta.wikibase.cloud/wiki/Testua:AnonimKozinera/TEI	AnonimKozinera
Q1533	Beste zenbat itzulpen	Emanuel Intxauspe	Q1532	https://monumenta.wikibase.cloud/wiki/Testua:IntxauspeItzulpenak/TEI	IntxauspeItzulpenak
Q1569	Iturriagaren Elhestaldiak	Emanuel Intxauspe	Q1568	https://monumenta.wikibase.cloud/wiki/Testua:IntxauspeElhestaldiak/TEI	IntxauspeElhestaldiak
Q1477	Ogeta bost lezinoe ta sermoe bat	Frai Bartolome	Q1476	https://monumenta.wikibase.cloud/wiki/Testua:FraiOgetabost/TEI	FraiOgetabost
Q1589	Jaungoikoaren amar agindubeetako lenengo bosteen ikasikizunak	Frai Bartolome	Q1588	https://monumenta.wikibase.cloud/wiki/Testua:FraiLelengo/TEI	FraiLelengo
Q1665	Euskal Errijetako olgeeta ta dantzeen neurrizko gatz-ozpinduba	Frai Bartolome	Q1664	https://monumenta.wikibase.cloud/wiki/Testua:FraiOlgeeta/TEI	FraiOlgeeta
Q1645	Porru salda	Ignazio K. Nuñez Arizmendi	Q1644	https://monumenta.wikibase.cloud/wiki/Testua:NunezPorru/TEI	NunezPorru
