authorname,name_recon,wikidata
Joakin Lizarraga,Joakin Lizarraga,Q4856112
Juan Antonio Mogel,Juan Antonio Mogel,Q3321878
Agustin Paskual Iturriaga,Agustin Iturriaga,Q12252871
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Juan Antonio Ubillos,Juan Antonio Ubillos,Q11057835
Gabirel Manterola,Gabriel Manterola,Q12258080
Jose Ignazio Arana,Jose Ignazio Arana,Q12260633
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Jose Ignazio Arana,Jose Ignazio Arana,Q12260633
Errose Bustintza,Errose Bustintza,Q8777444
"Juan Bautista Bilbao - ""Batxi""","Juan Bautista Bilbao - ""Batxi""",
Leonce Goietxe,Léonce Goihetxe,Q12262192
Damaso Legaz,Damaso Legaz,Q12256068
Joanes Leizarraga,Joanes Leizarraga,Q2746075
Pedro Ignazio Barrutia,Pedro Ignazio Barrutia,Q11940705
"Joanes Etxeberri - ""Etxeberri Sarakoa""",Joanes Etxeberri (Sarakoa),Q4890180
Pedro Astarloa,Pedro Astarloa,Q12265664
Sebastian Mendiburu,Sebastian Mendiburu,Q11947956
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Pedro Antonio Añibarro,Pedro Antonio Añibarro,Q4890107
"Bernardo Maria Garro - ""Otxolua""","Bernardo Maria Garro - ""Otxolua""",
"Piarres Etxeberri - ""Etxeberri Dorre""","Piarres Etxeberri - ""Etxeberri Dorre""",
Voltoire,Voltoire,Q12268917
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
"Juan Etxamendi - ""Bordel""","Juan Etxamendi - ""Bordel""",
"Jean Elizalde - ""Zerbitzari""",Jean Elizalde,Q3175862
Athanase Belapeire,Athanase Belapeire,Q12254363
Manex Etxamendi,Manex Etxamendi,
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Bitor Garitaonandia,Bitor Garitaonandia,Q12255287
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
"Joanes Etxeberri - ""Etxeberri Sarakoa""",Joanes Etxeberri (Sarakoa),Q4890180
Juan Bautista Agirre,Juan Bautista Agirre,Q11929259
"Jules Moulier - ""Oxobi""",Jules Moulier,Q3188809
"Enrike Zubiri - ""Manezaundi""",Enrike Zubiri,Q12256878
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
Piarres Lafitte,Piarres Lafitte,Q3138345
Franzisko Goñi,Franzisko GoÃ±i,
Agustin Kardaberaz,Agustin Kardaberaz,Q3325078
"Ebaristo Bustintza - ""Kirikiño""",Ebaristo Bustintza,Q4890270
Charles Bordes,Charles Bordes,Q1063780
Jean Barbier,Jean Barbier,Q3170595
Joanes Otxalde,Joanes Otxalde,Q12260434
Manuel Larramendi,Manuel Larramendi,Q4890298
Jean Pierre Duvoisin,Jean Duvoisin,Q3169265
Jusef Egiategi,Jusef Egiategi,Q12261166
"Nikolas Ormaetxea - ""Orixe""",Nikolas Ormaetxea,Q3356420
Andres Iturzaeta,Andres Iturzaeta,Q12253517
Jean Martin Hiribarren,Jean-Martin Hiribarren,Q12261051
Antonio Maria Labaien,Antonio Maria Labaien,Q2857347
Frai Bartolome,Frai Bartolomeo,Q7780
Jakes Oihenarte,Jakes Oihenart,Q12260155
Mixel Elizanburu,Mixel Elizanburu,Q12263722
Bernard Gazteluzar,Bernard Gazteluzar,Q11909117
"Jean Elizalde - ""Zerbitzari""",Jean Elizalde,Q3175862
Joakin Lizarraga,Joakin Lizarraga,Q4856112
Resurreccion Maria Azkue,Resurreccion Maria Azkue,Q3109903
