LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
abigarrado	abigarrado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abigarrado	navarrá
abigeo	abigeo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abigeo	talde baten, edo erdibaten lapurrá
abigotado	abigotado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abigotado	bigoteduna
abil	abil	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abil	gay ajutuá, cintzoa, entregú, ezta orretaraco gay, gustiraco da, cintzoa, entreg, gucitaraco sertua, jayoa, gayeguia, cintzoeguia, entregueguia
abilidad	abilidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abilidad	abilidadea, gaytasuna, cintzotasuna, vrlia da cintzotasun andicoa
abilitaravno	abilitaravno	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abilitaravno	cintzotu, gay eguin, cintzotu, gay eguindute
abilitado	abilitado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abilitado	cintzotua, gaey eguiña
abilmente	abilmente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abilmente	gayró, cinzor, cintzoqui
abiltar	abiltar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abiltar	abatir
abintestato	abintestato	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abintestato	testamentu bague, testamenturic eguingabe
abjurar	abjurar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abjurar	ezeztatu, cinez, juramentuz, bat
abjuracion	abjuracion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abjuracion	ezeztatzea, desesaná, deserraná
abion	abion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/A#abion	sorbeltza, enada, elaya andiagoa
