LAR_LEMMA_EGOKITUA	ANCHORTEXT	ANCHORLINK	EUS_CANDIDATES
lastimar	lastimar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastimar	zaurtu, arrazatu
lastimado	lastimado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastimado	&c
lastimosamente	lastimosamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastimosamente	urricariro, cupidagarriro, erruquiro, erruquigarriro
lastimoso	lastimoso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastimoso	urricaria, urricalquizuna, erruquigarria, cupidagarria
lasto	lasto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lasto	lastá, lastar, @astua, lastoa
lastrar	lastrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastrar	lastratu, lastatu
lastrado	lastrado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastrado	lastatua, lastratua
lastre	lastre	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lastre	lastrea, lastá, latsarte, lasarte, lastre de navio
latas	latas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latas	lata, latea, arlatea, arlata, lata, latea
latamente	latamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latamente	hedaquiro
lateral	lateral	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lateral	albocoa, aldecoa, aldamenecoa
latido	latido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latido	tupotza, latudoa, la, latu, doa
latido	latido2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latido2	ladrido, ladra
latigazo	latigazo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latigazo	zartada, zartadacoa, latigocoa
latigo	latigo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latigo	latigoa, latu, jo, yoa
latin	latin	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latin	Latiñá, Latiñarren hizcuntza
latinajo	latinajo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latinajo	atintzarra
latinamente	latinamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latinamente	Latiñez
latinidad	latinidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latinidad	Latin
latinizar	latinizar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latinizar	latindu
latinizado	latinizado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latinizado	latindua
latino	latino	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latino	Latiñarra, Latindarra
latino	latino2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latino2	Latiñezcoa
latir	latir	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latir	tupotz eguin, tupozca egon
latir	latir2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latir2	ladrar
latisimo	latisimo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latisimo	chit zabal, lucea
latitud	latitud	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latitud	zabalá, zabaltasuna
lato	lato	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lato	zabalá
laton	laton	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laton	menastoria
latonero	latonero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latonero	menastoriquiña
latria	latria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latria	Jaincurtea
latrina	latrina	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latrina	letrina
latrocinio	latrocinio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#latrocinio	ladronicio
laud	laud	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laud	laudá
laudable	laudable	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudable	alabagarria, doandigarria, laudagarria
laudano	laudano	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudano	loerazquiña
laudar	laudar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudar	alabatu, doanditu, laudatu, laudariotu
laudatoria	laudatoria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudatoria	doandigarria
laudatorio	laudatorio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudatorio	alabaria, alabatzallea, &c
laude	laude	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laude	lapida
laudes	laudes	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudes	laudeac, sarritan, maiz, gauta egun
laudemio	laudemio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laudemio	menecarra
launa	launa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#launa	lamina
laurea	laurea	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laurea	erramu ostoa, erreñotzorria
laureando	laureando	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laureando	erramuzgarria, ereñozgarria
laurear	laurear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laurear	erramuztu, ereñoztu
laureado	laureado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laureado	erramuztua &c
laurel	laurel	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laurel	erramua, ereñotza
laureola	laureola	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laureola	erramuzco coroea, boillandea, ereñozcoa
laureola	laureola2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laureola2	arioa, saradona
laurino	laurino	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laurino	erramuzcoa, ereñozcoa
lauro	lauro	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lauro	laurel
lavacias	lavacias	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavacias	ubasia, urliquitsa
lavacro	lavacro	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavacro	lavatorio
lavadero	lavadero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavadero	garbitoquia, icuztoquia
lavador	lavador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavador	garbitzallea, icuzalea
lavadura	lavadura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavadura	garbitzea, icuztzea, garbiqueta, icuzqueta
lavadura	lavadura2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavadura2	churiquiña, churiqueta
lavajos	lavajos	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavajos	cenagales
lava	lava	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lava	escugarbitza
lavanco	lavanco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavanco	ugalea, ugatá
lavandera	lavandera	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavandera	gobada jotzallea
lavandera	lavandera2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavandera2	churitzallea, lisiba jotzaltea
lavandera	lavandera3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavandera3	garbitzallea, icuzalea
lavandero	lavandero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavandero	bolazalea
lavandula	lavandula	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavandula	espliego
lavar	lavar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavar	garbitu, icuzi
lavado	lavado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavado	garbitua, &c
lavativa	lavativa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavativa	garbigarri, icuzgarria
lavatorio	lavatorio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavatorio	lavadura
lavazas	lavazas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lavazas	lavacias
laxa	laxa	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laxa	lancha
laxar	laxar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laxar	laxare, lasai, lasaitu, lao
laxativo	laxativo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laxativo	lasaigarri, nasaigarria
laya	laya	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laya	laya
laya	laya2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#laya2	
layar	layar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#layar	layatu
layado	layado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#layado	layatua
layador	layador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#layador	layaria
lazada	lazada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazada	chibistea
lazareto	lazareto	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazareto	hospital
lazarillo	lazarillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazarillo	itsumutilla, itsu-aurrea
lazdrado	lazdrado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazdrado	lacerado
lazo	lazo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazo	orapillo, corapilloa
lazo	lazo2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazo2	lazada
lazo	lazo3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lazo3	artea, laquioa, lazoa
le	le	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#le	les, esango det, esango diot, esango diotet, &c
leal	leal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leal	leyalá, leyja, al, alá ahala
lealmente	lealmente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lealmente	leyalquiro
lealtad	lealtad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lealtad	leyaltasuna
lebeche	lebeche	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebeche	egoaldeco, egoyaldeco aicea
lebrada	lebrada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebrada	erbijaquia
lebraston	lebraston	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebraston	erbi zarra
lebratillo	lebratillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebratillo	erbicumea
lebrel	lebrel	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebrel	lebrela, oratzar andia
lebrillo	lebrillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebrillo	aspillá, boillasca
lebron	lebron	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebron	erbizarra, andia
lebron	lebron2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebron2	medroso
lebruno	lebruno	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lebruno	erbitarra
leccion	leccion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leccion	iracurtza, iracurtea, leatzea
leccion	leccion2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leccion2	gudiracurtza
lechada	lechada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechada	carezna
lechal	lechal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechal	eznasa
leche	leche	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leche	eznea
leche	leche2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leche2	oritza, ugatzâ, ugazeznea
leche	leche3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leche3	olleznea
leohecillas	leohecillas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leohecillas	alegurichac
lechero	lechero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechero	ezne-saltzallea
lechetrezna	lechetrezna	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechetrezna	eznabelarra
lechiga	lechiga	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechiga	feretro
lechigada	lechigada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechigada	erdialdia
lechino	lechino	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechino	alsiquia
lecho	lecho	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lecho	cama
lechon	lechon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechon	cherria, charria, urdea
lechoncillo	lechoncillo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechoncillo	cherricumea
lechuga	lechuga	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechuga	urraza, lechuga
lechuguino	lechuguino	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechuguino	urrazlandarrea, lechugalandarea
lechuza	lechuza	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechuza	ontzá
lechuzo	lechuzo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lechuzo	lechal
lector	lector	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lector	iracurlea, leatzallea
lectoral	lectoral	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lectoral	iracurtzacoa
lectoria	lectoria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lectoria	iracurquintza
lectura	lectura	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lectura	leccion
ledamente	ledamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#ledamente	alegremente, alegre
leedor	leedor	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leedor	lector
leer	leer	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leer	iracurri, leatu
leido	leido	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leido	iracurria, leatua
leido	leido2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leido2	erudito
legacia	legacia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legacia	bialquindea
legado	legado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legado	Bialquiña
legado	legado2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legado2	sita Santuaren aldameneco bialquiña
legado	legado3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legado3	manda
legajo	legajo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legajo	paper sorta, paperbilgoa, paperlotura
legal	legal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legal	legarra, legatarra, legaraucoa
legalidad	legalidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legalidad	legaraudea
legalizacion	legalizacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legalizacion	legarautzea
legalizar	legalizar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legalizar	legarautu, legaraudetu
legalizado	legalizado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legalizado	legarautua
legalmente	legalmente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legalmente	legarquiro, legarauquiro
legamente	legamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legamente	jaquindebague
legamo	legamo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legamo	legamia, Loi itsas-@corra
legaña	legaña	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legaña	lagaña
legar	legar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legar	bialdu, bidaldu, egorri
legar	legar2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legar2	azquenayean cerbait utzi, aguindu
legatario	legatario	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legatario	azequenayean cerbait utzi, zayona
legendario	legendario	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legendario	levenda
legible	legible	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legible	iracurquiz, iracurgarria, leaquizuna, leagarria
legion	legion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legion	diautá
legionario	legionario	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legionario	diautarra
legislador	legislador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legislador	legueemallea
legislar	legislar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legislar	legueeman
legisperito	legisperito	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legisperito	leguejaquiña
legista	legista	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legista	leguejarraya, leguicaslea
legitima	legitima	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legitima	legoquia
legitimacion	legitimacion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legitimacion	legauretzea
legitimamente	legitimamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legitimamente	legarauquiro
legitimar	legitimar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legitimar	legarautu, legaraudetu
legitimado	legitimado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legitimado	legarautua, &c
legitimo	legitimo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legitimo	legarra, le@garaucoa, ecado7arra, elizquea, legoa, anai motza, jaquineza, elizque, nau, ta arau, elizqueen nai darra
legon	legon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legon	aitzurra
legra	legra	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legra	dendacai mota bat
legrar	legrar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legrar	dendacayaz zauria icusi, beatu, beguiratu
legua	legua	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legua	leuca, leu-, legoa, lecoa, urrutitic aguiri da
legumbre	legumbre	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#legumbre	lecacia, barazquia, baratzalda
lejano	lejano	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lejano	urruticoa, urrungoa, urrundanicoa
lejos	lejos	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lejos	urruti, urrún, urrutitic, urrundc, urrundanic
lejos	lejos2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lejos2	urrutirudia
lelilles	lelilles	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lelilles	Mairuen ojuac, deadarrac, leli leli Mahomari dagozcanean
lelo	lelo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lelo	lela, loloa
lema	lema	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lema	lemma, azalcaya, azalgarria
lenceria	lenceria	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenceria	leutadia, eundia
lenceria	lenceria2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenceria2	leutateguia, euntoquia
lencero	lencero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lencero	leutaria, euntaria
lendrera	lendrera	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lendrera	partzorracia
lendrero	lendrero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lendrero	parztoquia
lendroso	lendroso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lendroso	partzua
lengua	lengua	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengua	interprete
lengua	lengua2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengua2	badajo
lengua	lengua3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengua3	fiel
los	los	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#los	eranusi, iñotsi, badaraunsa, badiñotso, biñotso, bacerrunsan, baciñotsan, biñotsan, euriari, chingorrari, &c, hitzontziari choraqueria daraunsa, eraunsi, Badarauntsat, badaraun-, sac, adn, badaraunsazu, badaraunsa, badaraunsagu, badaraunsazute, badaraunsate, Baneraunsan, baceneraunsan, baceraunsazun, baceraunsan, bagueneraunsan, baceraunsagun, baceneraunsaten, baceraunsazuten, beceraunsaten, niri zorná daraunsadala, daraunsazula, daraunsala, daraunsagula, daraunsazutela, daraunsatela, neraunsala, ceneraunsala, ceraunsala, generaunsala, ceneraunsatela, ceraunsatela, baneraunsa, baceneraunsa, baleraunsa, bagueneraunsa, baceneraunsate, baleraunsate, iñotsi, badiñotsat, badiñotsazu, badiñotsa, badiñotso, badiñotsagu, badiñotsazute, badiñotsate, biñotsat, biñotso, &c, baniñotsan, baciniñotsan, baciñotsan, baguiniñotsan, baciniñotsaten, baciñotsaten
lengua	lengua4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengua4	isthmo
lengua	lengua5	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengua5	orilla
lengua	lengua6	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengua6	idimia, oreinmia, bildosmia, chacurmia
lenguado	lenguado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguado	lengoadua
lenguage	lenguage	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguage	lengua
lenguage	lenguage2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguage2	dialecto
lenguaraz	lenguaraz	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguaraz	hizcuntzatia
lenguaraz	lenguaraz2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguaraz2	deslenguado, lenguaz
lenguear	lenguear	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguear	galdez jarrai
lenguecilla	lenguecilla	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguecilla	mingainchoa, miichoa
lengueta	lengueta	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengueta	mistoa, mistorrá
lengueta	lengueta2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengueta2	gallilo
lengueta	lengueta3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengueta3	mistoa, cacoa
lengueta	lengueta4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lengueta4	fiel
lenguetada	lenguetada	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenguetada	milliscada, limicada
lenidad	lenidad	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenidad	blandura, suavidad
lenitivo	lenitivo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenitivo	gozagarria
lenizar	lenizar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenizar	gozatu
lenocinio	lenocinio	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenocinio	alcahueteria
lentamente	lentamente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lentamente	gueldi, gueldiro, astiró, barach
lente	lente	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lente	beiracolla
lenteja	lenteja	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenteja	dilista, chilistea
lenticular	lenticular	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenticular	dilistantzecoa
lentisco	lentisco	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lentisco	lequelchorra
lentitud	lentitud	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lentitud	gueldia, gueldiera, astia, astiera
lento	lento	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lento	gueldia, astitsua, malsoa, zabarra, languia
lenzuelo	lenzuelo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lenzuelo	lienzo
leña	leña	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leña	egurrá, egurretán joan, egurguitera egurquintzara, egurguita, egurguitea, egurquintza, egurbidea
leñador	leñador	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leñador	egurguillea, egurquiña
leñero	leñero	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leñero	egurzalea
leñero	leñero2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leñero2	egurtoquia
leño	leño	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leño	egurra, zurá
leñoso	leñoso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leñoso	zuantzecoa
leon	leon	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leon	Leoya
leon	leon2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leon2	izarleoya
leona	leona	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leona	Leoy-emea
leonado	leonado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leonado	leoyantzecoa, loteguia, leoizula, leoizaya, leoizaina
leonino	leonino	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leonino	leoyarena, leoiguisacoa
lepra	lepra	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lepra	leguenarra, sorayotasuna
leproso	leproso	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leproso	leguenartia, leguenartsua, sorayoa
lerdo	lerdo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lerdo	lerr, lerda, lerdatu, lerreguin, lerdo, Lerdoa, naguia, alperra
lesion	lesion	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lesion	caltea, miña
lesna	lesna	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lesna	eztená
leste	leste	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#leste	este
letania	letania	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letania	donetoitza, ledania
letanlas	letanlas	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letanlas	garitatea
lethal	lethal	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lethal	eriozcoa
lethargo	lethargo	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#lethargo	lotarquia, lotarquia, loac artu, quia, ariquia, ollaquia, &c, lotarguia
letificar	letificar	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letificar	alegrar
letra	letra	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letra	izquira, bechia, letrá
letra	letra2	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letra2	inscripcion, lemma
letra	letra3	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letra3	gambizquira
letra	letra4	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letra4	gambizquira idiquia
letra	letra5	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letra5	moldizquira, chi, á la letra, al pie de la letra, publicamente, ascojaquiña, trebea izan
letraderia	letraderia	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letraderia	izquiradundia, bechidundia
letrado	letrado	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitza/L#letrado	izquiraduna, bechiduna, izquiratia, bechitia, izquiratua, bechitua, jaquiña, jaquintsua
