LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
erbitarra	erbitarra	erbitarra					
irakurtea	iracurtea	iracurtea					
leatzea	leatzea	leatzea				leatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leatze
gudirakurtza	gudiracurtza	gudiracurtza					
karezna	carezna	carezna					
eznasa	eznasa	eznaſa					
eznea	eznea	eznea	ezne			ezne	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ezne
oritza	oritza	oritza			oritz	oritz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=oritz
ugatza	ugatza	ugatzâ	ugatz		ugatz	ugatz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ugatz
ugazeznea	ugazeznea	ugazeznea					
oileznea	olleznea	olleznea					
aleguritxak	alegurichac	alegurichac					
ezne-saltzailea	ezne-saltzallea	ezne-ſaltzallea					
eznabelarra	eznabelarra	eznabelarra					
feretro	feretro	feretro					
erdialdia	erdialdia	erdialdia				erdialdi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erdialdi
altsikia	alsiquia	alſiquia					
kama	cama	cama					
txerrikumea	cherricumea	cherricumea			txerrikume	txerrikume	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txerrikume
letxuga	lechuga	lechuga	letxuga				
urrazlandarrea	urrazlandarrea	urrazlandarrea					
letxugalandarea	lechugalandarea	lechugalandarea					
letxal	lechal	lechal					
irakurlea	iracurlea	iracurlea	irakurle		irakurle	irakurle	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irakurle
leatzailea	leatzallea	leatzallea					
irakurtzakoa	iracurtzacoa	iracurtzacoa					
irakurkintza	iracurquintza	iracurquintza					
lekzion	leccion	leccion					
alegremente	alegremente	alegremente					
lektor	lector	lector					
irakurria	iracurria	iracurria	irakurri		irakurri	irakurri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irakurri
leatua	leatua	leatua					
erudito	erudito	erudito					
Bialkina	Bialquiña	Bialquiña					
sita Santuaren aldameneko bialkina	sita Santuaren aldameneco bialquiña	ſita Santuaren aldameneco bialquiña					
manda	manda	manda					
paper sorta	paper sorta	paper ſorta					
paperbilgoa	paperbilgoa	paperbilgoa					
paperlotura	paperlotura	paperlotura					
legatarra	legatarra	legatarra				legatar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legatar
legaraukoa	legaraucoa	legaraucoa				legarauko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legarauko
legaraudea	legaraudea	legaraudea				legaraude	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legaraude
legarautzea	legarautzea	legarautzea					
legarautu	legarautu	legarautu					
legaraudetu	legaraudetu	legaraudetu					
legarautua	legarautua	legarautua				legarautu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legarautu
legarkiro	legarquiro	legarquiro					
legaraukiro	legarauquiro	legarauquiro					
jakindebage	jaquindebague	jaquindebague					
Loi itsas-@korra	Loi itsas-@corra	Loi itſas-@corra					
lagaina	lagaña	lagaña					
azkenaiean zerbait utzi	azquenayean cerbait utzi	azquenayean cerbait utzi					
azekenaiean zerbait utzi	azequenayean cerbait utzi	azequenayean cerbait utzi					
zaiona	zayona	zayona				zaion	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zaion
lebenda	levenda	levenda					
irakurkiz	iracurquiz	iracurquiz					
leakizuna	leaquizuna	leaquizuna					
leagarria	leagarria	leagarria					
diauta	diauta	diautá					
diautarra	diautarra	diautarra					
legeemailea	legueemallea	legueemallea					
legeeman	legueeman	legueeman					
legejakina	leguejaquiña	leguejaquiña				legejakin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legejakin
legejarraia	leguejarraya	leguejarraya					
legikaslea	leguicaslea	leguicaslea					
legokia	legoquia	legoquia					
legauretzea	legauretzea	legauretzea					
le@garaukoa	le@garaucoa	le@garaucoa					
ekado7arra	ecado7arra	ecado7arra					
elizkea	elizquea	elizquea	elizke	elizke			
legoa	legoa	legoa	legoa		legoa	legoa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legoa
anai motza	anai motza	anai motza					
jakineza	jaquineza	jaquineza	jakinez	jakinez		jakinez	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jakinez
elizke	elizque	elizque	elizke	elizke			
nau	nau	nau					
ta arau	ta arau	ta arau					
elizkeen nai darra	elizqueen nai darra	elizqueen nai darra					
dendakai mota bat	dendacai mota bat	dendacai mota bat					
dendakaiaz zauria ikusi	dendacayaz zauria icusi	dendacayaz zauria icuſi					
leuka	leuca	leuca					
leu-	leu-	leu-					
lekoa	lecoa	lecoa	lekoa			leko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leko
urrutitik agiri da	urrutitic aguiri da	urrutitic aguiri da					
lekazia	lecacia	lecacia				lekazi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lekazi
baratzalda	baratzalda	baratzalda					
urrutikoa	urruticoa	urruticoa			urrutiko	urrutiko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrutiko
urrungoa	urrungoa	urrungoa				urrungo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrungo
urrundanikoa	urrundanicoa	urrundanicoa				urrundaniko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrundaniko
urrun	urrun	urrún	urrun		urrun	urrun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urrun
urrundk	urrundc	urrundc					
urrundanik	urrundanic	urrundanic	urrundanik				
urrutirudia	urrutirudia	urrutirudia					
Mairuen ojuak	Mairuen ojuac	Mairuen ojuac					
deadarrak	deadarrac	deadarrac					
leli leli Mahomari dagozkanean	leli leli Mahomari dagozcanean	leli leli Mahomari dagozcanean					
lemma	lemma	lemma					
azalkaia	azalcaya	azalcaya				azalkai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azalkai
azalgarria	azalgarria	azalgarria				azalgarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azalgarri
leutadia	leutadia	leutadia				leutadi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leutadi
leutategia	leutateguia	leutateguia				leutategi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leutategi
euntokia	euntoquia	euntoquia					
leutaria	leutaria	leutaria				leutari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=leutari
partzorrazia	partzorracia	partzorracia					
partztokia	parztoquia	parztoquia					
partzua	partzua	partzua				partzu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=partzu
interprete	interprete	interprete			interprete	interprete	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=interprete
badajo	badajo	badajo					
eranusi	eranusi	eranuſi					
inotsi	iñotsi	iñotſi					
badarauntsa	badaraunsa	badaraunſa					
badinotso	badiñotso	badiñotſo					
binotso	biñotso	biñotſo					
bazerruntsan	bacerrunsan	bacerrunſan					
bazinotsan	baciñotsan	baciñotſan					
binotsan	biñotsan	biñotſan					
hitzontziari txorakeria darauntsa	hitzontziari choraqueria daraunsa	hitzontziari choraqueria daraunſa					
Badarauntsat	Badarauntsat	Badarauntſat					
badaraun-	badaraun-	badaraun-					
sak	sac	ſac					
adn	adn	adn					
badarauntsazu	badaraunsazu	badaraunſazu					
badarauntsagu	badaraunsagu	badaraunſagu					
badarauntsazute	badaraunsazute	badaraunſazute					
badarauntsate	badaraunsate	badaraunſate					
Banerauntsan	Baneraunsan	Baneraunſan					
bazenerauntsan	baceneraunsan	baceneraunſan					
bazerauntsazun	baceraunsazun	baceraunſazun					
bazerauntsan	baceraunsan	baceraunſan					
bagenerauntsan	bagueneraunsan	bagueneraunſan					
bazerauntsagun	baceraunsagun	baceraunſagun					
bazenerauntsaten	baceneraunsaten	baceneraunſaten					
bazerauntsazuten	baceraunsazuten	baceraunſazuten					
bezerauntsaten	beceraunsaten	beceraunſaten					
niri zorna darauntsadala	niri zorna daraunsadala	niri zorná daraunſadala					
darauntsazula	daraunsazula	daraunſazula					
darauntsala	daraunsala	daraunſala					
darauntsagula	daraunsagula	daraunſagula					
darauntsazutela	daraunsazutela	daraunſazutela					
darauntsatela	daraunsatela	daraunſatela					
nerauntsala	neraunsala	neraunſala					
zenerauntsala	ceneraunsala	ceneraunſala					
zerauntsala	ceraunsala	ceraunſala					
jenerauntsala	generaunsala	generaunſala					
zenerauntsatela	ceneraunsatela	ceneraunſatela					
zerauntsatela	ceraunsatela	ceraunſatela					
banerauntsa	baneraunsa	baneraunſa					
bazenerauntsa	baceneraunsa	baceneraunſa					
balerauntsa	baleraunsa	baleraunſa					
bagenerauntsa	bagueneraunsa	bagueneraunſa					
bazenerauntsate	baceneraunsate	baceneraunſate					
balerauntsate	baleraunsate	baleraunſate					
badinotsat	badiñotsat	badiñotſat					
badinotsazu	badiñotsazu	badiñotſazu					
badinotsa	badiñotsa	badiñotſa					
badinotsagu	badiñotsagu	badiñotſagu					
badinotsazute	badiñotsazute	badiñotſazute					
badinotsate	badiñotsate	badiñotſate					
binotsat	biñotsat	biñotſat					
baninotsan	baniñotsan	baniñotſan					
bazininotsan	baciniñotsan	baciniñotſan					
bagininotsan	baguiniñotsan	baguiniñotſan					
bazininotsaten	baciniñotsaten	baciniñotſaten					
bazinotsaten	baciñotsaten	baciñotſaten					
isthmo	isthmo	iſthmo					
orila	orilla	orilla					
idimia	idimia	idimia					
oreinmia	oreinmia	oreinmia					
bildosmia	bildosmia	bildoſmia				bildosmi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bildosmi
txakurmia	chacurmia	chacurmia					
lengoadua	lengoadua	lengoadua					
lengua	lengua	lengua					
dialekto	dialecto	dialecto	dialekto		dialekto	dialekto	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dialekto
hizkuntzatia	hizcuntzatia	hizcuntzatia				hizkuntzati	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hizkuntzati
deslenguado	deslenguado	deslenguado					
lenguaz	lenguaz	lenguaz					
galdez jarrai	galdez jarrai	galdez jarrai					
mingaintxoa	mingainchoa	mingainchoa				mingaintxo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mingaintxo
miitxoa	miichoa	miichoa					
mistoa	mistoa	miſtoa	misto	misto	misto	misto	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=misto
mistorra	mistorra	miſtorrá					
gaililo	gallilo	gallilo					
miliskada	milliscada	milliſcada					
limikada	limicada	limicada					
blandura	blandura	blandura					
suabidad	suavidad	ſuavidad					
astiro	astiro	aſtiró	astiro				
baratx	barach	barach	baratx				
dilista	dilista	diliſta	dilista		dilista	dilista	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dilista
txilistea	chilistea	chiliſtea					
dilistantzekoa	dilistantzecoa	diliſtantzecoa					
lekeltxorra	lequelchorra	lequelchorra				lekeltxor	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lekeltxor
geldiera	gueldiera	gueldiera	geldiera	geldiera	geldiera	geldiera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=geldiera
astiera	astiera	aſtiera					
langia	languia	languia				langi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=langi
egurra	egurra	egurrá	egur		egur	egur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egur
egurretan joan	egurretan joan	egurretán joan					
egurgitera egurkintzara	egurguitera egurquintzara	egurguitera egurquintzara					
egurgita	egurguita	egurguita					
egurgitea	egurguitea	egurguitea					
egurkintza	egurquintza	egurquintza	egurkintza	egurkintza			
egurbidea	egurbidea	egurbidea					
egurgilea	egurguillea	egurguillea	egurgile	egurgile	egurgile	egurgile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egurgile
egurkina	egurquiña	egurquiña	egurkin	egurkin			
egurtzalea	egurzalea	egurzalea					
egurtokia	egurtoquia	egurtoquia				egurtoki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egurtoki
egurra	egurra	egurra	egur		egur	egur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egur
zura	zura	zurá	zur		zur	zur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=zur
zuantzekoa	zuantzecoa	zuantzecoa					
Leoia	Leoya	Leoya					
izarleoia	izarleoya	izarleoya					
Leoi-emea	Leoy-emea	Leoy-emea					
leoiantzekoa	leoyantzecoa	leoyantzecoa					
leoizula	leoizula	leoizula					
leoizaia	leoizaya	leoizaya					
leoizaina	leoizaina	leoizaina					
leoiarena	leoyarena	leoyarena					
leoigisakoa	leoiguisacoa	leoiguiſacoa					
legenarra	leguenarra	leguenarra	legenar	legenar	legenar	legenar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legenar
soraiotasuna	sorayotasuna	ſorayotaſuna	soraiotasun		soraiotasun	soraiotasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=soraiotasun
legenartia	leguenartia	leguenartia				legenarti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legenarti
legenartsua	leguenartsua	leguenartſua	legenartsu	legenartsu		legenartsu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=legenartsu
soraioa	sorayoa	ſorayoa	soraio		soraio	soraio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=soraio
lerr	lerr	lerr					
lerda	lerda	lerda					
lerregin	lerreguin	lerreguin					
lerdo	lerdo	lerdo			lerdo	lerdo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lerdo
Lerdoa	Lerdoa	Lerdoa					
donetoitza	donetoitza	donetoitza				donetoitz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=donetoitz
ledania	ledania	ledania	ledania				
garitatea	garitatea	garitatea	garitate			garitate	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=garitate
lotarkia	lotarquia	lotarquia	lotarki	lotarki		lotarki	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lotarki
loak artu	loac artu	loac artu					
lotargia	lotarguia	lotarguia	lotargia	lotargia			
alegrar	alegrar	alegrar					
izkira	izquira	izquira	izkira		izkira	izkira	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=izkira
betxia	bechia	bechia					
letra	letra	letrá	letra		letra	letra	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=letra
ganbizkira	gambizquira	gambizquira					
ganbizkira idikia	gambizquira idiquia	gambizquira idiquia					
a la letra	a la letra	á la letra					
al pie de la letra	al pie de la letra	al pie de la letra					
publikamente	publicamente	publicamente					
askojakina	ascojaquiña	aſcojaquiña	askojakin	askojakin	askojakin	askojakin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=askojakin
trebea izan	trebea izan	trebea izan					
izkiradundia	izquiradundia	izquiradundia					
betxidundia	bechidundia	bechidundia					
izkiraduna	izquiraduna	izquiraduna					
betxiduna	bechiduna	bechiduna					
izkiratia	izquiratia	izquiratia					
betxitia	bechitia	bechitia					
izkiratua	izquiratua	izquiratua					
betxitua	bechitua	bechitua					
izkiraria	izquiraria	izquiraria					
betxaria	becharia	becharia					
letreroa	letreroa	letreroa				letrero	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=letrero
atzula	atzula	atzulá					
izkiratzarra	izquiratzarra	izquiratzarra					
betxandia	bechandia	bechandia					
elektuario	electuario	electuario					
legamiztu	legamiztu	legamiztu					
orantzatu	oranzatu	oranzatu					
orantza eman	oranza eman	oranza eman					
Joasiera	Joasiera	Joaſiera					
rekluta	recluta	recluta					
maulas	maulas	maulas					
joasierako sutunpa	joasieraco sutumpa	joaſieraco ſutumpa					
iskilimiaren jokasiera	isquilimiaren jocasiera	iſquilimiaren jocaſiera					
jasokizuna	jasoquizuna	jaſoquizuna				jasokizun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jasokizun
altxakizuna	alchaquizuna	alchaquizuna					
gorakizuna	goraquizuna	goraquizuna					
orantza	oranza	oranza	orantza		orantza	orantza	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=orantza
ailisa	ailisa	ailiſa	ailis			ailis	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ailis
altxaarria	alchaarria	alchaarria					
berantzagia	beranzaguia	beranzaguia				berantzagi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=berantzagi
azkarria	azcarria	azcarria	azkarri			azkarri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azkarri
txantxadurea	chanchadurea	chanchadurea					
orantzatua	oranzatua	oranzatua				orantzatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=orantzatu
jasotzailea	jasotzallea	jaſotzallea	jasotzaile		jasotzaile	jasotzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jasotzaile
altxaria	alcharia	alcharia	altxari			altxari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=altxari
jasotzea	jasotzea	jaſotzea				jasotze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jasotze
goratzapena	goratzapena	goratzapena	goratzapen			goratzapen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=goratzapen
altxaera	alchaera	alchaera			altxaera	altxaera	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=altxaera
sedizion	sedicion	ſedicion					
jasan	jasan	jaſan	jasan				
ilki jaki	ilqui jaqui	ilqui jaqui					
iraiki	iraiqui	iraiqui					
iraigi	iraigui	iraigui					
oriente	oriente	oriente	oriente				
urtaizea	urtaicea	urtaicea				urtaize	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=urtaize
joasieran egon	joasieran egon	joaſieran egon					
oriental	oriental	oriental					
lebantar	levantar	levantar					
pisueza	pisueza	piſueza					
astuneza	astuneza	aſtuneza					
arindea	arindea	arindea					
arin arin	arin ariñ	arin ariñ	arin arin				
arintxo	arincho	arincho	arintxo	arintxo			
arinkiro	arinquiro	arinquiró					
Sazerdotearen urrena	Sacerdotearen urrena	Sacerdotearen urrena					
Lebaita	Levaita	Levaita					
Lebitikoa	Leviticoa	Leviticoa					
lisiba	lisiba	liſiba	lisiba	lisiba			
lisibea	lisibea	liſibea					
gobada	gobada	gobada	gobada	gobada	gobada	gobada	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gobada
lege	legue	legue	lege		lege	lege	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lege
legea	leguea	leguea	lege		lege	lege	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lege
leike	leique	leique					
legeike	legueique	legueique					
lealtad	lealtad	lealtad					
lege berria	legue berria	legue berria				lege berri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lege berri
graziazkoa	graciazcoa	graciazcoa				graziazko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=graziazko
lege izkribatua	legue izcribatua	legue izcribatua					
Jainkoak oisesi emantziona	Jaincoac oysesi emanciona	Jaincoac oyſeſi emanciona					
lege sortzezkoa	legue sortzezcoa	legue ſortzezcoa				lege sortzezko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lege sortzezko
ekarraizkoa	ecarraizcoa	ecarraizcoa	ekarraizko	ekarraizko		ekarraizko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ekarraizko
lia	lia	liá					
espartzuzko baga	espartzuzco baga	eſpartzuzco baga					
soka	soca	ſoca	soka		soka	soka	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=soka
ligar	ligar	ligar					
ondarrak	ondarrac	ondarrac					
tomar lias	tomar lias	tomar lias					
edukitu	eduquitu	eduquitu					
ltzkirazkoduna	lzquirazcoduna	lzquirazcoduna					
izkirazkoa	izquirazcoa	izquirazcoa					
perkea izkiraki bezkaria	perquea izquiraqui bezcaria	perquea izquiraqui bezcaria					
aldekigoa	aldequigoa	aldequigoa				aldekigo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aldekigo
liberala	liberala	liberala	liberal		liberal	liberal	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=liberal
emanaia	emanaya	emanaya				emanai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=emanai
dibereala	dibereala	dibereala					
bere ala bere alguzian	bere ala bere algucian	bere ala bere algucian					
diberal	diberal	diberal					
en liberal	en liberal	en liberal					
presta	presta	preſtá	prest			prest	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prest
arte liberala	arte liberala	arte liberala					
ziadizkoa	ciadizcoa	ciadizcoa					
liberaltasuna	liberaltasuna	liberaltaſuna	liberaltasun			liberaltasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=liberaltasun
ongilatasuna	onguillatasuna	onguillataſuna					
emanaitasuna	emanaitasuna	emanaitaſuna				emanaitasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=emanaitasun
liberalk iro	liberalqu iro	liberalqu iro					
ongilero emanaikiro	onguillero emanaiquiro	onguillero emanaiquiro					
zepeda	cepeda	cepeda					
orradea	orradea	orradea				orrade	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=orrade
libertadea	libertadea	libertadea	libertade				
lizentzia	licencia	licencia	lizentzia		lizentzia	lizentzia	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lizentzia
libratzailea	libratzallea	libratzallea	libratzaile		libratzaile	libratzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=libratzaile
eskukogilea	escucoguillea	eſcucoguillea					
autakintzailea	autaquintzallea	autaquintzallea					
orratzailea	orratzallea	orratzallea					
kitatzailea	quitatzallea	quitatzallea				kitatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kitatzaile
lokabetzailea	locabetzallea	locabetzallea	lokabetzaile	lokabetzaile		lokabetzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lokabetzaile
libre egin	libre eguin	libre eguin					
eskukotu	escucotu	eſcucotu					
eskukoegin	escucoeguin	eſcucoeguin					
autakindu	autaquindu	autaquindu					
orratu	orratu	orratu					
lokaz@etu	locaz@etu	locaz@etu					
eskukotua	escucotua	eſcucotua				eskukotu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=eskukotu
eskukotuaren humea	escucotuaren humea	eſcucotuaren humea					
autakindua	autaquindua	autaquindua					
orratua	orratua	orratua				orratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=orratu
lebetxe	lebeche	lebeche					
libra	libra	libra	libra		libra	libra	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=libra
izarlibra	izarlibra	izarlibra					
zabuera	zabuera	zabuera					
libertador	libertador	libertador					
libratzea	libratzea	libratzea				libratze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=libratze
eskukotzea	escucotzea	eſcucotzea					
izkirarlea	izquirarlea	izquirarlea					
izkirargilea	izquirarguillea	izquirarguillea					
izkiratza	izquiratza	izquiratza					
libratu	libratu	libratu	libratu		libratu	libratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=libratu
guardatu	guardatu	guardatu	guardatu				
izkirartza eman	izquirartza eman	izquirartza eman					
edo ongi gelditu	edo ongui guelditu	edo ongui guelditu					
Jainkoari nai eztakiola	Jaincoari nai eztaquiola	Jaincoari nai eztaquiola					
Jainkoak gura eztagiela	Jaincoac gura eztaguiela	Jaincoac gura eztaguiela					
ainkoak zepeda nazala	aincoac cepeda nazala	aincoac cepeda nazala					
gitxien gitxiena	guichien guichiena	guichien guichiena					
Libre	Libre	Libre					
libere	libere	libere					
liber	liber	liber					
leibere	leibere	leiberé					
sui juris	sui juris	ſui juris					
izan lei	izan lei	izan lei					
egin legin	eguin leguin	eguin leguin					
legike	leguique	leguique					
leibere	leibere	leibere					
liberare	liberare	liberare					
li	li	li					
