LAR_EUS_EGOK	LAR_EUS_UNIDECODE	LAR_EUS_ORIG	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
ipura	ipura	ipura					
pasto	pasto	paſto					
Pazkoetakoa	Pazcoetacoa	Pazcoetacoa					
arriketa	arriqueta	arriqueta					
pasmoa	pasmoa	paſmoa	pasmo	pasmo	pasmo	pasmo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasmo
papia	papia	papia					
perkea	perquea	perquea					
askina	asquiña	aſquiñá					
esagnintza	esagnintza	eſagnintza					
paskina	pasquina	paſquina				paskin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=paskin
esagita	esaguita	eſaguita					
perke	perque	perque					
sattrizar	satyrizar	ſatyrizar					
juego de manos	juego de manos	juego de manos					
ioaroldia	ioaroldia	ioaroldia					
pasa	passa	paſſa	pasa		pasa	pasa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasa
iragoeta	iragoeta	iragoeta					
lkapasa	lcapassa	lcapaſſa					
kalejirakoa	calegiracoa	calegiracoa				kalejirako	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kalejirako
paada	paada	paada					
igaroketa	igaroqueta	igaroqueta					
asada	assada	aſſada					
de paso	de passo	de paſſo					
zuparria	zuparria	zuparria					
tolerable	tolerable	tolerable					
pasagarria	passagarria	paſſagarria	pasagarri		pasagarri		
pasada	passada	paſſada			pasada	pasada	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasada
kongrua	congrua	congrua					
beaurkezta	beaurquezta	beaurquezta					
estalpidea	estalpidea	eſtalpidea				estalpide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=estalpide
metedor	metedor	metedor					
irakaria	iracaria	iracaria					
itxikarria	ichicarria	ichicarria					
pasakarria	passacarria	paſſacarria					
pasaria	pasaria	paſaria				pasari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasari
pasategia	passateguia	paſſateguia				pasategi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasategi
pasalekua	passalecua	paſſalecua				pasaleku	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasaleku
pasartea	passartea	paſſartea	pasarte	pasarte	pasarte	pasarte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasarte
paJaldia	paJaldia	paJaldia					
pasakaria	passacaria	paſſacaria	pasakari			pasakari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasakari
bideaskoa	bideascoa	bideaſcoa					
iragaria	iragaria	iragaria				iragari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=iragari
iragokoia	iragocoya	iragocoya					
golpe pekeino	golpe pequeiño	golpe pequeiño					
pasa	pasa	paſa	pasa		pasa	pasa	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasa
pasajokoa	passajocoa	paſſajocoa					
ipurakintza	ipuraquintza	ipuraquintza					
ipurakina	ipuraquiña	ipuraquiña					
eriozpidea	eriozpidea	eriozpidea					
iidea	iidea	iidea					
ilurrea	ilurrea	ilurrea					
jakindarraia	jaquindarraya	jaquindarraya					
jakindarraioa	jaquindarrayoa	jaquindarrayoa					
joaleita	joaleita	joaleita					
pasaportea	pasaportea	paſaportea	pasaporte	pasaporte	pasaporte	pasaporte	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasaporte
pikartetu	picartetu	picartetu					
pikartean	picartean	picartean					
irago	irago	irago	irago				
bear asko ikusi	bear asco icusi	bear aſco icuſi					
omitir	omitir	omitir					
iragan	iragan	iragan	iragan		iragan	iragan	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=iragan
raia	raya	raya					
padezer	padecer	padecer					
ongi edo gaizki egotea	ongui edo gaizqui egotea	ongui edo gaizqui egotea					
pasar	passar	paſſar					
pasatua	pasatua	paſatua			pasatu	pasatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pasatu
iragoa	iragoa	iragoa	irago			irago	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irago
antepasados	antepassados	antepaſſados					
aszendientes	ascendientes	aſcendientes					
igaroa igaro	igaroa igaro	igaroa igaro					
iragoa iragorik	iragoa iragoric	iragoa iragoric					
eragoaldia	eragoaldia	eragoaldia					
briskia	brisquia	briſquia				briski	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=briski
pasatolea	passatolea	paſſatolea					
paseo	passeo	paſſeo	paseo		paseo	paseo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=paseo
ibiltaria	ibiltaria	ibiltaria	ibiltari	ibiltari	ibiltari	ibiltari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ibiltari
paseante	passeante	paſſeante					
paseatu	paseatu	paſeatu	paseatu		paseatu	paseatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=paseatu
boastitu	boastitu	boaſtitu					
boastitzen dago	boastitzen dago	boaſtitzen dago					
pasean dabil	pasean dabil	paſean dabil					
paseatzen dabil	paseatzen dabil	paſeatzen dabil					
boastaria	boastaria	boaſtaria					
paseatzailea	paseatzallea	paſeatzallea					
pasean dabilena	pasean dabillena	paſean dabillena					
boastia	boastia	boaſtia					
