a	a	a
abrigado lugar	abrigado lugar	abrigado lugar	lecu beroa, otzetie gordea, segurua, nozguea, abrigua
abrigo	abrigo	abrigo	eguzquiaz, suaz berotzea
abrigo	abrigo2	abrigo	beroa
abril	abril	abril	pirilla, jorrailla
abrir qualquiera cosa	abrir qualquiera cosa	abrir qualquiera cosa	idiqui, zabaldu, irequi
abrirle	abrirle	abrirle	burua autsi, urratu, erdiratu, ceatu, zatitu
abierta puerta	abierta puerta	abierta puerta	idiquia, idiquitua, zabala, zabaldua
abierta la cabeza	abierta la cabeza	abierta la cabeza	autsia, urratua, autsitua, erdiratua, ceatua, zatitua
abiertamente	abiertamente	abiertamente	idiquiró, idequiro, zabalquiro
abierto	abierto	abierto	ordagoa
abertura	abertura	abertura	idiquitzea, idiquie-, idiquipena, zabaldura
abrirse	abrirse	abrirse	idiquitzea, zabaltzea
abrirse el	abrirse el	abrirse el	miaurtú, azarractu
abierto	abierto	abierto	miaurtuá, azarracátua
abrirse	abrirse	abrirse	arracatú
abertura	abertura	abertura	hendedura, arracá, arracadá
abrogacion	abrogacion	abrogacion	indarguea, indarguetzea, indarbaguetzea
abrogar	abrogar	abrogar	legueren bat indarguetú, indarbaguetñ
abrojo	abrojo	abrojo	sasilarra, saparlarra
abrojos de	abrojos de	abrojos de	burnilarrac
abromarse	abromarse	abromarse	cedeneztatu, cerreneztatu, cedenéz, cerrenéz beté
abromado	abromado	abromado	cedeneztatua, &c
abroquelarse	abroquelarse	abroquelarse	broqneldu, ezcutatzea, ezcutuaz estaltzea, gordetzea
abroquelado	abroquelado	abroquelado	broqueldua, ezcutatua, ezcutuaz estalia
alesconderse	alesconderse	alesconderse
abrotano	abrotano	abrotano	chichare belaárra
abrumar	abrumar	abrumar
absceso	absceso	abscesso	anditsu zornatua, zolditua
absconderse	absconderse	absconderse	esconder
absentarse antixquado	absentarse antixquado	absentarse antixquado	ausentarse
absolucion	absolucion	absolucion	absolitzea, ascatzea, deslotzea, absolicioa, as-
absolvederas	absolvederas	absolvederas	absoloigarriac
absolutamente	absolutamente	absolutamente	ichir, ertsiróá, guciró, deblauqui, deblauquiró
absoluto	absoluto	absoluto	iñori eztichecana, gauzaren batean iñoren bearric ezteuana, ascatua
absolutas	absolutas	absolutas	ichirocó, guciroc eráusiac, esác, hitzac
siempre me	siempre me	siempre me	gucirocó erausi bátzuequin
absortar	absortar	absortar	sortatú, arritu, cordebaguetuæ bezala
absorto	absorto	absorto
quedarse	quedarse	quedarse	sorrá guelditzea, arritzea, cordebaguetzea beézala
absorbente en los	absorbente en los	absorbente en los	chucatzaria, idortaria
abstenerse	abstenerse	abstenerse	cerbait eguitetic gordetzea, eguiratzea
abstenerse	abstenerse2	abstenerse	pecatutic, jocotic, ardotic gordetzea, beguiratzea
abstinente	abstinente	abstinente	urrijalea, urriiaria, guichi jaten deuaná
abstinencia	abstinencia	abstinencia	urrijaldura, abstinennencia, urrijalpena
abstraccion de sentidos	abstraccion de sentidos	abstraccion de sentidos	cordearen galtzeaz, cordebaguetzea
abstraccion	abstraccion	abstraccion	berequicotzea, buruaren ajolaz , arduraz bicitzea
abstrahido yo	abstrahido yo	abstrahido yo	nere, neurequicotua
abstracto	abstracto	abstracto	utseragoa
abstraher	abstraher	abstraher	utseragotu, estalia
absurdo	absurdo	absurdo	egoquieza, egoquibaguea, bearzaquea, bearreztana
abubilla	abubilla	abubilla	basollarra, cucurustá
abucasta	abucasta	abucasta	até, mueta, egazti aztinanzá gaiztoco bat, nola ere dan basollarrá
abuela	abuela	abuela	amoná, amanagusia, amasaba, amasoa, amagoya
abuelo	abuelo	abuelo	aitona, aitanagusia, aitasaba, aitasoa, aitagoya
abuelo	abuelo2	abuelo	asabac
abueltas de eso	abueltas de eso	abueltas de esso	orrequin batean, orrez naste
abuenas	abuenas	abuenas
abuhado	abuhado	abuhado	buiatua, aurpegui ubel, ta uanditua daucana
abuharse	abuharse	abuharse	vbeltzea, ta uanditzea
abultar	abultar	abultar	aundiagotu, andiagotu, gueitu, gueiagotu
abulta mucho sus	abulta mucho sus	abulta mucho sus	ascó, zen, ditu, lar gueitzen dituz bere gaitzac, gachac
abultado	abultado	abultado	anditua, andiagotua, gueitua, gueiagotua
abultador	abultador	abultador	andi, andiagotzallea, gueitzallea, gueiagotzallea
abultaren	abultaren	abultaren	aundia, andia, lodia izatea, iduritzea
abulta mucho	abulta mucho	abulta mucho	aundia, lodiada, di-
quanto abultara	quanto abultara	quanto abultarà	Cein aundi, cein lodi izango
abulto	abulto	abulto
abundancia	abundancia	abundancia	ioria, iyoria, ioritasuna, iyoritasuna, ugaria, ugaritasuna, naroá, narotasuna, francotasuna
abundante	abundante	abundante	ioritsua, ugaritsua, narotsua, ioriá, ugariá, naroá
abundantemente	abundantemente	abundantemente	ioriró, ugariró naroró, ioriqui, ugariqui, naroqui, iori, ugari, naró
abundantemente	abundantemente2	abundantemente	oparó
abundar	abundar	abundar	iori, ugari, oparo izan
abuñuelar	abuñuelar	abuñuelar	orapildu
aburar	aburar	aburar
aburelado	aburelado	aburelado	gorribeztua
aburrado	aburrado	aburrado	astotua, asto eguiña, asto biurtua
aburrarse	aburrarse	aburrarse	astotutzea, astotzea, asto izatea, eguitea, biurtzea
aburrimiento	aburrimiento	aburrimiento	gogaicioa, gogaitzea, gogaipena
aburrir	aburrir	aburrir	gogaitu, gogaiterazo, gogaitaraci, gogaiteraguin
aburrirse	aburrirse	aburrirse	gogaitu, gogaitzea
aburrido	aburrido	aburrido	gogaitua
abusar	abusar	abusar	gaizqui-vsatzea, dongaróvsatzea
abusar	abusar2	abusar	gaizqui erabilli
abutarda	abutarda	abutarda
abuvilla	abuvilla	abuvilla
abyeccion	abyeccion	abyeccion
haciaca	haciaca	hàciacà	ononz, unonz
acabalar	acabalar	acabalar	cabaleguin, ifiñi, cabaldú, berdindu, osatu
acaballerado en	acaballerado en	acaballerado en	chit restua, ezcutari guisacoa
acaballadero	acaballadero	acaballadero
acabar	acabar	acabar	bu-
acabar	acabar2	acabar	bucatu, acabatu, aitu, azquenáu
comenzar	comenzar	comenzar	asi, ta búca
acabado	acabado	acabado	bucatua, acabatu, aitua
finitus	finitus	finitus
acabarse	acabarse	acabarse	bucatzea, acabatzea, aitutzea
hazerle	hazerle	hazerle	bucaraci, bucaerazo, acaberazo, aitue razo
acaba	acaba	acaba	ealaster, ea bada , oa, joan bear badec
acabar de	acabar de	acabar de	oraiñ, oran, orainche
acabose	acabose	acabose	eguin, , zla B
acabaronse mis	acabaronse mis	acabaronse mis	aitu dira nere pozac, bucatu dira nere atseguiñac
acabamiento	acabamiento	acabamiento	acabantzá, acaballá, bucaera, amandá
acabdillar	acabdillar	acabdillar
acabronado	acabronado	acabronado	aquerguisacoa
acacharse	acacharse	acacharse
acacia	acacia	acacia	acacia
academia	academia	academia	icasolá, jaquiñen, jaquintsuen, letradunen ballerá, bilgumá, batarrea
academico	academico	academico	icasolacoa, icasolarra, jaquientsuen balleracoa, bilgumacoa, batzarrecoá, suertatu
acaecimiento	acaecimiento	acaecimiento	suertaera, guertaera, jasó, jazoaera, acertaera, suertapena, guertapena &c
acairelado	acairelado	acairelado	cirpitz ederréz ertzatua
acalcar	acalcar	acalcar
acalcar	acalcar2	acalcar	calcatu, oñez, edo bestela estutu, tincatu
acalcado	acalcado	acalcado	calcatua, tincatua, estutua
acalcador	acalcador	acalcador	calcaria, calcatzallea, estutaria, estutzallea
hacerlo acalcar	hacerlo acalcar	hacerlo acalcar	calcaraci, calcaerazo, calcaeraguin
acallar	acallar	acallar	isildu, igildu, isilaraci, isilerazo, igilaraci, igilerazo
acallado	acallado	acallado	isilaracia, isilerazoa, isilaracitua, isilerazotua
acallador	acallador	acallador	isilaracitzallea, isilerazotzallea, isileraguillea
acaloñar	acaloñar	acaloñar
acalorar	acalorar	acalorar	berotu, suquindu
acalorado	acalorado	acalorado	berotua, suquindua
acampar el exercito	acampar el exercito	acampar el exercito	etzauntza artu, ifiñi
acampado	acampado	acampado	etzauntzac artua, ifiñia
acamuzado	acamuzado	acamuzado
acanalar	acanalar	acanalar	boillustu, abodiatu, odiatu, odiac eguin
acanalado	acanalado	acanalado	boillustua, abodiatua, odiatua, odiaz, odiacquin eguiña
acanalador	acanalador	acanalador	odiatzallea, odi eguillea
acandilar	acandilar	acandilar	criseldu, cruseldu, criselu eérara , guisará páratu , ifiñi
acanelado	acanelado	acanelado	canelaztua
acanillado	acanillado	acanillado	uneac dituen oyalá, oyal úneduna
acañaberear	acañaberear	acañaberear
acañaberear	acañaberear2	acañaberear	cañaberatu, canabelatu, cañaberaz, josi, zulatu
acañaberearse	acañaberearse	acañaberearse	cañaberatzea, canabelatzea
acañabereado	acañabereado	acañabereado	cañaberatua, canabelatua, cañaberaz josia, zulatua, edo hilla &c
acañonear	acañonear	acañonear	sutumpa, sutumpatzea
acañoneado	acañoneado	acañoneado	sutumpatua
acañoneador	acañoneador	acañoneador	sutumparia, sutumpatzallea
acañonearse	acañonearse	acañonearse	sutumpatzea
acantarado	acantarado	acantarado	gurbillatua, gurbilláz neurtuá
acanthio hierba	acanthio hierba	acanthio hierba	cialora
acantho	acantho	acantho	molohorrica
acanthobola	acanthobola	acanthobola	eisurrac ateratzeco lanabes bat
acantonar	acantonar	acantonar
acaparrosado color	acaparrosado color	acaparrosado color	vrdin eroria
acaponado	acaponado	acaponado	chiquiranzduna, chiquiratuaren, iranciaren, irinduaren anzá, anzoa duená
acaptar antiquado	acaptar antiquado	acaptar antiquado
acarar	acarar	acarar
acardenalado	acardenalado	acardenalado	moretua, odolúritua
acardcnalarse	acardcnalarse	acardcnalarse	odolúritu, odoluritzea, moretzea
acarear	acarear	acarear
acariciar	acariciar	acariciar	maitatu, balacatu, cariciatu, gozarotu
acariciado	acariciado	acariciado	maitatua, balacatua, gozarotua
